abbreviation,title
gemeindehaushalt,der gemeindehaushalt
Geschichte und Gesellschaft,Geschichte und Gesellschaft
GesR,Gesundheitsrecht
GesRZ,Der Gesellschafter
GewArch,Gewerbearchiv
GLJ,German law journal
GmbHR,GmbH-Rundschau
GmbH-StB,Der GmbH-Steuer-Berater
"GmbH-Steuerpraxis, GmbH-Stpr",GmbH-Steuerpraxis
GoJIL,Göttingen journal of international law
"GoltdA, GA",Goltdammer's Archiv für Strafrecht
GPR,Zeitschrift für Gemeinschaftsprivatrecht
GreifRecht,Greifswalder Halbjahresschrift für Rechtswissenschaft
Grundeigentum,Das Grundeigentum
GRUR,Gewerblicher Rechtsschutz und Urheberrecht
GRUR Int,Gewerblicher Rechtsschutz und Urheberrecht. Internationaler Teil
GRUR-Prax,Gewerblicher Rechtsschutz und Urheberrecht. Praxis im Immaterialgüter- und Wettbewerbsrecht
GRUR-RR,Gewerblicher Rechtsschutz und Urheberrecht. Rechtsprechungs-Report
GuG,Grundstücksmarkt und Grundstückswert
GuP,Gesundheit und Pflege
GuS,Gesundheits- und Sozialpolitik
GuT,Gewerbemiete und Teileigentum
GWR,Gesellschafts- und Wirtschaftsrecht
GYIL,German yearbook of international law
Hauseigentum,Das Hauseigentum
HFR,Hoechstrichterliche Finanzrechtsprechung
HK,Herder-Korrespondenz
HmbSchRZ,Hamburger Zeitschrift für Schiffahrtsrecht
HmbSchRZ-Int,Hamburger Zeitschrift für Schiffahrtsrecht - International
HRRS,HöchstRichterliche Rechtsprechung im Strafrecht
HSGZ,Hessische Städte- und Gemeindezeitung
HuV,Humanitäres Völkerrecht
HuV-I,Humanitäres Völkerrecht - Informationsschriften
HZ,Historische Zeitschrift
I+E,Zeitschrift für Immissionsschutzrecht und Emissionshandel
IBR,Immobilien- & Baurecht
ibr,Immobilien- und Baurecht
ICL-Journal,Vienna journal on international constitutional law
IHR,Internationales Handelsrecht
IIC,International review of intellectual property and competition law
IILR,International insolvency law review
ImmoStR,Zeitschrift zum Immobilien-Steuerrecht
imr,Immobilien- und Mietrecht
InfAuslR,Informationsbrief Ausländerrecht
info,Info / Schleswig-Holsteinischer Richterverband
info also,Informationen zum Arbeitslosenrecht und Sozialhilferecht
InsVZ,Zeitschrift für Insolvenzverwaltung und Sanierungsberatung
InTeR,Zeitschrift für Innovations- und Technikrecht
IÖD,Informationsdienst Öffentliches Dienstrecht
Ip competence,Ip competence
IPRax,Praxis des Internationalen Privat- und Verfahrensrechts
IPRB,Der IP-Rechts-Berater
IPRB,IP-Rechtsberater
IR,"InfrastrukturRecht : Energie, Verkehr, Abfall, Wasser"
IRZ,Zeitschrift für internationale Rechnungslegung
ISR,Internationale Steuer-Rundschau. Zeitschrift für internationales Steuerrecht
"iStR, IStR",Internationales Steuerrecht
ITRB,Der IT-Rechts-Berater
IWB,IWB - Internationales Steuer- und Wirtschaftsrecht
IWB,NWB - Internationales Steuer- und Wirtschaftsrecht
JA,Juristische Arbeitsblätter
Jahrbuch SGHVR,JahrbuchSchweizerische Gesellschaft für Haftpflicht und Versicherungsrecht
Jahresheft IJVO,Jahresheft / Internationale Juristenvereinigung Osnabrück
JAmt,Das Jugendamt
Jb Extremismus&Demokratie,Jahrbuch Extremismus & Demokratie
Jb. f. direkte Demokratie,Jahrbuch für direkte Demokratie
JbArbR,Jahrbuch des Arbeitsrechts
JbFöderalismus,Jahrbuch des Föderalismus
JbItalienR,Jahrbuch für Italienisches Recht
JBl,Juristische Blätter
JböffFin,Jahrbuch für öffentliche Finanzen
JBÖS,Jahrbuch Öffentliche Sicherheit
JbSR,Jahrbuch des Sozialrechts
JbUTR,Jahrbuch des Umwelt- und Technikrechts
JEIH,Journal of European integration history
JIPITEC,"Journal of intellectual property, information technology and electronic commerce law"
JITE,Journal of Institutional and Theoretical Economics
JJZG,Jahrbuch der Juristischen Zeitgeschichte
jM,Juris: die Monatszeitschrift
JoJZG,Journal der juristischen Zeitgeschichte
JOR,Jahrbuch für Ostrecht
JöR,Jahrbuch des öffentlichen Rechts der Gegenwart
JR,Juristische Rundschau
JRE,Jahrbuch für Recht und Ethik
JRP,Journal für Rechtspolitik
JURA,Juristische Ausbildung
"JurBüro, JB",Das juristische Büro
JurPC,JurPC - Internet-Zeitschrift für Rechtsinformatik und Informationsrecht
JuS,Juristische Schulung
JZ,Juristenzeitung
K&R,Kommunikation & Recht
KammerForum,Mitteilungen. Rechtsanwaltskammer Köln
KammerMitteilungen,KammerMitteilungen : Informationen und offizielle Verlautbarungen der Rechtsanwaltskammer Düsseld
Kfz-Anwalt,Kfz-Anwalt : die Fachzeitschrift für alle Rechtsfragen im Automobilgewerbe
KJ,Kritische Justiz
KKZ,Kommunal-Kassenzeitschrift
KommJur,Kommunaljurist
KommP spezial,KommunalPraxis spezial
KommP Wahlen,KommunalPraxis Wahlen
"Konzern, DK",Der Konzern
KoR,Zeitschrift für kapitalmarktorientierte Rechnungslegung
"Kösdi, KÖSDI",Kölner Steuerdialog
Kreditwesen,Zeitschrift für das gesamte Kreditwesen
Kriminalist,Der Kriminalist
Kriminalistik,Kriminalistik
"KrimJ, Kriminologisches Journal",Kriminologisches Journal
KrimPäd,Kriminalpädagogische Praxis
KritV,Kritische Vierteljahresschrift für Gesetzgebung und Rechtsprechung
KSI,"Krisen-, Sanierungs- und Insolvenzberatung"
KStZ,Kommunale Steuer-Zeitschrift
KSzW,Kölner Schrift zum Wirtschaftsrecht
KTS,Zeitschrift für Insolvenzrecht
"KuR, Kirche und Recht",Kirche und Recht
