journal,abbreviation
Rabels Zeitschrift für ausländisches und internationales Privatrecht,RabelsZ
Recht & Psychiatrie,R&P
recht + schaden,r+s
Recht Automobil Wirtschaft,RAW
Recht der Arbeit,RdA
Recht der Datenverarbeitung,RDV
Recht der Energiewirtschaft,RdE
Recht der erneuerbaren Energien,"ree, REE"
Recht der Finanzinstrumente,RdFin
Recht der Internationalen Wirtschaft,RIW
Recht der Jugend und des Bildungswesens,RdJB
Recht der Landwirtschaft,RdL
Recht der Transportwirtschaft,RdTW
Recht Digital,RDi
Recht im Amt,RiA
Recht in Afrika,RiA
Recht und Politik,RuP
Recht und Politik im Gesundheitswesen,RPG
Recht und Zugang,RuZ
Rechtsmedizin,RechtsMed
Rechtsphilosophie,RphZ
Rechtstheorie,RT
Rechtswissenschaft,RW
ReiseRecht aktuell,RRa
Rheinische Notar-Zeitschrift,RNotZ
Richter ohne Robe,RohR
Sächsische Verwaltungsblätter,SächsVBl
SchiedsamtsZeitung,SchiedsAZ
Schnelldienst Ausländer- und Asylrecht,AuAS
Schulrecht,SchuR
Schulrecht heute,SchulR heute
Sozialrecht aktuell,SR
Sport und Recht,SpuRt
Steuer und Wirtschaft,StuW
Steuerrecht kurzgefasst,SteuK
Strafverteidiger,StV
Strafverteidiger-Forum,StraFo
Straßenverkehrsrecht,SVR
Studentische Zeitschrift für Rechtswissenschaft Heidelberg,StudZR
Thüringer Verwaltungsblätter,ThürVBl
Transportrecht,TranspR
Umsatzsteuer-Rundschau,UR
Umwelt und Planungsrecht,UPR
Verbraucher und Recht,VuR
Verbraucherinsolvenz aktuell,VIA
Verfassung und Recht in Übersee,VRÜ
Vergaberecht,VergabeR
Verkehrsrechts-Sammlung,VRS
Versicherungsrecht,VersR
Verwaltungsarchiv,"VerwA, VerwArch"
Verwaltungsblätter für Baden-Württemberg,VBlBW
Verwaltungsrundschau,"VR, vr"
Vierteljahresschrift für Sozialrecht,VSSR
Vollstreckung effektiv,Vollstr
Wettbewerb in Recht und Praxis,"WRP, wrp"
Wirtschaft und Recht in Osteuropa,WiRO
Wirtschaft und Wettbewerb,WuW
Wissenschaftsrecht,WissR
Zeitschrift Blutalkohol,Blutalkohol
Zeitschrift für Arbeitsrecht,"ZfA, ZFA"
Zeitschrift für Arbeitsrecht und Tarifpolitik in Kirche und Caritas,ZAT
Zeitschrift für Ausländerrecht und Ausländerpolitik,ZAR
Zeitschrift für ausländisches öffentliches Recht und Völkerrecht,ZaöRV
Zeitschrift für ausländisches und internationales Arbeits- und Sozialrecht,ZIAS
Zeitschrift für Bank- und Kapitalmarktrecht,BKR
Zeitschrift für Bankrecht und Bankwirtschaft,ZBB
Zeitschrift für Beamtenrecht,ZBR
Zeitschrift für Bergrecht,ZfB
Zeitschrift für chinesisches Recht,ZChinR
Zeitschrift für das Abfallrecht,AbfallR
Zeitschrift für das Fürsorgewesen,ZfF
Zeitschrift für das gesamte Familienrecht,FamRZ
Zeitschrift für das gesamte Genossenschaftswesen,ZfgG
Zeitschrift für das gesamte Handelsrecht und Wirtschaftsrecht,ZHR
Zeitschrift für das gesamte Lebensmittelrecht,ZLR
Zeitschrift für das gesamte Medizin- und Gesundheitsrecht,ZMGR
Zeitschrift für das gesamte Recht der Energiewirtschaft,EnWZ
"Zeitschrift für das gesamte Schuldrecht [bzw.Zeitschrift für Vertragsgestaltung, Schuld- und Haftungsrecht]",ZGS
Zeitschrift für das Gesamte Sicherheitsrecht,"GSZ, gsz"
Zeitschrift für das Juristische Studium,ZJS
Zeitschrift für das öffentliche Arbeits- und Tarifrecht,öAT
Zeitschrift für das Recht der Non Profit-Organisationen,npoR
Zeitschrift für das Stiftungs- und Vereinswesen,ZStV
Zeitschrift für Datenschutz,ZD
"Zeitschrift für Deutsches und Europäisches Wasser-, Abwasser- und Bodenschutzrecht",W+B
Zeitschrift für deutsches und internationales Bau- und Vergaberecht,ZfBR
Zeitschrift für die gesamte erbrechtliche Praxis,ErbR
Zeitschrift für die gesamte Privatrechtswissenschaft,ZfPW
Zeitschrift für die gesamte Strafrechtswissenschaft,"ZStW, ZStrW"
Zeitschrift für die notarielle Beratungs- und Beurkundungspraxis,NotBZ
Zeitschrift für die Steuer- und Erbrechtspraxis,ZErb
Zeitschrift für Digitalisierung und Recht,ZfDR
Zeitschrift für Energie- und Wettbewerbsrecht in der kommunalen Wirtschaft,EWeRK
Zeitschrift für Erbrecht und Vermögensnachfolge,ZEV
Zeitschrift für Europäisches Privatrecht,ZEuP
Zeitschrift für europäisches Sozial- und Arbeitsrecht,ZESAR
Zeitschrift für Europäisches Umwelt- und Planungsrecht,EurUP
Zeitschrift für Europarechtliche Studien,ZEuS
Zeitschrift für evangelisches Kirchenrecht,"ZevKR, ZevKr"
Zeitschrift für Familien- und Erbrecht,"ZFE, EF-Z"
Zeitschrift für Familienunternehmen und Stiftungen,FuS
Zeitschrift für geistiges Eigentum,ZGE
Zeitschrift für Gemeinschaftsprivatrecht,GPR
Zeitschrift für Gesetzgebung,ZG
Zeitschrift für Höchstrichterliche Rechtsprechung im Strafrecht,HRRS
Zeitschrift für Immissionsschutzrecht und Emissionshandel,I+E
Zeitschrift für Immobilienrecht,ZfIR
Zeitschrift für Insolvenzrecht,KTS
Zeitschrift für Internationale Rechnungslegung,IRZ
Zeitschrift für Internationale Strafrechtsdogmatik,ZIS
Zeitschrift für Internationales Wirtschaftsrecht,IWRZ
Zeitschrift für Internationales Wirtschaftsrecht,IWRZ
Zeitschrift für Japanisches Recht,ZJapanR
Zeitschrift für Kindschaftsrecht und Jugendhilfe,ZKJ
Zeitschrift für Luft- und Weltraumrecht,ZLW
Zeitschrift für Medizinstrafrecht,medstra
Zeitschrift für Miet- und Raumrecht,ZMR
Zeitschrift für neuere Rechtsgeschichte,ZNR
Zeitschrift für neues Energierecht,ZNER
Zeitschrift für Öffentliches Recht in Norddeutschland,NordÖR
Zeitschrift für Parlamentsfragen,ZParl
Zeitschrift für Personalvertretungsrecht,ZfPR
Zeitschrift für Rechtsgeschichte - Savigny-Zeitschrift,ZRG
Zeitschrift für Rechtspolitik,ZRP
Zeitschrift für Rechtssoziologie,"ZfRsoz, Zs. f. Rechtssoz."
Zeitschrift für Schadensrecht,zfs
Zeitschrift für Schiedsverfahren,SchiedsVZ
Zeitschrift für Sozialrecht in Deutschland und Europa,ZfSH/SGB
Zeitschrift für Stoffrecht,StoffR
