"journal_title","item_cnt"
European Journal of Operational Research,1
European Journal of Political Economy,1
European Journal of Risk Regulation,2
European Journal of Women s Studies,1
European Labour Law Journal,1
European Law Journal,13
European Law Review,2
European Papers - A Journal on Law and Integration,1
European Public Law,2
European Review of Contract Law,1
European Review of Private Law/Revue européenne de droit privé/Europäische Zeitschrift für Privatrecht,2
European Security,1
European Union Politics,1
Evangelische Theologie,1
Experimental Economics,1
Explorations in Economic History,1
F.A. Brockhaus eBooks,1
Federal Law Review,1
Federal probation,1
Federal Reserve Bulletin,3
Felix Meiner Verlag eBooks,2
Femina Politica – Zeitschrift für feministische Politikwissenschaft,1
Feminist Legal Studies,1
Feminist Review,1
F. Enke eBooks,1
Figshare,1
Financial Stability Review,2
Fiscal Studies,1
Fischer Bücherei eBooks,1
Fischer eBooks,1
Fischer Taschenbuch Verlag eBooks,1
Fischer-Taschenbuch-Verl. eBooks,1
Florida law review,1
Fordham international law journal,3
Fordham University Press eBooks,2
Foreign Affairs,12
Forensic Science International Mind and Law,1
Forschungen aus Staat und Recht,1
Forschungsjournal Soziale Bewegungen,2
Foundations and Trends® in Finance,1
Foundations and Trends® in Microeconomics,1
Foundations of Computational Intelligence,1
Franz Steiner Verlag eBooks,1
French Historical Studies,1
F. Schöningh eBooks,1
F. Vallardi eBooks,1
Gabler eBooks,1
Gabler Verlag eBooks,2
Games,1
Games and Economic Behavior,3
German History,2
German Law Journal,9
German Studies Review,1
German Yearbook of International Law,1
Geschichte in Köln,1
G. Fischer eBooks,1
Giuffrè eBooks,1
Global Affairs,1
Global Constitutionalism,1
Global Governance A Review of Multilateralism and International Organizations,1
Global Policy,1
Global studies,1
Global Studies Quarterly,1
GLQ A Journal of Lesbian and Gay Studies,1
Governance,1
Government and Opposition,4
Government Information Quarterly,2
Hahn eBooks,1
Hahnsche Buchhandlung eBooks,1
HAL (Le Centre pour la Communication Scientifique Directe),9
Hanseatische Verlagsanstalt eBooks,3
Harper & Brothers eBooks,1
Hart Publishing eBooks,9
Harvard Dataverse,1
Harvard international law journal,2
Harvard Law Review,8
Harvard University Press eBooks,3
Hastings law journal,1
Hayez eBooks,1
Health Economics Policy and Law,1
Heidelberger Jahrbücher,1
Helbing Lichtenhahn eBooks,2
Heymann eBooks,1
Histoire,1
Histopathology,1
Historische Zeitschrift,2
History and Theory,1
History of European Ideas,1
Hofstra law review,3
Human Rights Law Review,5
Human Rights Quarterly,5
Husserliana. Documente/Husserliana,1
Hypatia,1
ICSID Review - Foreign Investment Law Journal,1
IEEE Internet Computing,1
Ifo-Schnelldienst,1
ILR Review,2
ILSA journal of international & comparative law,1
IMF Staff Position Note,1
IMF Working Paper,1
INDIAN FOREIGN AFFAIRS JOURNAL,1
Indret: Revista para el Análisis del Derecho,1
Information Technologies and International Development,1
Innovation The European Journal of Social Science Research,1
Insel Verlag eBooks,1
Insel-Verl eBooks,1
InterDisciplines. Journal of History and Sociology,1
Intereconomics,1
International Affairs,17
International and Comparative Law Quarterly,6
International Community Law Review,1
International Environmental Agreements Politics Law and Economics,1
Internationales Archiv für Sozialgeschichte der deutschen Literatur,1
International Interactions,1
International Journal Canada s Journal of Global Policy Analysis,2
International Journal for Court Administration,1
International Journal For Multidisciplinary Research,1
International journal of communication,1
International Journal of Constitutional Law,12
International Journal of Forecasting,2
International Journal of Manpower,1
International Journal of Private Law,1
International Journal of Production Research,1
International Journal of Public Law and Policy,1
International Journal of Public Policy,2
International Journal of Refugee Law,9
International Journal of Technology Assessment in Health Care,1
International Journal of Transitional Justice,1
International Labor and Working-Class History,1
International Labour Review,1
International Law Reports,1
International Lawyer,1
International Legal Materials,1
International Organization,7
International Political Sociology,1
International Relations,5
International Review of Law and Economics,1
International Review of Social History,1
International Security,1
International Social Science Journal,1
International Studies Quarterly,2
International Studies Review,5
International Theory,3
International Year Book and Statesmen's Who's Who,1
Intersentia eBooks,6
Israel Law Review,1
Ius Commune Europaeum,1
Ius comparatum,1
Ius gentium,1
Jahrbuch für Wissenschaft und Ethik,1
JAMA,3
J.B. Metzler eBooks,7
J.C.B. Mohr eBooks,3
J.C.B. Mohr (Paul Siebeck) eBooks,1
J.C.B. Mohr (P. Siebeck) eBooks,1
JCMS Journal of Common Market Studies,5
Journal du droit des jeunes,1
Journal for the History of Rhetoric,1
Journal of Applied Entomology,1
Journal of Applied Social Psychology,1
Journal of Banking & Finance,1
Journal of Behavioral Decision Making,1
Journal of Biblical Literature,1
Journal of Business and Psychology,1
Journal of business law,1
Journal of Clinical Neurophysiology,2
Journal of Conflict and Security Law,2
Journal of Criminal Justice,1
Journal of democracy,2
Journal of Economic Behavior & Organization,4
Journal of Economic Dynamics and Control,1
Journal of Economic Literature,4
Journal of Economics & Management Strategy,1
Journal of Educational Psychology,1
Journal of Environmental Law,2
Journal of European Integration,1
Journal of European Integration History,1
Journal of European Public Policy,6
Journal of European Social Policy,3
Journal of Experimental Criminology,1
Journal of Experimental Psychology Human Learning & Memory,2
Journal of Experimental Psychology Learning Memory and Cognition,2
Journal of Experimental Social Psychology,1
Journal of Financial Intermediation,1
Journal of Global Security Studies,2
Journal of Human Rights Practice,1
Journal of Institutional and Theoretical Economics-zeitschrift Fur Die Gesamte Staatswissenschaft,1
Journal of Institutional Economics,1
Journal of International Arbitration,1
Journal of International Criminal Justice,5
Journal of International Dispute Settlement,7
Journal of International Economic Law,1
Journal of International Economics,1
Journal of International Migration and Integration / Revue de l integration et de la migration internationale,1
Journal of International Peacekeeping,2
Journal of korean Academy of Child and Adolescent Psychiatry,1
Journal of Labor Economics,1
Journal of Law and Society,1
Journal of Management Development,1
Journal of Management Inquiry,1
Journal of Maps,1
Journal of Marketing,1
Journal of Mathematical Sciences,1
Journal of Microfinance / ESR Review,1
Journal of money credit and banking,1
Journal of Moral Philosophy,1
Journal of Oral and Maxillofacial Surgery,1
Journal of Organizational Behavior,1
Journal of Peace Research,1
Journal of Personality and Social Psychology,1
Journal of Policy Modeling,1
Journal of Political Economy,5
Journal of Political Philosophy,3
Journal of Population Economics,2
Journal of Post Keynesian Economics,1
Journal of Private International Law,2
Journal of Public Economics,2
Journal of Quantitative Criminology,1
Journal of Research in Crime and Delinquency,1
Journal of Research in Science Teaching,1
Journal of Risk and Uncertainty,3
