"source_title","issn","article_count","cited_by_count","law_and_de","law_and_de_article_share","citations_per_paper","start_pubyear","end_pubyear","in_goldstandard"
kriminologisches journal,{0341-1966},79,2442,74,0.94,30.91,2008,2013,false
tijdschrift voor rechtsgeschiedenis-revue d histoire du droit-the legal history review,{0040-7585},279,6028,44,0.16,21.61,2008,2023,false
