"author_id","author_name","institution_id","inst_name","num_articles","min_pubyear","max_pubyear","journals"
A5034210513,Nikol Žiha,I51314090,University of Osijek,1,2023,2023,{ZRG}
A5034212403,Gregor Bachmann,I192389796,Humboldt State University,1,2018,2018,{ZGR}
A5034230098,Carsten König,I74656192,University of Göttingen,1,2017,2017,{JR}
A5034325292,Carsten Schäfer,I177802217,University of Mannheim,1,2014,2014,{ZGR}
A5034326450,Gérard Boulvert,I285663978,Weatherford College,1,2006,2006,{ZRG}
A5034364757,Phillip Hellwege,I149899117,Max Planck Society,1,2006,2006,{AcP}
A5034364757,Phillip Hellwege,I4210112296,Max Planck Institute for Comparative and International Private Law,1,2006,2006,{AcP}
A5034372966,Florian Bien,I25974101,University of Würzburg,1,2019,2019,{JURA}
A5034556061,Marius Breucker,I4210090918,Federal Ministry of the Interior,1,2005,2005,{JR}
A5034581433,Thorsten Siegel,I75951250,Freie Universität Berlin,1,2020,2020,{JURA}
A5034604931,Laurent Pfister,I117841876,Université Paris-Panthéon-Assas,1,2021,2021,{ZRG}
A5034666548,Herbert Landau,I4210119349,Karlsruhe University of Education,1,2009,2009,{ZStW}
A5034693978,Alexander Heger,I114090438,Goethe University Frankfurt,2,2021,2022,"{JURA,JURA}"
A5034753336,Daniel Bunsen,I161046081,University of Freiburg,1,2019,2019,{JURA}
A5034799251,Mohamad El-Ghazi,I180437899,University of Bremen,2,2014,2018,"{ZStW,ZStW}"
A5034799251,Mohamad El-Ghazi,I32021983,Kiel University,1,2012,2012,{JR}
A5034799251,Mohamad El-Ghazi,I89864525,Universität Trier,1,2021,2021,{JR}
A5034866672,Till Zimmermann,I186354981,University of Passau,1,2010,2010,{JR}
A5034880163,Michael Beurskens,I135140700,University of Bonn,1,2016,2016,{JR}
A5034914905,Michael Olbrich,I91712215,Saarland University,1,2021,2021,{AG}
A5034915180,Linda Kuschel,I90523175,Bucerius Law School,1,2022,2022,{JURA}
