"abk","pubyear","item_id","item_id_cited","citing_pubyear","ref_pubyear","ref_is_also_in_goldstandard","ref_is_also_german_law"
AcP,1987,W2947408817,,,,,
AcP,1987,W2947196870,,,,,
AcP,1987,W2947032094,,,,,
AcP,1987,W192272372,,,,,
AcP,1987,W2952692732,,,,,
AcP,1987,W2952694424,,,,,
AcP,1987,W2952322616,,,,,
AcP,1987,W2953954549,,,,,
AcP,1987,W2952695156,,,,,
AcP,1987,W2953476237,,,,,
AcP,1987,W2954236296,,,,,
AcP,1987,W138614904,,,,,
AcP,1987,W196341346,,,,,
AcP,1987,W2953404983,,,,,
AcP,1987,W257907912,,,,,
AcP,1987,W154557860,,,,,
AcP,1987,W500240969,,,,,
AcP,1988,W2964890252,,,,,
AcP,1988,W2965027083,,,,,
AcP,1988,W2965086271,,,,,
AcP,1988,W45297008,,,,,
AcP,1988,W2965627989,,,,,
AcP,1988,W3147826851,,,,,
AcP,1988,W2623226084,,,,,
AcP,1988,W2733679753,,,,,
AcP,1988,W2966475715,,,,,
AcP,1988,W2966120455,,,,,
AcP,1988,W113871624,,,,,
AcP,1988,W84724806,,,,,
AcP,1988,W2966764406,,,,,
AcP,1988,W2966648159,,,,,
AcP,1988,W2946734703,,,,,
AcP,1988,W2966776450,,,,,
AcP,1988,W164461552,,,,,
AcP,1988,W2966718852,,,,,
AcP,1988,W2965735013,,,,,
AcP,1988,W2966862916,,,,,
AcP,1988,W2965844567,,,,,
AcP,1988,W167133992,,,,,
AcP,1988,W190339921,,,,,
AcP,1989,W43436469,,,,,
AcP,1989,W147581260,,,,,
AcP,1989,W191093847,,,,,
AcP,1989,W33341762,,,,,
AcP,1989,W2965383253,,,,,
AcP,1989,W2965381126,,,,,
AcP,1989,W2965135663,,,,,
AcP,1989,W2965095795,,,,,
AcP,1989,W2964884679,,,,,
AcP,1989,W2964779336,,,,,
AcP,1989,W2964747341,,,,,
AcP,1989,W2964630384,,,,,
AcP,1989,W2964398338,,,,,
AcP,1989,W2966741153,,,,,
AcP,1989,W80450153,,,,,
AcP,1989,W132841762,,,,,
AcP,1989,W2965630757,,,,,
AcP,1989,W2965690315,,,,,
AcP,1989,W2965691758,,,,,
AcP,1989,W2965734674,,,,,
AcP,1989,W223056025,,,,,
AcP,1989,W2965859778,,,,,
AcP,1989,W2965932418,,,,,
AcP,1989,W2966004264,,,,,
AcP,1989,W2966057858,,,,,
AcP,1989,W2966145736,,,,,
AcP,1989,W103240925,,,,,
AcP,1989,W2966803435,,,,,
AcP,1989,W2966821821,,,,,
AcP,1989,W120363391,,,,,
AcP,1989,W53180543,,,,,
AcP,1989,W2966687423,,,,,
AcP,1989,W2946506738,,,,,
AcP,1989,W2967838660,,,,,
AcP,1989,W2944910454,,,,,
AcP,1990,W2946651449,,,,,
AcP,1990,W2966315020,,,,,
AcP,1990,W2966208660,,,,,
AcP,1990,W2965872330,,,,,
AcP,1990,W2965848529,,,,,
AcP,1990,W2167879916,,,,,
AcP,1990,W2950189545,,,,,
AcP,1990,W2946772068,,,,,
AcP,1990,W2946157985,,,,,
AcP,1990,W2945724032,,,,,
AcP,1990,W102100279,,,,,
AcP,1990,W129150548,,,,,
AcP,1990,W85209503,,,,,
AcP,1990,W55269430,,,,,
AcP,1990,W71664519,,,,,
AcP,1990,W64936813,,,,,
AcP,1990,W2951883669,,,,,
AcP,1990,W138807907,,,,,
AcP,1990,W144347121,,,,,
AcP,1990,W18687534,,,,,
AcP,1990,W148594730,,,,,
AcP,1990,W2952343161,,,,,
AcP,1990,W2965376191,,,,,
AcP,1990,W154367516,,,,,
AcP,1990,W2965026161,,,,,
AcP,1990,W154596160,,,,,
AcP,1990,W2964841097,,,,,
AcP,1990,W31676344,,,,,
AcP,1991,W2922141682,,,,,
AcP,1991,W2920082234,,,,,
AcP,1991,W2920076597,,,,,
AcP,1991,W2919972565,,,,,
AcP,1991,W2919600268,,,,,
AcP,1991,W2918759229,,,,,
AcP,1991,W2917824616,,,,,
AcP,1991,W2917367293,,,,,
AcP,1991,W311786248,,,,,
AcP,1991,W2940799979,,,,,
AcP,1991,W131510109,,,,,
AcP,1991,W2942135915,,,,,
AcP,1991,W104924505,,,,,
AcP,1991,W2147735250,,,,,
AcP,1991,W2943374857,,,,,
AcP,1991,W2941849547,,,,,
AcP,1991,W55010827,,,,,
AcP,1991,W2993623788,,,,,
AcP,1991,W62825219,,,,,
AcP,1991,W24590649,,,,,
AcP,1991,W2916111333,,,,,
AcP,1991,W2916559462,,,,,
AcP,1991,W2916112813,,,,,
AcP,1991,W2916350289,,,,,
AcP,1991,W179840591,,,,,
AcP,1991,W139182599,,,,,
AcP,1991,W2914635884,,,,,
AcP,1991,W2913651289,,,,,
AcP,1991,W2916339066,,,,,
AcP,1991,W149813862,,,,,
AcP,1991,W2913012471,,,,,
AcP,1992,W2912300694,,,,,
AcP,1992,W2913417049,,,,,
AcP,1992,W2911375997,,,,,
AcP,1992,W2911856865,,,,,
AcP,1992,W2915306837,,,,,
AcP,1992,W2915763383,,,,,
AcP,1992,W9801929,,,,,
AcP,1992,W2915901502,,,,,
AcP,1992,W97157256,,,,,
AcP,1992,W2912776279,,,,,
AcP,1992,W2917132148,,,,,
AcP,1992,W2920231780,,,,,
AcP,1992,W2920241278,,,,,
AcP,1992,W2941167452,,,,,
AcP,1992,W2917867217,,,,,
AcP,1992,W2920521142,,,,,
AcP,1992,W2920115514,,,,,
AcP,1992,W504595160,,,,,
AcP,1992,W78489386,,,,,
AcP,1992,W2941962363,,,,,
AcP,1992,W228101715,,,,,
AcP,1992,W156493343,,,,,
AcP,1992,W78033240,,,,,
AcP,1993,W225108723,,,,,
AcP,1993,W2942055288,,,,,
AcP,1993,W120370814,,,,,
AcP,1993,W104854153,,,,,
AcP,1993,W221813797,,,,,
AcP,1993,W79462217,,,,,
AcP,1993,W124163493,,,,,
AcP,1993,W40501424,,,,,
AcP,1993,W54359786,,,,,
AcP,1993,W2913194597,,,,,
AcP,1993,W2915864546,,,,,
