"abk","citing_pubyear","count"
ZStW,1931,2
JR,1928,90
ZRG,1985,83
EuR,2002,3
VerwArch,2018,6
RabelsZ,2019,78
ZRP,2008,2
JZ,1994,1
ZZP,2012,1
ZRG,1952,10
ZStW,1929,11
AöR,2020,116
ZRG,1988,273
ZStW,2001,57
ZRG,1889,1
JR,2012,116
ZaoRV,2022,25
JURA,1993,1
ZRG,2009,519
KJ,2010,92
JR,2024,88
ZaoRV,2007,1
CR,2013,22
Staat,2018,86
JR,2007,142
KJ,1995,46
Staat,2010,37
ZRG,1920,51
NStZ,2009,17
JR,1927,43
ZStW,1941,2
EuR,2024,118
ZRG,1998,305
AöR,2007,15
JR,1998,100
DVBI,2002,4
ZStW,2005,57
JURA,2004,1
Staat,2008,28
ZRG,2021,697
NStZ,2024,7
JR,1975,129
ZStW,1932,8
JZ,2002,6
RabelsZ,2018,117
ZStW,2024,135
JZ,2018,368
JR,1937,52
ZRG,1947,5
AcP,1992,5
AG,2021,44
NStZ,2018,20
ZStW,2000,26
ZZP,2019,10
ZRG,1927,10
KritV,2021,54
MDR,2020,15
BB,2014,2
StV,2018,10
ZRG,1989,52
ZGR,2005,79
ZRG,1922,1
KJ,1968,24
AG,2006,1
AcP,2008,29
GmbHR,2011,6
AVR,2008,77
Verw,2023,30
KJ,1983,33
AVR,2019,95
RabelsZ,1979,1
JR,1951,81
JURA,2009,10
ZStW,1979,1
KJ,1979,29
ZStW,1982,7
AG,2007,2
ZStW,1981,23
StV,2020,12
JR,1926,21
RabelsZ,2005,11
ZRG,1936,1
KJ,1972,31
ZStW,1934,12
StV,2019,14
GmbHR,2008,10
JR,1957,53
ZGR,1982,6
StV,2013,3
KJ,1974,25
AöR,1975,1
KJ,2023,686
ZRG,1959,18
JR,1976,82
ZRG,1934,8
BB,2018,1
BB,2020,2
RabelsZ,2022,150
ZRG,1945,4
KJ,1996,55
AcP,2019,55
ZGR,2010,56
ZRG,1977,56
RabelsZ,2012,112
ZRG,1933,6
JZ,2003,9
JZ,1996,3
AcP,2004,9
JURA,2005,1
ZRG,1943,3
StV,2024,4
RabelsZ,2010,264
Verw,2015,28
ZRG,2018,590
ZRG,1961,19
ZRG,1963,449
JURA,2007,2
MDR,2012,2
ZGR,2021,73
BB,1993,1
ZRG,1964,18
AöR,2009,43
GmbHR,2021,15
ZZP,2007,2
DVBI,1998,1
Verw,2019,27
NZG,2024,1
KritV,1997,1
KJ,1990,53
ZZP,2017,5
RabelsZ,1932,1
DVBI,2023,28
DVBI,2015,10
ZGR,2004,43
VerwArch,2016,1
ZStW,1922,15
ZRG,2017,583
ZGR,1998,23
AVR,2017,81
EuR,2007,13
ZStW,1946,1
KJ,2003,85
Staat,2007,22
JZ,2013,187
AöR,2018,69
VerwArch,1990,1
JURA,2020,39
BB,2004,7
ZZP,2016,27
JZ,1956,1
EuR,2006,11
JR,1934,80
AöR,1981,1
JZ,1998,1
