"source_id","display_name","works_count","cited_by_count","law_and_de","law_and_de_article_share","citations_per_paper"
S198335345,Acta Oto-Laryngologica,20055,318264,9,0.00,15.87
S198620474,Acta Neuropathologica,9783,538287,11,0.00,55.02
S198620782,Synthesis philosophica,930,1118,5,0.01,1.20
S19864348,Der Onkologe,4167,5443,21,0.01,1.31
S198645039,Die Welt des Islams,3681,23695,18,0.00,6.44
S198727964,Oncology,7393,150142,1,0.00,20.31
S198731068,Central European History,4337,9206,5,0.00,2.12
S198848756,RISKNEWS,294,171,4,0.01,0.58
S199075998,Antike und Abendland,896,3032,17,0.02,3.38
S199750970,Acta Ethnographica Hungarica,718,699,2,0.00,0.97
S199832308,Human Genetics,12746,429066,2,0.00,33.66
S200379605,Der Pneumologe,1141,952,3,0.00,0.83
S200552348,Endo-Praxis,1185,304,4,0.00,0.26
S200722243,Adelaide law review,342,651,1,0.00,1.90
S20076162,Social Anthropology,3016,19048,1,0.00,6.32
S201135062,Das Mittelalter,715,447,10,0.01,0.63
S201224749,Geometriae Dedicata,4570,53174,2,0.00,11.64
S201230245,PROTOPLASMA,10847,215089,3,0.00,19.83
S20156614,Periodica Polytechnica Architecture,496,343,1,0.00,0.69
S201711328,Transformation,946,5944,1,0.00,6.28
S202109368,Saeculum,1878,4344,5,0.00,2.31
S202153116,Bundesgesundheitsblatt,471,573,3,0.01,1.22
S202177710,Zeitschrift für Gerontologie und Geriatrie,3407,23511,12,0.00,6.90
S202200076,Monatsschrift Kinderheilkunde,6303,14063,9,0.00,2.23
S202482741,German Studies Review,6509,66698,28,0.00,10.25
S202705189,Holzforschung,6637,108293,1,0.00,16.32
S202798957,Brazilian Oral Research,3311,42796,1,0.00,12.93
S202848731,Journal of Historical Geography,5486,54000,1,0.00,9.84
S203063166,Opera,156,360,1,0.01,2.31
S203071428,Journal of Chinese Philosophy,3888,8300,1,0.00,2.13
S203105838,Berkeley technology law journal,984,6957,1,0.00,7.07
S203116125,Archivio storico italiano,597,375,1,0.00,0.63
S203189348,European Journal of Mental Health,393,948,10,0.03,2.41
S203378611,Church History,16837,25057,7,0.00,1.49
S203465302,Pflügers Archiv - European Journal of Physiology,25446,600025,51,0.00,23.58
S203572503,Publicationes Mathematicae Debrecen,4174,24825,6,0.00,5.95
S203731397,Gnomon-kritische Zeitschrift Fur Die Gesamte Klassische Altertumswissenschaft,83,33,3,0.04,0.40
S204145469,Augustinianum,4378,7516,6,0.00,1.72
S204268691,psychoneuro,1233,767,2,0.00,0.62
S2042836,Intertax,5609,4351,29,0.01,0.78
S204308127,Ophthalmologica,15248,92583,45,0.00,6.07
S204358660,Der Staat,846,1928,405,0.48,2.28
S204374153,Philosophy and Phenomenological Research,8267,222859,5,0.00,26.96
S204648954,osteuropa,992,287,20,0.02,0.29
S20475639,Journal of European Competition Law & Practice,1331,2849,1,0.00,2.14
S205108502,Erde,41,272,1,0.02,6.63
S205145379,European Journal of Applied Physiology,8524,291843,7,0.00,34.24
S205266082,Organisationsberatung Supervision Coaching,1260,2465,3,0.00,1.96
S205279741,The Notre Dame law review,3050,7108,1,0.00,2.33
S205284143,The Historical Journal,4696,47727,1,0.00,10.16
S20542293,Bijdragen tot de taal- land- en volkenkunde / Journal of the Humanities and Social Sciences of Southeast Asia,4991,11974,4,0.00,2.40
