"source_id","display_name","works_count","cited_by_count","law_and_de","law_and_de_article_share","citations_per_paper"
S23770309,OP-Journal,1148,586,2,0.00,0.51
S24117370,Jezikoslovlje,470,1288,1,0.00,2.74
S24190753,Lloyd's maritime and commercial law quarterly,721,818,1,0.00,1.13
S24221444,Cultura,518,709,1,0.00,1.37
S24470789,Perspektiven der Wirtschaftspolitik,898,5509,9,0.01,6.13
S2486410643,Herzogia,1054,5028,1,0.00,4.77
S2486601245,Ernährungs-Umschau. Ausgabe B,299,344,1,0.00,1.15
S2490459597,Agrarwirtschaft,471,2116,6,0.01,4.49
S2490815337,Agrarforschung Schweiz,1002,552,1,0.00,0.55
S24945758,Erdkunde,2171,14314,14,0.01,6.59
S2502551423,OR Spectrum,1961,42048,3,0.00,21.44
S25145487,Philologus,8029,11507,74,0.01,1.43
S25209995,Der Klinikarzt,3766,875,25,0.01,0.23
S25369639,Political Theory,2946,58119,1,0.00,19.73
S25389742,The Police Journal Theory Practice and Principles,7126,6224,2,0.00,0.87
S255146,Synthese,10182,169955,15,0.00,16.69
S25616042,The European Legacy,3884,11956,1,0.00,3.08
S25652865,MMW - Fortschritte der Medizin,22679,3571,415,0.02,0.16
S25739708,International Journal of Rock Mechanics and Mining Sciences & Geomechanics Abstracts,52359,214874,1,0.00,4.10
S25774322,Juristische Rundschau,14334,8887,4204,0.29,0.62
S25806919,Monatshefte für Mathematik,10127,74909,46,0.00,7.40
S26173706,Der Diabetologe,2039,1548,5,0.00,0.76
S26427988,Mitteilungen der Österreichischen Geographischen Gesellschaft,389,535,6,0.02,1.38
S26554913,Operative Orthopädie und Traumatologie,1737,13070,3,0.00,7.52
S26605106,Diabetologie und Stoffwechsel,7949,3385,10,0.00,0.43
S26762059,The International Journal of Children s Rights,1285,16313,1,0.00,12.69
S27149379,Merkur,4556,4307,120,0.03,0.95
S2734509524,British Yearbook of International Law,1534,8815,5,0.00,5.75
S2734630008,Arbitration Law Reports and Review,552,280,12,0.02,0.51
S27349033,Theological Studies,11063,13022,9,0.00,1.18
S2735436124,Uniform Law Review,3520,3745,19,0.01,1.06
S2735488580,Current Legal Problems,1323,7969,1,0.00,6.02
S2735743382,Yearbook of European Law,1121,6721,1,0.00,6.00
S2736107020,Yearbook of International Environmental Law,1511,3051,1,0.00,2.02
S2736307699,Julius-Kühn-Archiv,3464,3202,14,0.00,0.92
S2736313975,ARS,282,88,2,0.01,0.31
S2736345989,Studia Warmińskie,454,305,1,0.00,0.67
S2736373470,Acta Neophilologica,838,228,2,0.00,0.27
S2736374698,sui generis,275,81,92,0.33,0.29
S2736391354,Historia Constitucional,640,418,5,0.01,0.65
S2736428834,Revista Direito e Práxis,1439,2158,2,0.00,1.50
S2736444980,Revista europea de derecho de la navegación marítima y aeronáutica/Revista europea de derecho de la navegación marítima y aeronáutica,317,26,4,0.01,0.08
S2736480335,Göttinger Forum für Altertumswissenschaft,482,206,8,0.02,0.43
S2736547671,Dubrovnik annals,211,134,1,0.00,0.64
S2736580918,Droit et Cultures,637,512,1,0.00,0.80
S2736667443,Sendebar,462,464,1,0.00,1.00
S2736675346,Panorama,168,42,2,0.01,0.25
S2736711280,Österreichische Zeitschrift für Politikwissenschaft/ÖZP. Österreichische Zeitschrift für Politikwissenschaft,646,2189,57,0.09,3.39
S2736801224,IUS ET VERITAS,1514,403,1,0.00,0.27
S2736806674,Seqüência estudos jurídicos e políticos,645,789,1,0.00,1.22
S2736823487,Austrian law journal,55,47,34,0.62,0.85
S2736878207,Zeitschrift für Hochschulentwicklung,757,1811,14,0.02,2.39
S2736878434,Vergentis,109,19,1,0.01,0.17
S2736892257,Partnership The Canadian Journal of Library and Information Practice and Research,658,2207,1,0.00,3.35
S2736958894,Revista de Filosofía,2710,2738,1,0.00,1.01
S2736969199,Primary and Hospital Care,90,3,3,0.03,0.03
S2737073339,ethic - An international Journal for Moral Phylosophy,616,511,1,0.00,0.83
S2737220896,Pandaemonium Germanicum,676,330,1,0.00,0.49
S2737265183,Folia Toruniensia,180,73,2,0.01,0.41
S2737327475,International Journal of Instruction,1784,25871,1,0.00,14.50
S2737446356,Con-Textos Kantianos International Journal of Philosophy,337,343,2,0.01,1.02
S2737494141,CLCWeb Comparative Literature and Culture,1320,3673,1,0.00,2.78
S2737530204,GW-Unterricht,402,382,2,0.00,0.95
S2737562164,GMS. Medizin - Bibliothek - Information,40,18,1,0.03,0.45
S2737565336,Zeithistorische Forschungen,20,46,1,0.05,2.30
S2737688452,Orion/ORiON,753,1331,1,0.00,1.77
S2737694596,Política Revista de Ciencia Política,515,1510,1,0.00,2.93
S2737752361,Revista de filosofía y teoría política,453,322,1,0.00,0.71
S2737783124,Diametros,845,1056,1,0.00,1.25
S2737787548,Medienimpulse/Medien-Impulse,879,472,17,0.02,0.54
S2737896836,Amaltea Revista de mitocrítica,212,58,1,0.00,0.27
S2737911827,Tr@jectoires,516,282,1,0.00,0.55
S2737914819,Andererseits,302,163,2,0.01,0.54
S2737948794,"027 7 Zeitschrift für Bibliothekskultur",70,80,1,0.01,1.14
S2737969394,Scripta,1316,882,1,0.00,0.67
S2738000166,Bwp@. Berufs- und Wirtschaftspädagogik online,5,10,1,0.20,2.00
S2738021084,Querelles,16,10,1,0.06,0.63
S2738061262,MedienPädagogik Zeitschrift für Theorie und Praxis der Medienbildung,1210,4084,5,0.00,3.38
S2738097498,Limina,79,39,3,0.04,0.49
S2738141082,Informationspraxis,36,23,1,0.03,0.64
S2738178592,InDret,1098,1089,1,0.00,0.99
S2738226774,Zbornik radova Pravnog fakulteta Novi Sad,1204,749,1,0.00,0.62
S2738275830,Arena Hukum,416,940,1,0.00,2.26
S2738533677,Anuario de Derechos Humanos,855,692,1,0.00,0.81
S2738538773,Öneri Dergisi,1285,1671,1,0.00,1.30
S2738562123,Journal of Agribusiness and Rural Development,1128,2591,1,0.00,2.30
S2738568465,Administration,83,367,1,0.01,4.42
S2738601765,O-bib,27,30,2,0.07,1.11
S2738615515,Behemoth,319,1314,7,0.02,4.12
S2738683313,Revista crítica de ciências sociais/Revista crítica de ciências sociais,1419,5008,1,0.00,3.53
S2738687830,Revista Catalana de Dret Públic,786,384,1,0.00,0.49
S2738742943,Library ideas,294,218,2,0.01,0.74
S2738772511,Werkwinkel,84,52,1,0.01,0.62
S2738809339,Studia z Filologii Polskiej i Słowiańskiej,459,282,1,0.00,0.61
S2738846634,Rivista di estetica,1068,871,1,0.00,0.82
S2738904989,[sic] - a journal of literature culture and literary translation,517,154,8,0.02,0.30
S2738967426,Daímon,1730,1377,1,0.00,0.80
S2739007354,Bollettino telematico di filosofia politica,44,16,1,0.02,0.36
S2739045422,Potchefstroom Electronic Law Journal/Potchefstroomse Elektroniese Regsblad,1672,4383,1,0.00,2.62
S2739048028,Querelles-Net,952,2420,26,0.03,2.54
S2739057121,Komunikacija i kultura online,114,40,1,0.01,0.35
S2739081848,Revista europea de historia de las ideas políticas y de las instituciones públicas/Revista europea de historia de las ideas políticas y de las instituciones públicas,359,22,9,0.03,0.06
S27391030,Journal of the American Musicological Society,6641,18365,1,0.00,2.77
S2739187190,Landtechnik,2626,1961,12,0.00,0.75
S2739248815,Revista crítica de historia de las relaciones laborales y de la política social/Revista crítica de historia de las relaciones laborales y de la política social,167,370,2,0.01,2.22
S2739332563,Revista Electrónica de Estudios Internacionales,537,280,1,0.00,0.52
S2739372834,Zeitschrift für interkulturellen Fremdsprachenunterricht,531,1218,1,0.00,2.29
S2739456156,Momentum Quarterly - Zeitschrift für sozialen Fortschritt,117,239,2,0.02,2.04
S2739462270,Revista de la Facultad de Medicina,3528,3121,1,0.00,0.88
S27417907,Logique et analyse/Logique et analyse. Nouvelle série,491,3624,1,0.00,7.38
S2751726869,Krankenpflege,343,12,1,0.00,0.03
S2752698192,The Japanese Journal of Urology,33100,9298,1,0.00,0.28
S2752849469,Deutsche zahnärztliche Zeitschrift,72,142,1,0.01,1.97
S2754073898,Pflegezeitschrift,2181,684,35,0.02,0.31
S2754095473,Zeitschrift für Allgemeinmedizin,2107,1072,12,0.01,0.51
S2754400875,Angewandte Parasitologie,167,125,1,0.01,0.75
S2754637932,Biological Chemistry Hoppe-Seyler,1759,32938,1,0.00,18.73
S2754649489,Pädiatrie & Pädologie,1414,593,6,0.00,0.42
S2754650344,Medizinhistorisches Journal,265,537,1,0.00,2.03
S2754654680,Zeitschrift für Krebsforschung,260,837,2,0.01,3.22
S2754672822,Archiv für Orthopädische und Unfall-Chirurgie,4364,16937,21,0.00,3.88
S2754767215,Journal of law and medicine,770,618,1,0.00,0.80
S2754953863,Transactions of the American Clinical and Climatological Association,490,287,1,0.00,0.59
S2754979538,Mund- Kiefer- und Gesichtschirurgie,1128,7561,3,0.00,6.70
S2755089292,Japanese journal of industrial health,759,38,1,0.00,0.05
S2755483584,Neuro-endocrinology letters,320,326,1,0.00,1.02
S2755541247,Die Rehabilitation,1892,7926,13,0.01,4.19
S2756284100,Archiv für klinische und experimentelle Dermatologie,348,1417,2,0.01,4.07
S2756346423,Beitraege zur Gerichtlichen Medizin,144,62,1,0.01,0.43
S27602889,Journal of Asian and African Studies,4479,16728,1,0.00,3.73
S2764344521,LSP journal,150,308,2,0.01,2.05
S2764345009,Monetary Policy & the Economy,338,1320,1,0.00,3.91
S2764348713,Nederlands Tijdschrift voor de Mensenrechten,195,37,3,0.02,0.19
S2764349127,Austrian Review of International and European Law Online,607,929,9,0.01,1.53
S2764350175,Hiroshima hōgaku,441,20,4,0.01,0.05
S2764355095,British tax review,550,740,1,0.00,1.35
S2764359511,Türkiye Klinikleri cerrahi dergisi,243,43,1,0.00,0.18
S2764360693,Glossae,356,87,2,0.01,0.24
S2764360886,Lightweight Design,871,615,2,0.00,0.71
S2764362888,Lublin Studies in Modern Languages and Literature,641,364,4,0.01,0.57
S2764365625,RWI Projektberichte,243,144,25,0.10,0.59
S2764370296,Hōgaku shinpō,220,9,14,0.06,0.04
S2764372682,Bulletin of the International Committee on Urgent Anthropological and Ethnological Research,446,223,1,0.00,0.50
S2764375719,Choice Reviews Online,195593,11201389,8,0.00,57.27
S2764378993,Saint Louis University public law review,535,752,2,0.00,1.41
S2764381328,Journal of History,8690,3747,3,0.00,0.43
S2764381488,The Annals of Iowa,11001,24939,2,0.00,2.27
S2764382211,Philosophy in Review,6485,2008,1,0.00,0.31
S2764383307,Education for Information,1446,14847,2,0.00,10.27
S2764383377,HERMES - Journal of Language and Communication in Business,957,4128,2,0.00,4.31
S2764389107,Studies in Philosophy East-West,1221,51,3,0.00,0.04
S2764391326,Ringyo keizai/Ringyō keizai,444,62,1,0.00,0.14
S2764391821,Industrielle Beziehungen Zeitschrift für Arbeit Organisation und Management,615,2860,22,0.04,4.65
S2764392591,EHRC. European human right cases,859,24,2,0.00,0.03
S2764395651,Gyeong'yeong beoblyul,677,30,23,0.03,0.04
S2764395988,Kentucky law journal,3400,1469,2,0.00,0.43
S2764398266,Review of European Administrative Law,274,641,1,0.00,2.34
S2764402342,JOURNAL OF INDIAN AND BUDDHIST STUDIES (INDOGAKU BUKKYOGAKU KENKYU),14623,954,1,0.00,0.07
S2764403010,The Journal of Sports and Entertainment Law,636,373,33,0.05,0.59
S2764405874,Zeitschrift für schweizerische Statistik und Volkswirtschaft/Schweizerische Zeitschrift für Volkswirtschaft und Statistik/Swiss journal of economics and statistics,2046,9252,93,0.05,4.52
S2764409186,Hitotsubashi ronsō,408,424,8,0.02,1.04
S2764411241,Austrian Journal of Statistics,649,4155,2,0.00,6.40
S2764413441,Journal for Labour Market Research,364,5026,1,0.00,13.81
S2764417145,Erziehungswissenschaftliche Revue,2014,5169,18,0.01,2.57
S2764417368,Journal of the Royal Historical Society of Queensland,639,498,1,0.00,0.78
S2764418788,psychopraxis neuropraxis,840,241,1,0.00,0.29
S2764421229,Rechtshistorisches Journal,170,257,39,0.23,1.51
S2764422529,South African Journal of Ethnology,240,650,1,0.00,2.71
S2764423839,Ho shakaigaku/Hōshakaigaku,1051,103,31,0.03,0.10
S2764427395,Social work & society,365,2294,1,0.00,6.28
S2764430341,The Federalist Debate,1015,467,2,0.00,0.46
S2764440961,Labor and Demography,264,1197,1,0.00,4.53
S2764445730,Kyoto Furitsu Ika Daigaku zasshi,355,25,1,0.00,0.07
S2764446749,International Journal of Sport Communication,746,8812,1,0.00,11.81
S2764452064,St. John's law review,3076,2401,3,0.00,0.78
S2764453907,SungKyunKwan Law Review,1001,120,62,0.06,0.12
S2764455421,Negro history bulletin,135,110,1,0.01,0.81
S2764457167,"TLS, the Times literary supplement/Times literary supplement on CD-ROM/TLS. Times literary supplement",11520,4097,1,0.00,0.36
S2764460386,Communication: journalism education today,681,81,1,0.00,0.12
S2764468503,Missouri law review,2285,1565,3,0.00,0.68
S2764485268,Allergo Journal,6012,2775,114,0.02,0.46
S2764486598,Usability Professionals,796,566,25,0.03,0.71
S2764493737,"Oil, Gas & Energy Law Journal",2000,3031,1,0.00,1.52
S2764493912,Thuenen-Series of Applied Economic Theory,147,150,3,0.02,1.02
S2764493917,Migrantenrecht,413,109,6,0.01,0.26
S2764494129,Speaker and Gavel,152,143,1,0.01,0.94
S2764497876,Journal of the Daedong Philosophical Association,1002,18,1,0.00,0.02
S2764501783,Ritsumeikan law review. International ed./Ritsumeikan law review,432,255,116,0.27,0.59
S2764502337,Dankook Law Riview,705,121,12,0.02,0.17
S2764508653,Kansai Daigaku hōgaku ronshū,116,4,11,0.09,0.03
S2764510139,Osaka University law review,238,109,21,0.09,0.46
S2764516899,The Family in Law,2495,1395,4,0.00,0.56
S2764521909,Senkyo kenkyū/Senkyo kenkyu,265,125,1,0.00,0.47
S2764522238,Shōkei ronsō,190,9,3,0.02,0.05
S2764524079,BRAZILIAN JOURNAL OF AGRICULTURE - Revista de Agricultura,1942,3192,1,0.00,1.64
S2764524227,Journal of social science education/Sowi-Onlinejournal,353,1322,2,0.01,3.75
S2764525372,Laboratory Research and Exploration,953,56,1,0.00,0.06
S2764527018,Land Use Law & Zoning Digest,1595,491,2,0.00,0.31
S2764527250,The journal of health care law & policy,278,879,1,0.00,3.16
S2764529328,THEOLOGICAL STUDIES IN JAPAN,1576,357,1,0.00,0.23
S2764539367,The chronicle of higher education,5644,17140,1,0.00,3.04
S2764542256,Spiritual Care,1024,1123,4,0.00,1.10
S2764543030,Bellwether Magazine,442,28,1,0.00,0.06
S2764543046,Journal of Ecological Engineering,2658,13440,1,0.00,5.06
S2764543368,Revue Européenne de Droit Public/European review of public law,898,346,23,0.03,0.39
S2764544603,Korean Lawyers Association Journal,1583,154,112,0.07,0.10
S2764548945,Modern Management Review,507,656,1,0.00,1.29
S2764551224,HTM Journal of Heat Treatment and Materials,4008,5481,44,0.01,1.37
S2764554216,The Journal of the National Dental Association,1830,1574,1,0.00,0.86
S2764560115,Korean Journal of Teacher Education,1089,364,1,0.00,0.33
S2764561744,Swiss Medical Informatics,186,98,4,0.02,0.53
S2764565149,ADE Bulletin,2352,2446,1,0.00,1.04
S2764575705,Alberta Law Review,2439,4111,1,0.00,1.69
S2764578087,The American Transcendental Quarterly,156,436,1,0.01,2.79
S2764578414,Annual Survey of Massachusetts Law,459,12,1,0.00,0.03
S2764579480,Chain reaction,643,210,1,0.00,0.33
S2764580460,Journal of Korean Public Police and Security Studies,520,176,1,0.00,0.34
S2764586335,The MAK Collection for Occupational Health and Safety,12,2,1,0.08,0.17
S2764586478,wiiw Research Reports,221,598,1,0.00,2.71
S2764586710,The IZA World of Labor,502,11,11,0.02,0.02
S2764598173,Munich Reprints in Economics,253,355,4,0.02,1.40
S2764600183,The Korean Journal of Securities Law,339,52,2,0.01,0.15
S2764601581,Public Land and Resources Law Review,2112,480,230,0.11,0.23
S2764603812,Nagoya Daigaku hosei ronshu/Hōsei ronshū,157,16,16,0.10,0.10
S2764609088,Nebraska law review,1848,2512,1,0.00,1.36
S2764610105,Nómadas Revista Crítica de Ciencias Sociales y Jurídicas,1266,1427,1,0.00,1.13
S2764610732,Teacher magazine,198,721,1,0.01,3.64
S2764613002,Notre Dame philosophical reviews,904,1102,1,0.00,1.22
S2764615028,Bryn Mawr classical review,724,1123,3,0.00,1.55
S2764618091,Narodna umjetnost,755,890,1,0.00,1.18
S2764624050,Washington University law review,2902,5713,2,0.00,1.97
S2764628972,Montana law review,1325,702,1,0.00,0.53
S2764629891,University of Richmond law review,1466,1661,1,0.00,1.13
S2764629927,Bunka keizaigaku,291,71,1,0.00,0.24
S2764630536,Journal of Contemporary Private Law,533,127,4,0.01,0.24
S2764634091,Building Connection,499,15,1,0.00,0.03
S2764634890,BIOspektrum,2120,494,8,0.00,0.23
S2764639479,International Journal of Maritime History,4898,3916,2,0.00,0.80
S2764639865,Bulletin of the Astronomical Institutes of Czechoslovakia,1451,2179,1,0.00,1.50
S2764640192,Agricultural law digest,703,137,2,0.00,0.19
S2764641216,Ethnologia Europaea,916,2536,2,0.00,2.77
S2764641819,Journal on European history of law,206,70,34,0.17,0.34
S2764642956,Journal of the Royal Statistical Society Series C (Applied Statistics),4398,191711,1,0.00,43.59
S2764646455,Literator,2066,1836,1,0.00,0.89
S2764651184,Ajou Law Review,458,101,22,0.05,0.22
S2764659143,Journal of art & entertainment law,511,294,3,0.01,0.58
S2764660481,Canadian women's studies,4187,12368,1,0.00,2.95
S2764663517,The Lawyer Quarterly,388,153,1,0.00,0.39
S2764663553,Open Access Publications from Kiel Institute for the World Economy,842,1144,33,0.04,1.36
S2764668121,Australian and New Zealand Maritime Law Journal,192,174,1,0.01,0.91
S2764668723,Meso,324,177,1,0.00,0.55
S2764669884,Chicago-Kent law review,2237,7496,2,0.00,3.35
S2764671228,Journal of humanities and social sciences,1546,1154,1,0.00,0.75
S2764677493,Tyche,763,2216,5,0.01,2.90
S2764680117,Touro law review,1199,703,2,0.00,0.59
S2764683527,Journal of Hebrew Scriptures,1213,1454,1,0.00,1.20
S2764686343,Georgia State University law review,1427,1174,1,0.00,0.82
S2764690261,Mita shōgaku kenkyū,232,43,1,0.00,0.19
S2764690424,Scientia Militaria South African Journal of Military Studies,1439,2799,1,0.00,1.95
S2764690718,Obnovljeni život,510,74,1,0.00,0.15
S2764695364,Loyola of Los Angeles law review,1951,3686,4,0.00,1.89
S2764698615,EconStor Research Reports,202,137,4,0.02,0.68
S2764700001,Handai hōgaku,205,34,7,0.03,0.17
S2764714309,Hitotsubashi journal of commerce and management,198,434,1,0.01,2.19
S2764715567,The Bible Translator,3187,2553,1,0.00,0.80
S2764719446,THE JOURNAL OF THE SOCIETY OF TEXTILE INDUSTRY JAPAN,107,1,1,0.01,0.01
S2764724097,Opuscula Archaeologica,398,475,1,0.00,1.19
S2764724734,Journal of hongik law review,1055,234,53,0.05,0.22
S2764725434,"The American University journal of gender, social policy & the law",637,2314,1,0.00,3.63
S2764725609,journal of consumer policy studies,277,249,5,0.02,0.90
S2764728095,Internationales Verkehrswesen,3918,538,253,0.06,0.14
S2764728514,Ophthalmology Retina,1954,16971,1,0.00,8.69
S2764730583,European Review of Private Law/Revue européenne de droit privé/Europäische Zeitschrift für Privatrecht,2280,5384,118,0.05,2.36
S2764730612,Social Philosophy Today,884,1338,1,0.00,1.51
S2764733734,Hegel Bulletin,416,1127,2,0.00,2.71
S2764734948,Controlling & Management Review,1202,1171,30,0.02,0.97
S2764739696,Washington University global studies law review,462,1994,1,0.00,4.32
S2764741446,KOKUSAI KEIZAI,1833,1186,2,0.00,0.65
S2764745268,Complementary Medicine Research,2253,12555,10,0.00,5.57
S2764746468,European Taxation,3931,1593,1,0.00,0.41
S2764748587,Bogoslovska smotra,1293,175,5,0.00,0.14
S2764752174,Journal of Austrian studies,989,158,1,0.00,0.16
S2764752770,Early China,895,4375,1,0.00,4.89
S2764757569,Education week,1613,3817,3,0.00,2.37
S2764759293,Glottodidactica,577,639,3,0.01,1.11
S2764763044,Personal computing,203,160,1,0.00,0.79
S2764763979,Journal of Muslims in Europe,304,941,2,0.01,3.10
S2764764838,The Annuals of Japanese Political Science Association,1353,201,1,0.00,0.15
S2764767193,Journal of civil law studies,125,220,1,0.01,1.76
S2764768325,Ciceroniana on line,153,141,1,0.01,0.92
S2764768486,Journal of Vascular Access Devices,593,729,1,0.00,1.23
S2764777817,Kobe University law review,175,99,11,0.06,0.57
S2764780182,Cleveland State law review,1979,1854,1,0.00,0.94
S2764781188,Gynaecologia et perinatologia,377,195,1,0.00,0.52
S2764788157,UDC information,118,6,1,0.01,0.05
S2764789620,Fainansu,1024,2190,2,0.00,2.14
S2764789957,European Criminal Law Review,352,605,26,0.07,1.72
S2764793019,Cukiernictwo i Piekarstwo,816,61,1,0.00,0.07
S2764801770,Archive for the Psychology of Religion,1095,4209,21,0.02,3.84
S2764805623,Japanese Journal of Human Geography,3394,2854,1,0.00,0.84
S2764806905,Gendai shakai bunka kenkyū,155,9,1,0.01,0.06
S2764808113,Journal for the History of Modern Theology / Zeitschrift für Neuere Theologiegeschichte,588,385,1,0.00,0.65
S2764808976,The Journal of Korean Nietzsche-Society,262,2,1,0.00,0.01
S2764809535,Journal of Law and Politics research,726,169,58,0.08,0.23
S2764809656,Journal für Reproduktionsmedizin und Endokrinologie,352,895,3,0.01,2.54
S2764812563,ETopoi,169,500,1,0.01,2.96
S2764813145,Japanese Journal of Mathematics,598,5227,3,0.01,8.74
S2764819635,Commercial Law Review,568,31,5,0.01,0.05
S2764821508,Philosophy study,854,25395,1,0.00,29.74
S2764828097,Annals of WULS Forestry and Wood Technology,2069,1530,1,0.00,0.74
S2764830807,The Mathematical Gazette,27680,52616,2,0.00,1.90
S2764842699,Ledelse & erhvervsøkonomi,1282,7168,1,0.00,5.59
S2764843579,The Executive educator,982,1325,1,0.00,1.35
S2764846579,Journal of the African Law Association-Germany,113,54,6,0.05,0.48
S2764847779,Democratic Legal Studies,646,143,17,0.03,0.22
S2764848006,Wyoming Law Review,532,61,1,0.00,0.11
S2764849523,Update on law-related education,464,364,1,0.00,0.78
S2764860748,Roger Williams University law review,659,508,1,0.00,0.77
S2764861741,"Annals of the School of Business Administration, Kobe University.",237,93,8,0.03,0.39
S2764863247,Auteurs & média,368,45,1,0.00,0.12
S2764863257,Kokumin keizai zasshi,693,212,5,0.01,0.31
S2764866620,European Journal of Law and Political Sciences,301,34,2,0.01,0.11
S2764877625,Word: Journal of the international linguistic association,472,118,1,0.00,0.25
S2764878180,Federal Law Review,1656,3647,1,0.00,2.20
S2764881527,International Journal of Legal Information,3045,2132,40,0.01,0.70
S2764883005,Journal of Business and Technology Law,300,591,1,0.00,1.97
S2764883267,Childhood Education,11029,23874,3,0.00,2.16
S2764888445,The Journal of Law of Education,1435,2883,6,0.00,2.01
S2764891088,Tulsa law journal,1687,1606,2,0.00,0.95
S2764891248,Sogang Journal of Philosophy,442,84,1,0.00,0.19
S2764892176,The Antitrust Bulletin,1891,21527,1,0.00,11.38
S2764898556,Hōsei kenkyū,457,37,33,0.07,0.08
S2764899028,Scriptura,1264,2916,1,0.00,2.31
S2764900900,Local Government Law Journal,658,348,67,0.10,0.53
S2764901001,Seoul Law Review,451,114,33,0.07,0.25
S2764901196,The American Bar Association journal/American Bar Association journal,195,174,1,0.01,0.89
S2764902613,Journal of Hepatopancreatobiliary Surgery,799,56,1,0.00,0.07
S2764903694,Global War Studies,255,423,1,0.00,1.66
S2764909107,Suid-Afrikaanse tydskrif vir kunsgeskiedenis,402,328,2,0.00,0.82
S2764911636,Public History Weekly,559,417,1,0.00,0.75
S2764912600,Recherches sémiotiques,239,291,1,0.00,1.22
S2764915536,Bulletin of the Polish academy of sciences. Earth sciences,266,1343,1,0.00,5.05
S2764915627,European State Aid Law Quarterly,1147,1594,16,0.01,1.39
S2764919352,Estudios Eclesiásticos Revista de investigación e información teológica y canónica,1871,494,1,0.00,0.26
S2764920828,Journal of IFA Korea,267,18,1,0.00,0.07
S2764920964,Seattle University law review,1315,2571,2,0.00,1.96
S2764921162,The judicial review,7,3,1,0.14,0.43
S2764926273,Hitotsubashi journal of law and politics,189,202,14,0.07,1.07
S2764927755,Sen'iso kōgyō/Sen'iso kougyou,886,24,1,0.00,0.03
S2764933353,Bulletin of primitive technology,800,284,1,0.00,0.36
S2764940276,Current Musicology,662,1408,1,0.00,2.13
S2764942255,Content Management System,397,20,20,0.05,0.05
S2764942644,The Japanese Journal of Real Estate Sciences,2198,452,1,0.00,0.21
S2764946172,Oklahoma law review,753,652,1,0.00,0.87
S2764949460,Stanford law & policy review,251,1443,1,0.00,5.75
S2764951647,Nature Today,1188,2,1,0.00,0.00
S2764952351,Journal of the Institute of Actuaries,4109,8295,3,0.00,2.02
S2764952477,Contemporary French Civilization,1706,1174,1,0.00,0.69
S2764952990,Marquette intellectual property law review,283,679,1,0.00,2.40
S2764958006,Moving the Social,767,385,8,0.01,0.50
S2764959905,Austrian Journal of Humanities and Social Sciences,1425,122,1,0.00,0.09
S2764972346,Santa Clara law review,1557,2563,1,0.00,1.65
S2764973561,The International Sports Law Journal,612,1424,1,0.00,2.33
S2764974810,Social Cohesion and Development,252,288,1,0.00,1.14
S2764976862,Sports Orthopaedics and Traumatology,2796,1648,67,0.02,0.59
S2764980411,Fundamina,507,592,6,0.01,1.17
S2764981211,Against the grain,6481,2863,1,0.00,0.44
S2764982455,Software Engineering & Management,107,240,4,0.04,2.24
S2764982570,Balkan studies,1875,1514,4,0.00,0.81
S2764986569,Journal of Local Government Studis,506,220,1,0.00,0.43
S2764989470,Chemical |Process Design,2377,22,3,0.00,0.01
S2764990246,HUFS Law Review,856,167,76,0.09,0.20
S2764993024,The Journal of Art Historiography,278,505,1,0.00,1.82
S2764993059,Journal,107,201,1,0.01,1.88
S2764996027,Research on Steiner education,293,363,1,0.00,1.24
S2764996763,The journal of the Institution of Electrical Engineers,9752,6271,1,0.00,0.64
S2764998691,European Data Protection Law Review,722,2217,1,0.00,3.07
S2765000193,CHUNG_ANG LAW REVIEW,767,125,73,0.10,0.16
S2765004610,Kappa Delta Pi Record,3137,7930,1,0.00,2.53
S2765006665,The School Administrator,1706,6764,1,0.00,3.96
S2765013292,Visceral Medicine,1823,8185,10,0.01,4.49
S2765016663,Practical Metallography,6273,7867,14,0.00,1.25
S2765016914,Educational record,864,4043,1,0.00,4.68
S2765017384,Materials Testing,10087,14917,379,0.04,1.48
S2765019228,Ekonomikusu,26,73,1,0.04,2.81
S2765020949,Forschungshefte Zweiradsicherheit,213,30,15,0.07,0.14
S2765025763,West Africa review,239,637,1,0.00,2.67
S2765027977,Kyung Hee Law Journal,630,81,25,0.04,0.13
S2765032203,Brooklyn law review,1186,2705,2,0.00,2.28
S2765040239,Journal of Yaşar University,792,2153,2,0.00,2.72
S2765041449,The Journal of Appellate Practice and Process,402,488,1,0.00,1.21
S2765041836,The Villanova environmental law journal,448,424,1,0.00,0.95
S2765042209,The Advocate,378,183,1,0.00,0.48
S2765045028,Chapman Law Review,431,619,1,0.00,1.44
S2765054229,The American school board journal,2792,5272,1,0.00,1.89
S2765060855,Modern logic,282,678,1,0.00,2.40
S2765061566,West's education law reporter,242,182,2,0.01,0.75
S2765062544,Case Western Reserve law review,2465,3588,2,0.00,1.46
S2765065485,Adult Leadership,458,331,1,0.00,0.72
S2765066258,Business law journal,1218,688,1,0.00,0.56
S2765066820,The Humanist,134,328,1,0.01,2.45
S2765068011,The Person and the Challenges The Journal of Theology Education Canon Law and Social Studies Inspired by Pope John Paul II,515,297,2,0.00,0.58
S2765073098,Contemporary Psychology,34052,65101,3,0.00,1.91
S2765076144,Journal Club Schmerzmedizin,583,18,2,0.00,0.03
S2765077217,China aktuell,402,382,19,0.05,0.95
S2769437601,Oncology Research and Treatment,5673,30414,22,0.00,5.36
S28092622,Digestion,10832,124383,23,0.00,11.48
S28278612,Theatre Journal,6014,33315,1,0.00,5.54
