"domain","field","subfield","count"
Physical Sciences,Earth and Planetary Sciences,Oceanography,3
Physical Sciences,Computer Science,Software,3
Physical Sciences,Computer Science,Human-Computer Interaction,2
Physical Sciences,Chemical Engineering,Catalysis,2
Physical Sciences,Mathematics,Geometry and Topology,2
Physical Sciences,Physics and Astronomy,Statistical and Nonlinear Physics,2
Physical Sciences,Materials Science,"Electronic, Optical and Magnetic Materials",1
Physical Sciences,Materials Science,General Materials Science,1
Physical Sciences,Computer Science,Computer Graphics and Computer-Aided Design,1
Physical Sciences,Materials Science,"Surfaces, Coatings and Films",1
Physical Sciences,Mathematics,Applied Mathematics,1
Physical Sciences,Mathematics,Mathematical Physics,1
Physical Sciences,Earth and Planetary Sciences,Atmospheric Science,1
Physical Sciences,Earth and Planetary Sciences,Geophysics,1
Physical Sciences,Computer Science,Computer Science Applications,1
Physical Sciences,Earth and Planetary Sciences,Paleontology,1
Physical Sciences,Chemistry,Analytical Chemistry,1
Physical Sciences,Energy,Energy Engineering and Power Technology,1
Physical Sciences,Chemistry,Spectroscopy,1
Physical Sciences,Computer Science,Hardware and Architecture,1
Social Sciences,Social Sciences,Law,31855
Social Sciences,Social Sciences,Political Science and International Relations,24375
Social Sciences,Social Sciences,Sociology and Political Science,14688
Social Sciences,"Business, Management and Accounting",Strategy and Management,13784
Social Sciences,Arts and Humanities,History,8433
Social Sciences,Arts and Humanities,Classics,3590
Social Sciences,Arts and Humanities,Archeology,2869
Social Sciences,Arts and Humanities,Literature and Literary Theory,2885
Social Sciences,"Economics, Econometrics and Finance",Economics and Econometrics,2287
Social Sciences,"Business, Management and Accounting",Accounting,1908
Social Sciences,Arts and Humanities,Religious studies,1453
Social Sciences,Arts and Humanities,Language and Linguistics,1168
Social Sciences,"Business, Management and Accounting",Management of Technology and Innovation,1213
Social Sciences,"Economics, Econometrics and Finance",Finance,893
Social Sciences,Social Sciences,Anthropology,867
Social Sciences,Arts and Humanities,Philosophy,571
Social Sciences,Psychology,Clinical Psychology,454
Social Sciences,"Business, Management and Accounting",Organizational Behavior and Human Resource Management,464
Social Sciences,Social Sciences,Public Administration,281
Social Sciences,Psychology,Social Psychology,263
Social Sciences,Arts and Humanities,History and Philosophy of Science,236
Social Sciences,Arts and Humanities,Museology,214
Social Sciences,Social Sciences,Cultural Studies,201
Social Sciences,Social Sciences,Education,178
Social Sciences,"Business, Management and Accounting",Management Information Systems,99
Social Sciences,Social Sciences,Demography,76
Social Sciences,"Business, Management and Accounting",Industrial relations,62
Social Sciences,"Business, Management and Accounting",Marketing,59
Social Sciences,Social Sciences,Urban Studies,61
Social Sciences,Arts and Humanities,Visual Arts and Performing Arts,41
Social Sciences,Social Sciences,"Geography, Planning and Development",39
Social Sciences,Social Sciences,Gender Studies,36
Social Sciences,Social Sciences,Linguistics and Language,36
Social Sciences,"Economics, Econometrics and Finance","General Economics, Econometrics and Finance",32
Social Sciences,Arts and Humanities,General Arts and Humanities,29
Social Sciences,Arts and Humanities,Conservation,24
Social Sciences,Social Sciences,Communication,20
Social Sciences,Social Sciences,Transportation,19
Social Sciences,Social Sciences,Development,16
Social Sciences,Social Sciences,Health,15
Social Sciences,Decision Sciences,"Statistics, Probability and Uncertainty",15
Social Sciences,Arts and Humanities,Music,13
Social Sciences,Social Sciences,Safety Research,13
Social Sciences,Decision Sciences,Information Systems and Management,11
Social Sciences,Social Sciences,General Social Sciences,11
Social Sciences,Psychology,Applied Psychology,6
Social Sciences,Social Sciences,Archeology,4
Social Sciences,Decision Sciences,Management Science and Operations Research,3
Social Sciences,"Business, Management and Accounting","Tourism, Leisure and Hospitality Management",2
Social Sciences,Psychology,Experimental and Cognitive Psychology,2
Social Sciences,Decision Sciences,General Decision Sciences,1
Social Sciences,Psychology,Developmental and Educational Psychology,1
Social Sciences,"Business, Management and Accounting",Business and International Management,1
