"journal_name","doi","openalex_id","pubyear","pubyear_openalex","author_cnt","author_cnt_openalex","publisher","publisher_openalex","inst_count_openalex","citations_count"
JZ,"10.1628/jz-2022-0245",W4291498092,2022,2022,2,2,Mohr Siebeck,Mohr Siebeck Verlag,0,0
JZ,"10.1628/jz-2021-0335",W4242051361,2021,2021,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,0
JZ,"10.1628/002268806779166732",W2089256177,2006,2006,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,5
JZ,"10.1628/002268815X14207998353665",W2320041367,2015,2015,2,2,Mohr Siebeck,Mohr Siebeck Verlag,0,0
JZ,"10.1628/002268808785792864",W2329870556,2008,2008,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,0
JZ,"10.1628/002268815X14298615893471",W2763748944,2015,2015,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,0
RabelsZ,"10.1628/003372511797638198",W163503535,2011,2011,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,3
JZ,"10.1628/002268817X14933915561496",W2752043403,2017,2017,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,2
JZ,"10.1628/jz-2018-0170",W4237433987,2018,2018,0,0,Mohr Siebeck,Mohr Siebeck Verlag,0,0
RabelsZ,"10.1628/003372510791696498",W3122515716,2010,2010,0,0,Mohr Siebeck,Mohr Siebeck Verlag,0,3
AcP,"10.1628/000389907783429191",W2059703172,2007,2007,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,3
KritV,"10.5771/2193-7869-2010-1-83",W2321227476,2010,2010,1,1,Nomos Verlagsgesellschaft mbH & Co. KG,Nomos,0,1
KJ,"10.5771/0023-4834-1988-1-115",W4250843752,1988,1988,0,0,Nomos Verlagsgesellschaft mbH & Co. KG,Nomos,0,1
JZ,"10.1628/jz-2019-0189",W4232753773,2019,2019,0,0,Mohr Siebeck,Mohr Siebeck Verlag,0,0
RabelsZ,"10.1628/rabelsz-2023-0056",W4385260721,2023,2024,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,0
KJ,"10.5771/0023-4834-2019-1-27",W2921965460,2019,2019,1,1,Nomos Verlagsgesellschaft mbH & Co. KG,Nomos,0,0
JZ,"10.1628/jz-2023-0017",W4318612682,2023,2023,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,0
RabelsZ,"10.1628/rabelsz-2022-0081",W4312297288,2022,2022,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,1
RabelsZ,"10.1628/003372508783285694",W104734919,2008,2008,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,0
RabelsZ,"10.1628/003372514X683774",W2520768017,2014,2018,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,0
JZ,"10.1628/002268812804469604",W4253633728,2012,2012,0,0,Mohr Siebeck,Mohr Siebeck Verlag,0,0
JZ,"10.1628/002268806779046537",W2047548070,2006,2006,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,1
AöR,"10.1628/000389108785837247",W2094712944,2008,2008,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,0
Staat,"10.3790/staa.60.2.273",W3186190685,2021,2021,1,1,Duncker & Humblot GmbH,Duncker & Humblot,0,0
JZ,"10.1628/jz-2021-0314",W4254515986,2021,2021,0,0,Mohr Siebeck,Mohr Siebeck Verlag,0,0
JZ,"10.1628/jz-2021-0278",W4246637315,2021,2021,0,0,Mohr Siebeck,Mohr Siebeck Verlag,0,0
AöR,"10.1628/000389111796190078",W2314788525,2011,2011,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,0
Staat,"10.3790/staa.57.4.633",W2911845199,2018,2018,1,1,Duncker & Humblot GmbH,Duncker & Humblot,0,1
RabelsZ,"10.1628/003372509789566677",W108831535,2009,2009,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,1
KritV,"10.5771/2193-7869-2018-3-210",W2914887790,2019,2018,1,1,Nomos Verlagsgesellschaft mbH & Co. KG,Nomos,0,1
KJ,"10.5771/0023-4834-1986-2-218",W3154225932,1986,1986,2,2,Nomos Verlagsgesellschaft mbH & Co. KG,Nomos,0,1
JZ,"10.1628/002268809790316874",W4250598929,2009,2009,0,0,Mohr Siebeck,Mohr Siebeck Verlag,0,0
JZ,"10.1628/002268812800567122",W2042794933,2012,2012,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,0
KJ,"10.5771/0023-4834-2005-4-437",W4251274566,2005,2005,0,0,Nomos Verlagsgesellschaft mbH & Co. KG,Nomos,0,1
JZ,"10.1628/002268817X14937188383597",W4245633194,2017,2017,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,0
Staat,"10.3790/staa.52.3.473",W4239120291,2013,2013,0,0,Duncker & Humblot GmbH,Duncker & Humblot,0,0
RabelsZ,"10.1628/003372517X14976085322357",W2740342849,2017,2017,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,1
JZ,"10.1628/002268812802866713",W4231584882,2012,2012,0,0,Mohr Siebeck,Mohr Siebeck Verlag,0,0
JZ,"10.1628/002268817X15076228061792",W2774744465,2017,2017,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,27
KJ,"10.5771/0023-4834-2002-1-124",,2002,,0,0,Nomos Verlagsgesellschaft mbH & Co. KG,,0,0
JZ,"10.1628/jz-2019-0387",W4239357670,2019,2019,0,0,Mohr Siebeck,Mohr Siebeck Verlag,0,0
JZ,"10.1628/jz-2001-0108",W4231995275,2021,2021,0,0,Mohr Siebeck,Mohr Siebeck Verlag,0,0
JZ,"10.1628/002268813X13675675553557",W4247528304,2013,2013,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,0
JZ,"10.1628/002268811796366870",W2040412575,2011,2011,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,3
KJ,"10.5771/0023-4834-2008-4-425",W2334234807,2009,2008,1,1,Nomos Verlagsgesellschaft mbH & Co. KG,Nomos,0,2
KJ,"10.5771/0023-4834-2006-3-303",W2319246806,2006,2006,1,1,Nomos Verlagsgesellschaft mbH & Co. KG,Nomos,0,0
JZ,"10.1628/jz-2020-0286",W4233292247,2020,2020,0,0,Mohr Siebeck,Mohr Siebeck Verlag,0,0
KritV,"10.5771/2193-7869-2018-4-376",W2940175720,2019,2018,1,1,Nomos Verlagsgesellschaft mbH & Co. KG,Nomos,0,0
JZ,"10.1628/jz-2018-0166",W2887404174,2018,2018,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,0
AöR,"10.1628/000389108785837175",W2069651457,2008,2008,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,1
JZ,"10.1628/002268806775696503",W4229529118,2006,2006,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,0
JZ,"10.1628/002268813X13642258856767",W1991151546,2013,2013,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,0
RabelsZ,"10.1628/003372508786013278",W139201267,2008,2008,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,0
JZ,"10.1628/002268807781141014",W4254537402,2007,2007,0,0,Mohr Siebeck,Mohr Siebeck Verlag,0,0
JZ,"10.1628/jz-2018-0150",W4246911643,2018,2018,0,0,Mohr Siebeck,Mohr Siebeck Verlag,0,0
JZ,"10.1628/jz-2020-0093",W4246615203,2020,2020,1,0,Mohr Siebeck,Mohr Siebeck Verlag,0,0
JZ,"10.1628/002268811796449058",W2027045603,2011,2011,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,0
JZ,"10.1628/jz-2023-0218",W4384787447,2023,2023,0,0,Mohr Siebeck,Mohr Siebeck Verlag,0,0
RabelsZ,"10.1628/003372514X683710",W2519110278,2014,2018,1,0,Mohr Siebeck,Mohr Siebeck Verlag,0,0
KritV,"10.5771/2193-7869-2009-1-3",W2325050740,2009,2009,2,2,Nomos Verlagsgesellschaft mbH & Co. KG,Nomos,0,1
RabelsZ,"10.1628/003372517X14912063552185",W2711911348,2017,2017,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,1
JZ,"10.1628/002268808786116197",W4244370522,2008,2008,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,0
RabelsZ,"10.1628/rabelsz-2023-0060",W4386178879,2023,2023,2,2,Mohr Siebeck,Mohr Siebeck Verlag,0,0
KritV,"10.5771/2193-7869-2008-2-115",W2320856520,2008,2008,2,2,Nomos Verlagsgesellschaft mbH & Co. KG,Nomos,0,0
JZ,"10.1628/002268817X14991633599629",W4246088613,2017,2017,0,0,Mohr Siebeck,Mohr Siebeck Verlag,0,0
