journal,abbreviation,issn
Praxis Steuerstrafrecht,PStR,
Politische Vierteljahresschrift,PVS,0032-3470
Recht und Schaden,"r + s, r+s",
Recht und Steuern im Gas- und Wasserfach,R + S,
"Recht, Bibliothek, Dokumentation",RBD,
Rechtder Transportwirtschaft,RdTW,
Österreichisches Recht der Wirtschaft,RdW,1013-9486
Rechtskultur. Zeitschrift für europäische Rechtsgeschichte,Rechtskultur,
Rescriptum. Münchner studentische Rechtszeitschrift,Rescriptum,
Rechtsgeschichte,Rg,1619-4993
Das Recht im Amt,RiA,
Recht der internationalen Wirtschaft,RIW,
Rechtspflegerblatt,RpflBl,
Rpfleger,Rpfleger,1612-6394
Reise-Recht aktuell,Rra,
RVGreport,RVGreport,
Österreichische Richterzeitung,RZ,
Sammlung arbeitsrechtlicher Entscheidungen,SAE,
Schiedsamtszeitung,SchAZtg,
Schleswig-Holsteinische Anzeigen / A,SchlHA,
Schweizerisches Jahrbuch für Europarecht,SchweizJahrbEuropaR,
Sozialgerichtsbarkeit,SGb,
Sic!,Sic!,
Schweizerisches Jahrbuch für Kirchenrecht,SJKR,
Schweizerische Juristenzeitung,SJZ,
Soziale Sicherheit,SoSi,
Sozialrecht + Praxis,,
Schaden-Praxis,SP,
SpuRt. Sport und Recht,SpuRt,
Soziales Recht,SR,
Der Steuerberater,StB,0049-223X
Die Steuerberatung,Stbg,0490-9658
Steuerberater-Jahrbuch,StbJb,
Die steuerliche Betriebsprüfung,StBp,
SteuerConsultant,StC,
Steuern der Energiewirtschaft : StE,StE,
Steuer-Eildienst : StEd,StEd,
Steueranwaltsmagazin,,
Steuer + Studium,SteuerStud,
Streit,Streit,
StrafRechtsReport,StRR,
StuB - Unternehmenssteuern und Bilanzen,StuB,
Die Steuer-Warte,StW,
Steuer-Telex,StX,
Südosteuropa-Mitteilungen,Südosteuropa-Mitt,
Straßenverkehrsrecht. Zs für die Praxis des Verkehrsjuristen,SVR,
Schweizerische Zeitschrift für internationales und europäisches Recht,SZIER,
Schweizerische Zeitschrift für Wirtschafts- und Finanzmarktrecht,SZW,
"Archiv für Urheber-,Film-,Funk- und Theaterrecht",UFITA,
Umwelt- und Planungsrecht,UPR,0721-7390
Umsatzsteuer- und Verkehrssteuer-Recht,UVR,
Verkehrsrecht aktuell,VA,
Verkehrsdienst,VD,
Mitteilungen / Vereinigung für Deutsch-Russisches Wirtschaftsrecht,VDRW-Mitteilungen,
Der Verkehrsanwalt,VerkA,1438-3373
Der Verkehrsjurist,Verkehrsjurist,
Verkehrsrechtliche Mitteilungen,VerkMitt,
Versicherungspraxis,VersPrax,
Versicherungsrecht / Beilage Ausland,VersRAI,
Vierteljahrshefte für Zeitgeschichte,VfZ,0042-5702
Versicherung und Recht kompakt,VK,
Verkehrsunfall und Fahrzeugtechnik,VKU,
Verwaltung & Management,VM,
Der Vollzugsdienst,VollzD,
Rundbrief VPP,VPP-Rundbrief,
Verkehrsrechtsreport,VRR,
Wirtschaftsrechtliche Blätter,wbl,
Wertermittlungsforum,WF,
Wistra. Zeitschrift für Wirtschafts- und Steuerstrafrecht,Wistra,
Wirtschaft und Verwaltung,WiVerw,
Wertpapier-Mitteilungen Teil IV,WM / 4,
Die Wirtschaftsprüfung,WPg,0340-9031
WSI Mitteilungen,WSI Mitt.,
Wohnungswirtschaft & Mietrecht,WuM,
Wussow-Informationen zum Versicherungs- und Haftpflichtrecht,Wussow-Informationen,
Wege zur Sozialversicherung,WzS,
Zeitschrift für die Anwaltspraxis,ZAP,
Zeitschrift für altoriental. und biblische Rechtsgeschichte,ZAR,
Schweizerisches Zentralblatt für Staats- und Verwaltungsrecht,ZB,1422-0709
Zeitschrift des Bernischen Juristenvereins,ZBJV,
Zeitschrift für Bildungsverwaltung,ZBV,
Zeitschrift für Corporate Governance,ZCG,
Zeitschrift für deutsches und amerikanisches Recht,ZDAR,
Zeitschrift für evangelische Ethik,ZEE,
Zeitschrift für europarechtliche Studien,ZEuS,
Zeitschrift für Bibliothekswesen und Bibliographie,ZfBB,0044-2380
Zeitschrift für Lebensrecht,ZfL,0944-4521
Zeitschrift für Menschenrechte,zfmr,1864-6492
Zeitschrift für Politik,ZfP,0044-3360
"Zeitschrift für Europarecht, internationales Privatrecht und Rechtsvergleichung",ZfRV,2078-1059
Zeitschrift für Soziologie,ZfS,0340-1804
ZfSH/SGB Sozialrecht in Deutschland und Europa,ZfSH/SGB,
Zeitschrift für Versicherungswesen,ZfV,
Zeitschrift für Verwaltung,ZfV,1017-3463
Zeitschrift für Zölle und Verbrauchssteuern,ZfZ,
Zeitschrift für Unternehmens- u.Gesellschaftsrecht,ZGR,
Zeitschrift für das gesamte Schuldrecht,ZGS,
Zeitschrift für das gesamte Handels- und Wirtschaftsrecht,ZHR,
Zeitschrift für das gesamte Insolvenzrecht,ZInsO,
Zeitschrift für Jugendkriminalrecht und Jugendhilfe,ZJJ,
Zeitschrift für das juristische Studium,ZJS,
Zeitschrift für Kommunalfinanzen,ZKF,
Zeitschrift für Konfliktmanagement,ZKM,
Die Mitarbeitervertretung,ZMV,
Zeitschrift für Neues Energierecht,ZNER,
Zeitschrift für die Notarpraxis,ZNotP,
Zeitschrift für öffentliche und gemeinwirtschaftliche Unternehmen,ZögU,0344-9777
Zeitschrift für öffentliches Recht,ZöR,0942-010X
Zeitschrift für offene Vermögensfragen,ZOV,
Zeitschrift für Politikwissenschaft,ZPol,1430-6387
Zeitschrift der Savigny-Stiftung …German.Abt.,ZRG,
Zeitschrift der Savigny-Stiftung …Kanon.Abt.,ZRG,
Zeitschrift der Savigny-Stiftung …Roman.Abt.,ZRG,
Zeitschrift für Rechtsphilosophie,ZRph,
Zeitschrift für Staats- und Europawissenschaften,ZSE,1610-7780
Zeitschrift für schweizerisches Recht,ZSR,
Zeitschrift für Sozialreform,ZSR,
Zeitschrift für Steuern & Recht,ZSteu,
Schweizerische Zeitschrift für Strafrecht,ZStrR,
Zeitschrift für Stiftungs- und Vereinswesen,ZStV,
"Zeitschrift für Tarif-, Arbeits- und Sozialrecht",ZTR,
Zur Debatte : Themen der Katholischen Akademie in Bayern,Zur Debatte,
Zeitschrift der unabhängigen Verwaltungssenate,ZUV,
Zeitschrift der Verwaltungsgerichtsbarkeit,ZVG,2309-5113
Zeitschrift für vergleichende Rechtswissenschaft,ZVglRWiss,
Zeitschrift für Verkehrsrecht,ZVR,0044-3662
Zeitschrift für Zivilprozess International,ZZPInt,
Archiv für civilistische Praxis,AcP,
Arbeitsrechtliche Praxis,AP,
Der Aufsichtsrat,AR,1613-1282
Der Arbeitsrechtsberater,ArbRB,
Betriebsberater,BB,
"Zeitschrift für Bilanzierung, Rechnungswesen und Controlling",BC,
Becklink,Becklink,
Entscheidungen des Bundesfinanzhofs,BFHE,0342-197X
NWB Rechnungswesen,BKK,
Betriebsrat und Recht,BRuR,
Entscheidungen des Bundesverfassungsgerichts,BVerfGE,
Compliance Berater,CB,
COVID-19 und Recht,COVuR,
Computer Law Review International ,CRi,
Computer und Arbeit,CuA,
Datenschutz Nachrichten,DANA,0173-7767
Diversity in Recht & Wirtschaft,DivRuW,
Deutsche Juristen-Zeitung,DJZ,
European Data Protection Law Review,EDPL,
European Review of Contract Law,ERCL,
Europäische GRUNDRECHTE-Zeitschrift,EuGRZ,
Familienrecht Kompakt,FK,
Forderungsmanagement professionell,FMP,
Finanz-Rundschau,FR,
Freilaw,Freilaw,
Göttingen Journal of International Law,GoJIL,
Zeitschrift für das Privatrecht der Europäischen Union ,GPR,
GRUR Internationaler Teil,GRUR Int.,
GRUR Praxis,GRUR-Prax,
GRUR-Rechtsprechungs-Report,GRUR-RR,
Zeitschrift für das gesamte Verfahrensrecht,GVRZ,2625-1868
German Yearbook of International Law,GYIL,0344-3094
Heidelberg Journal of International Law,HJIL,
Hamburger Rechtsnotizen,HRN,2191-6543
Höchstrichterliche Rechtsprechung zum Strafrecht,HRRS,
Praxis des internationalen Privat- und Verfahrensrechts,IPRax,
IP-Rechts-Berater,IPRB,
iurratio - Das Jura Journal,iurratio,
Internationales Steuer- und Wirtschaftsrecht,IWB,
Journal of Banking Law and Banking,JBB,
"Journal of Intellectual Property, Information Technology and E-Commerce Law",JIPITEC,2190-3387
International Journal of Language & Law,JLL,
juris – Die Monatszeitschrift,jM,
Jura Studium & Examen,JSE,2195-044X
JurPC,JurPC,1615-5335
Junge Wissenschaft im öffentlichen Recht,JuWiss,
Jahrbuch des öffentlichen Rechts der Gegenwart. Neue Folge,JöR,
"Kunst und Recht: Journal für Kunstrecht, Urheberrecht und Kulturpolitik",KuR,
Life & Law,L&L,
Lindenmaier-Möhring,LMK,1611-1095
Marburg Law Review,Marburg Law Review,1866-4415
Monatsschrift für deutsches Recht,MDR,
Mitteilungen des Instituts für Parteienrecht und Parteienforschung,MIP,
Medizin Produkte Recht,MPR,
Max Planck Yearbook of United Nations Law,MPYUNL,1389-4633
Mietrechts-Berater,MRB,
MenschenRechtsMagazin,MRM,1434-2820
Netzwirtschaften & Recht,N&R,1612-9245
Neue Juristische Online-Zeitschrift,NJOZ,
NJW-Rechtsprechungs-Report Zivilrecht,NJW-RR,
NVwZ-Extra,NVwZ-Extra,
NVwZ-Rechtsprechungsreport,NVwZ-RR,
NWB Steuer- und Wirtschaftsrecht,NWB,0028-3460
NZFam,NZFam,
Ordnung der Wissenschaft,OdW,2197-9197
Osteuropa Recht,OER,
Personalvertretung,PersV,
Recht der Zahlungsdienste,RdZ,
Recht der Erneuerbaren Energien,REE,2193-8334
Rescriptum,Res,2195-3120
Rechtsgeschichte - Legal History,Rg,
Entscheidungen des Reichsgerichts in Strafsachen,RGSt,
Rechtswissenschaft - Zeitschrift für rechtswissenschaftliche Forschung,RW,
Rechtsprechungsübersicht,RÜ,
Rechtsprechungsübersicht 2,RÜ2,
Zeitschrift der Savigny-Stiftung für Rechtsgeschichte,Savigny,0323-4045
Soziale Sicherheit - Zeitschrift für Arbeit und Soziales,SoSi,
Streit - Feministische Rechtszeitschrift,Str,
Studere,Stu,1867-6170
Wertpapier-Mitteilungen (Zeitschrift für Wirtschafts- und Bankrecht),WM,
Wirtschaftsprüfung ,WPg,
Entscheidungsanmerkungen zum Wirtschafts- und Bankrecht,WuB,
Wohnungswirtschaft und Mietrecht,WuM,0173-1564
ZD-Aktuell,ZD-A,
Zeitschrift für Didaktik der Rechtswissenschaft,ZDRW,2196-7261
Zeitschrift für Europäische Rechtslinguistik,ZERL,
Zeitschrift für europäisches Privatrecht,ZEuP,
Zeitschrift für Erbrecht- und Vermögensnachfolge,ZEV,
Zeitschrift für Deutsches und Internationales Bau- und Vergaberecht,ZfBR,
Zeitschrift für Medienwissenschaft,zfm,1869-1722
Zeitschrift für Medizin-Ethik-Recht,ZfMER,
Zeitschrift für Umweltpolitik und Umweltrecht,ZfU,
Zeitschrift für geschichtliche Rechtswissenschaft,ZGRE,
Zeitschrift für die Gesamte Staatswissenschaft,ZgS,
Zeitschrift für das gesamte Insolvenz- und Sanierungsrecht,ZInsO,1615-8032
Zeitschrift für internationale Strafrechtsdogmatik,ZIS,
Zeitschrift für Landesverfassungsrecht und Landesverwaltungsrecht,ZLVR,2509-4521
"Risk, Fraud and Compliance",ZRFC,
Zeitschrift für die Gesamte Strafrechtswissenschaft,ZStW,
Zeitschrift für Zivilprozess,ZZP,0342-3468
