journal,abbreviation,issn
Neue Zeitschrift für Miet- und Wohnungsrecht,NZM,1434-677X
Neue Zeitschrift für Sozialrecht,NZS,0941-7915
Neue Zeitschrift für Strafrecht,NStZ,0720-1753
Neue Zeitschrift für Verkehrsrecht,NZV,0934-1307
Neue Zeitschrift für Verwaltungsrecht,NVwZ,0721-880X
Neue Zeitschrift für Wehrrecht,NZWehrr,0028-3525
"Neue Zeitschrift für Wirtschafts-, Steuer- und Unternehmensstrafrecht",NZWiSt,2193-5777
Newsletter der Deutsch-Amerikanischen Juristenvereinigung e.V.,DAJV Newsletter,
Niedersächsische Verwaltungsblätter,NdsVBl,
Non Profit Law Yearbook,NPLY,
Nordrhein-Westfälische Verwaltungsblätter,NWVBl,
Osteuropa-Recht,OER,0030-6444
Pflegerecht,"PflR, PR",
Pharma Recht,PharmR,
Praxis der Rechtspsychologie,,
Praxis des Internationalen Privat- und Verfahrensrechts,"IPrax, IPRax",0720-6585
Rabels Zeitschrift für ausländisches und internationales Privatrecht,RabelsZ,0033-7250
Recht & Psychiatrie,R&P,0724-2247
recht + schaden,r+s,
Recht Automobil Wirtschaft,RAW,
Recht der Arbeit,RdA,0342-1945
Recht der Datenverarbeitung,RDV,0178-8930
Recht der Energiewirtschaft,RdE,0944-128X
Recht der erneuerbaren Energien,"ree, REE",
Recht der Finanzinstrumente,RdFin,2191-3838
Recht der Internationalen Wirtschaft,RIW,0340-7926
Recht der Jugend und des Bildungswesens,RdJB,0034-1312
Recht der Landwirtschaft,RdL,
Recht der Transportwirtschaft,RdTW,
Recht Digital,RDi,
Recht im Amt,RiA,
Recht in Afrika,RiA,
Recht und Politik,RuP,0344-7871
Recht und Politik im Gesundheitswesen,RPG,
Recht und Zugang,RuZ,2699-1284
Rechtsmedizin,RechtsMed,
Rechtsphilosophie,RphZ,2364-1355
Rechtstheorie,RT,
Rechtswissenschaft,RW,1868-8098
ReiseRecht aktuell,RRa,
Rheinische Notar-Zeitschrift,RNotZ,
Richter ohne Robe,RohR,
Sächsische Verwaltungsblätter,SächsVBl,
SchiedsamtsZeitung,SchiedsAZ,
Schnelldienst Ausländer- und Asylrecht,AuAS,
Schulrecht,SchuR,
Schulrecht heute,SchulR heute,
Sozialrecht aktuell,SR,
Sport und Recht,SpuRt,
Steuer und Wirtschaft,StuW,0341-2954
Steuerrecht kurzgefasst,SteuK,
Strafverteidiger,StV,0720-1605
Strafverteidiger-Forum,StraFo,
Straßenverkehrsrecht,SVR,
Studentische Zeitschrift für Rechtswissenschaft Heidelberg,StudZR,
Thüringer Verwaltungsblätter,ThürVBl,
Transportrecht,TranspR,0174-559X
Umsatzsteuer-Rundschau,UR,0341-8669
Umwelt und Planungsrecht,UPR,
Verbraucher und Recht,VuR,
Verbraucherinsolvenz aktuell,VIA,
Verfassung und Recht in Übersee,VRÜ,0506-7286
Vergaberecht,VergabeR,1617-1063
Verkehrsrechts-Sammlung,VRS,
Versicherungsrecht,VersR,0342-2429
Verwaltungsarchiv,"VerwA, VerwArch",
Verwaltungsblätter für Baden-Württemberg,VBlBW,0720-2407
Verwaltungsrundschau,"VR, vr",0342-5592
Vierteljahresschrift für Sozialrecht,VSSR,
Vollstreckung effektiv,Vollstr,
Wettbewerb in Recht und Praxis,"WRP, wrp",0172-049X
Wirtschaft und Recht in Osteuropa,WiRO,
Wirtschaft und Wettbewerb,WuW,0043-6151
Wissenschaftsrecht,WissR,0948-0218
Zeitschrift Blutalkohol,Blutalkohol,
Zeitschrift für Arbeitsrecht,"ZfA, ZFA",0342-328X
Zeitschrift für Arbeitsrecht und Tarifpolitik in Kirche und Caritas,ZAT,
Zeitschrift für Ausländerrecht und Ausländerpolitik,ZAR,0721-5746
Zeitschrift für ausländisches öffentliches Recht und Völkerrecht,ZaöRV,0044-2348
Zeitschrift für ausländisches und internationales Arbeits- und Sozialrecht,ZIAS,
Zeitschrift für Bank- und Kapitalmarktrecht,BKR,
Zeitschrift für Bankrecht und Bankwirtschaft,ZBB,0936-2800
Zeitschrift für Beamtenrecht,ZBR,0514-2571
Zeitschrift für Bergrecht,ZfB,0340-3939
Zeitschrift für chinesisches Recht,ZChinR,
Zeitschrift für das Abfallrecht,AbfallR,
Zeitschrift für das Fürsorgewesen,ZfF,0342-3379
Zeitschrift für das gesamte Familienrecht,FamRZ,0044-2410
Zeitschrift für das gesamte Genossenschaftswesen,ZfgG,0044-2429
Zeitschrift für das gesamte Handelsrecht und Wirtschaftsrecht,ZHR,0044-2437
Zeitschrift für das gesamte Lebensmittelrecht,ZLR,0342-3476
Zeitschrift für das gesamte Medizin- und Gesundheitsrecht,ZMGR,
Zeitschrift für das gesamte Recht der Energiewirtschaft,EnWZ,
"Zeitschrift für das gesamte Schuldrecht [bzw.Zeitschrift für Vertragsgestaltung, Schuld- und Haftungsrecht]",ZGS,
Zeitschrift für das Gesamte Sicherheitsrecht,"GSZ, gsz",
Zeitschrift für das Juristische Studium,ZJS,1865-6331
Zeitschrift für das öffentliche Arbeits- und Tarifrecht,öAT,
Zeitschrift für das Recht der Non Profit-Organisationen,npoR,
Zeitschrift für das Stiftungs- und Vereinswesen,ZStV,
Zeitschrift für Datenschutz,ZD,2192-5593
"Zeitschrift für Deutsches und Europäisches Wasser-, Abwasser- und Bodenschutzrecht",W+B,
Zeitschrift für deutsches und internationales Bau- und Vergaberecht,ZfBR,0170-0413
Zeitschrift für die gesamte erbrechtliche Praxis,ErbR,
Zeitschrift für die gesamte Privatrechtswissenschaft,ZfPW,2363-4960
Zeitschrift für die gesamte Strafrechtswissenschaft,"ZStW, ZStrW",0084-5310
Zeitschrift für die notarielle Beratungs- und Beurkundungspraxis,NotBZ,
Zeitschrift für die Steuer- und Erbrechtspraxis,ZErb,
Zeitschrift für Digitalisierung und Recht,ZfDR,
Zeitschrift für Energie- und Wettbewerbsrecht in der kommunalen Wirtschaft,EWeRK,
Zeitschrift für Erbrecht und Vermögensnachfolge,ZEV,
Zeitschrift für Europäisches Privatrecht,ZEuP,0943-3929
Zeitschrift für europäisches Sozial- und Arbeitsrecht,ZESAR,
Zeitschrift für Europäisches Umwelt- und Planungsrecht,EurUP,1612-4243
Zeitschrift für Europarechtliche Studien,ZEuS,1435-439X
Zeitschrift für evangelisches Kirchenrecht,"ZevKR, ZevKr",0044-2690
Zeitschrift für Familien- und Erbrecht,"ZFE, EF-Z",
Zeitschrift für Familienunternehmen und Stiftungen,FuS,
Zeitschrift für geistiges Eigentum,ZGE,
Zeitschrift für Gemeinschaftsprivatrecht,GPR,
Zeitschrift für Gesetzgebung,ZG,0179-4051
Zeitschrift für Höchstrichterliche Rechtsprechung im Strafrecht,HRRS,
Zeitschrift für Immissionsschutzrecht und Emissionshandel,I+E,2191-3331
Zeitschrift für Immobilienrecht,ZfIR,1433-0172
Zeitschrift für Insolvenzrecht,KTS,
Zeitschrift für Internationale Rechnungslegung,IRZ,1862-5533
Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,
Zeitschrift für Internationales Wirtschaftsrecht,IWRZ,
Zeitschrift für Internationales Wirtschaftsrecht,IWRZ,
Zeitschrift für Japanisches Recht,ZJapanR,
Zeitschrift für Kindschaftsrecht und Jugendhilfe,ZKJ,1861-6631
Zeitschrift für Luft- und Weltraumrecht,ZLW,0340-8329
Zeitschrift für Medizinstrafrecht,medstra,
Zeitschrift für Miet- und Raumrecht,ZMR,0340-7497
Zeitschrift für neuere Rechtsgeschichte,ZNR,
Zeitschrift für neues Energierecht,ZNER,
Zeitschrift für Öffentliches Recht in Norddeutschland,NordÖR,1435-2206
Zeitschrift für Parlamentsfragen,ZParl,0340-1758
Zeitschrift für Personalvertretungsrecht,ZfPR,
Zeitschrift für Rechtsgeschichte - Savigny-Zeitschrift,ZRG,
Zeitschrift für Rechtspolitik,ZRP,0514-6496
Zeitschrift für Rechtssoziologie,"ZfRsoz, Zs. f. Rechtssoz.",0174-0202
Zeitschrift für Schadensrecht,zfs,
Zeitschrift für Schiedsverfahren,SchiedsVZ,
Zeitschrift für Sozialrecht in Deutschland und Europa,ZfSH/SGB,
Zeitschrift für Stoffrecht,StoffR,1613-3919
Zeitschrift für Tarifrecht,ZTR,
Zeitschrift für Umweltpolitik & Umweltrecht,ZfU,0931-0983
Zeitschrift für Umweltrecht,ZUR,0943-383X
Zeitschrift für Unternehmens- und Gesellschaftsrecht,ZGR,0340-2479
Zeitschrift für Urheber- und Medienrecht,ZUM,0177-6762
Zeitschrift für Verbraucher- und Privat-Insolvenzrecht,ZVI,
Zeitschrift für Vergleichende Rechtswissenschaft,ZVR,0044-3638
Zeitschrift für Vertriebsrecht,ZVertriebsR,
Zeitschrift für Wasserrecht,ZFW,0722-8910
Zeitschrift für Wett- und Glücksspielrecht,ZfWG,
Zeitschrift für Wettbewerbsrecht,ZWeR,1611-1982
Zeitschrift für Wirtschafts- und Bankrecht,WM,0342-6971
Zeitschrift für Wirtschafts- und Steuerstrafrecht,"wistra, Wistra",0721-6890
Zeitschrift für Wirtschaftsrecht,ZIP,0723-9416
Zeitschrift für Wirtschaftsstrafrecht und Haftung im Unternehmen,ZWH,
Zeitschrift für Wohnungseigentumsrecht,ZWE,
Zeitschrift für Zivilprozeß,ZZP,
Zeitschrift für Zölle und Verbrauchsteuern,ZfZ,
Zeitschrift zum Innovations- und Technikrecht,InTeR,
AbfallR - Zeitschrift für das Recht der Abfallwirtschaft,AbfallR,
Archiv für Sozialgeschichte,AfS,0066-6505
Anwaltsgebühren spezial,AGS,
Aktuelle juristische Praxis,AJP,
Ad Legendum,AL,
Österreichisches Anwaltsblatt,AnwBl,1605-2544
Mitteilungen der APBB,APBB-Mitt.,
apf - Ausbildung-Prüfung-Fortbildung,apf,
Apotheke & Recht,APR,
Aus Politik und Zeitgeschichte,APuZ,0479-611X
Archiv für Kriminologie,ArchKrim,0003-9225
