"alternativeTitle","id","issn","otherTitleInformation","shortTitle","title"
"WiB","http://lobid.org/resources/990054605480206441#!","09452346","WiB ; Zeitschrift für Wirtschaftsanwälte und Unternehmensjuristen",,"Wirtschaftsrechtliche Beratung"
"LKRZ","http://lobid.org/resources/990155627390206441#!","18640192 18640192","LKRZ",,"Zeitschrift für Landes- und Kommunalrecht Hessen, Rheinland-Pfalz, Saarland"
"Fachzeitschrift für die kommunale Selbstverwaltung ( Zusatz anfangs )","http://lobid.org/resources/990107295620206441#!","09490698","Fachzeitschrift für die kommunale Praxis","Kom Verw","Die Kommunalverwaltung, Sachsen-Anhalt"
"Der deutsche Rechtspfleger","http://lobid.org/resources/990119116020206441#!","16126394",,,"Rpfleger"
"Verwaltungsbericht der Stadt Braunschweig ( Hauptsacht. bis 1973/76 ); Verwaltungsberichte ( Hauptsacht. teils )","http://lobid.org/resources/990055264680206441#!","04074920",,,"Verwaltungsbericht / Stadt Braunschweig, Der Oberstadtdirektor"
,"http://lobid.org/resources/990054093110206441#!","00719927","systematischer Nachweis der deutschen Rechtsprechung und Zeitschriftenaufsätze",,"Fundheft für Zivilrecht"
"Arbeiten und lernen","http://lobid.org/resources/990054371720206441#!","01727338","Arbeit, Beruf, Wirtschaft, Technik in der Unterrichtspraxis",,"Arbeiten + lernen"
"DuR","http://lobid.org/resources/990054140070206441#!","03408590","DuR ; Vierteljahresschrift",,"Demokratie und Recht"
"StW; DSTG; Die neue Steuerwarte; Die neue Steuerwarte ( Hauptsacht. 23.1950,1-3 ); nationalsozialist. Beamtenzeitung ( Zusatz anfangs )","http://lobid.org/resources/990054231420206441#!","01782096 01782096",,,"Die Steuer-Warte"
"RdW","http://lobid.org/resources/990054176410206441#!","00341355","RdW ; aktuelle Steuer- u. Rechtsfragen in Kurzberichten",,"Rechtsarchiv der Wirtschaft"
"Jahresübersicht über die Rechtsprechung in Pressesachen ( Hauptsacht. 1973 u. Nebent. )","http://lobid.org/resources/990055127210206441#!","05706777",,,"Übersicht über die Rechtsprechung in Pressesachen"
"Architektenhandbuch Rheinland-Pfalz ...","http://lobid.org/resources/990159692660206441#!","18699413 18699413",,,"Architektenhandbuch Rheinland-Pfalz"
"AV ( Zusatz anfangs )","http://lobid.org/resources/990054461770206441#!","03410927 0003312X 03410927 0003312X","Zeitschrift der Bundesversicherungsanstalt für Angestellte ; amtliches Veröffentlichungsblatt","DAngVers","Die Angestellten-Versicherung"
,"http://lobid.org/resources/990054810810206441#!","01773909",,,"Steuerblatt für das Land Nordrhein-Westfalen"
"Fachzeitschrift für Mittel- und Osteuroparecht ( Zusatz teils ); Fachzeitschrift für Osteuroparecht ( Zusatz teils )","http://lobid.org/resources/990124285450206441#!","17290732","Fachzeitschrift für Wirtschaftsrecht und Steuerrecht in Osteuropa",,"Eastlex"
"ZBVR; ZfBR ( Zusatz anfangs )","http://lobid.org/resources/990056274720206441#!","09479872","(ZBVR)",,"Zeitschrift für Betriebsverfassungsrecht"
"FR; FINR ( Datenbank-Kurzbezeichnung ); Finanz-Rundschau für Einkommensteuer mit Körperschaftsteuer und Gewerbesteuer ( Hauptsacht. 73.1991 - 75.1993 )","http://lobid.org/resources/990133197480206441#!","21944156 21944156",,,"Finanz-Rundschau Ertragsteuerrecht"
"Der Betrieb / Beilage; DB; Die einkommensteuerliche Behandlung der Renten; Der Betrieb / Spezial; DB; Wochenschrift für Betriebswirtschaft, Steuerrecht, Wirtschaftsrecht, Arbeitsrecht; Spezial ( Zusatz einzelner Hefte ); Spezial Buchmarkt ( Zusatz einzelner Hefte )","http://lobid.org/resources/990054121200206441#!","01719181 01719181",,,"Der Betrieb, Beilage"
"ZFA","http://lobid.org/resources/990054190770206441#!","0342328X 0342328X","ZFA",,"Zeitschrift für Arbeitsrecht"
,"http://lobid.org/resources/990055134990206441#!","00143529",,,"Amtsblatt der Evangelischen Landeskirche in Württemberg"
"KJ; Vierteljahresschrift ( Zusatz bis 36.2003 )","http://lobid.org/resources/990116948330206441#!","29423295 29423295","KJ : Vierteljahresschrift für Recht und Politik",,"Kritische Justiz"
,"http://lobid.org/resources/990105090060206441#!","07248792 07248792","Bericht ...",,"Verfassungsschutz in Hessen"
,"http://lobid.org/resources/990368045270206441#!","2702198X",,,"Schriften der Forschungsstelle für eSport-Recht"
,"http://lobid.org/resources/990056649850206441#!","14372282","Zeitschrift für Verwaltung, Organisation und Recht","KommP SW","Kommunalpraxis, SW : Ausgabe Baden-Württemberg, Hessen, Rheinland-Pfalz, Saarland"
"ZTR; Zeitschrift für Tarif-, Arbeits- und Sozialrecht des öffentlichen Dienstes ( Nebent. bis 1995 )","http://lobid.org/resources/990054566840206441#!","09318577","ZTR ; Tarif-, Arbeits- und Sozialrecht des öffentlichen Dienstes",,"Zeitschrift für Tarifrecht"
,"http://lobid.org/resources/990136491450206441#!","16155610",,,"Steueranwaltsmagazin"
,"http://lobid.org/resources/990204835900206441#!","18649769 18649769","FMP ; Forderungen sichern, erhalten und durchsetzen",,"Forderungsmanagement professionell"
,"http://lobid.org/resources/990056240530206441#!","01734326 01734326",,,"Architektenhandbuch"
,"http://lobid.org/resources/99373268578806441#!","29424437 29424437","SGB : Kommentar",,"Sozialgesetzbuch, 14: Soziale Entschädigung"
"Grundschule, Hauptschule, Sonderschule, Rechts- und Verwaltungsvorschriften; GHS, Rechts- und Verwaltungsvorschriften; Grund-, Haupt- und Sonderschulen, Rechts- und Verwaltungsvorschriften. Ausgabe Rheinland-Pfalz ( Haupttitel 1982-Erg.-Lfg. 63 (2010) ); Grund-, Haupt- und Sonderschule, Rechts- und Verwaltungsvorschriften ( Haupttitel teils )","http://lobid.org/resources/99371242431906441#!","21978964 21978964 07240929","Rechts- und Verwaltungsvorschriften",,"Grundschule, Realschule plus, Förderschule"
"Schulverwaltung / Ausgabe Hessen; Schulverwaltung / Ausgabe Hessen und Rheinland-Pfalz; Schulverwaltung / Ausgabe Hessen, Rheinland-Pfalz und Saarland; SchVw HE/RP; Zeitschrift für Schulleitung und Schulaufsicht; Zeitschrift für Schulentwicklung und Schulmanagement; Ausgabe Hessen ( Sachl. Benennung bis 5.2001 ); Ausgabe Hessen, Rheinland-Pfalz und Saarland ( Sachl. Benennung 6.2002 - 9/10.2005 ); Ausgabe Hessen und Rheinland-Pfalz ( Sachl. Benennung 11.2006 ); SchVw He ( Nebent. bis 5.2001 ); Schulverwaltung HRS ( Nebent. 6.2002 - 9/10.2005 )","http://lobid.org/resources/990108095710206441#!","18652026 18652026","Fachzeitschrift für Schulentwicklung und Schulmanagement",,"Schulverwaltung, Hessen, Rheinland-Pfalz"
"VK; Aktueller Informationsdienst für die Schadensbearbeitung","http://lobid.org/resources/990143631070206441#!","18619843 18619843","VK ; aktueller Informationsdienst für die Schadensbearbeitung",,"Versicherung und Recht kompakt"
,"http://lobid.org/resources/990151316780206441#!","14380676 14380676","das aktuelle Tierrechtsmagazin",,"Tierbefreiung"
"SchVw; Schulverwaltung BY","http://lobid.org/resources/990119556700206441#!","0170091X",,,"Schulverwaltung, Bayern"
"MSchrKrim; MSchKrim","http://lobid.org/resources/990204530130206441#!","23661968 23661968","= Journal of criminology and penal reform","MschrKrim","Monatsschrift für Kriminologie und Strafrechtsreform"
,"http://lobid.org/resources/990054470750206441#!","03426734",,"Verkehrsrechtl.Mitt.; VerkMitt","Verkehrsrechtliche Mitteilungen"
"Amtliche Bekanntmachungen","http://lobid.org/resources/990056202500206441#!","03407551","amtliche Bekanntmachungen",,"Amts- und Mitteilungsblatt / Bundesanstalt für Materialforschung und -prüfung, (BAM)"
,"http://lobid.org/resources/990103639730206441#!","27478769 27478769",,,"Forschungen zur europäischen und vergleichenden Rechtsgeschichte"
"Juristische Zeitung für Hannover ( Hauptsacht. teils )","http://lobid.org/resources/990178747730206441#!","23654511 23654511",,,"Juristische Zeitung für das Königreich Hannover"
"Staatshandbuch","http://lobid.org/resources/990054636260206441#!","14302063","Staatshandbuch",,"Die Bundesrepublik Deutschland, Bund : Verzeichnis der Behörden mit Aufgabenbeschreibungen und Adressen"
,"http://lobid.org/resources/990055178510206441#!","09358285 09358285",,,"Neueste juristische Bibliothek, vornehmlich des deutschen Staats- und Kirchenrechts"
"Statistische Mitteilungen / Bürgerschaftswahl im Lande Bremen; Wahl der Bremischen Bürgerschaft ( Nebent. 16.2003 ); Wahl zur Bremischen Bürgerschaft ( Nebent. 17.2007 )","http://lobid.org/resources/990125260190206441#!","21992339 21992339","am ... ; vorläufiges Wahlergebnis : Wahl zur Stadtverordnetenversammlung der Stadt Bremerhaven ; Beirätewahlen im Gebiet der Stadt Bremen",,"Bürgerschaftswahl im Lande Bremen"
"Gesetzessammlung; Das Magazin der Gewerkschaft der Polizei; Organ der Gewerkschaft der Polizei ( Zusatz anfangs ); Zeitschrift der Gewerkschaft der Polizei ( Zusatz früher )","http://lobid.org/resources/990055202300206441#!","09492844","DP : das Magazin der Gewerkschaft der Polizei",,"Deutsche Polizei, [Bundesausgabe] : einheitl. Ausg"
,"http://lobid.org/resources/990134293180206441#!","09403930 09403930","Reihe Stadtforschung und Statistik",,"Zur Lage / Stadt Bielefeld"
"Amtlicher mittelfränkischer Schulanzeiger","http://lobid.org/resources/990103783320206441#!","14376342",,,"Amtlicher Schulanzeiger für den Regierungsbezirk Mittelfranken"
"Kraftloserklärung von Wertpapieren; Deutscher Reichs-Anzeiger und Königlich Preußischer Staats-Anzeiger ( Hauptsacht. bis 1918,9.Nov. )","http://lobid.org/resources/990054464200206441#!","26283646 26283646",,,"Deutscher Reichsanzeiger und Preußischer Staatsanzeiger"
,"http://lobid.org/resources/99370904804106441#!","09345744","GKÖD",,"Gesamtkommentar öffentliches Dienstrecht, Band 5: Personalvertretungsrecht des Bundes und der Länder : erläutert auf der Grundlage des Bundespersonalvertretungsgesetzes unter Einbeziehung des Personalvertretungsrechts der Länder / fortgeführt ab 1. Juli 2009 von: Prof. Dr. iur. Hans-Dietrich Weiß"
"Amtsblatt der Regierung von Niederbayern ( Hauptsacht. teils ); Regierung von Niederbayern ( Zusatz teils )","http://lobid.org/resources/990103747050206441#!","04050657",,,"Amtsblatt / Regierung von Niederbayern"
"BDZ-Magazin - ddZ; DDZ-Fachteil; DDZ","http://lobid.org/resources/990117078560206441#!","14379864 14379864","ddZ",,"BDZ-Magazin"
,"http://lobid.org/resources/990055152370206441#!","23665238 23665238",,,"Magazin für das Kirchenrecht, die Kirchen- und Gelehrten-Geschichte nebst Beyträgen zur Menschenkenntniß überhaupt"
"Der raisonnierende Juriste, welcher seine Raisonnements aus denen Regeln der Klugheit und dem vernünftigen Rechte, wie auch denen römischen und teutschen Antiquitäten über die Stücke der Rechtsgelehrsamkeit ergehen lässet; Der raisonnirende Juriste, welcher seine Raisonnements aus denen Regeln der Klugheit und dem vernünfftigen Rechte, wie auch denen Römischen und Teutschen Antiquitäten über die Stücke der Rechtsgelehrsamkeit ergehen lässet; Der raisonnirende Juriste, welcher seine Raisonnements aus denen Regeln der Klugheit und dem vernünfftigen Rechte, wie auch denen Römischen und Teutschen Antiquitäten über die Stücke der Rechtsgelehrsamkeit ergehen lässet ( Zitiertitel nach Kirchner )","http://lobid.org/resources/990178658890206441#!","25095285 25095285",,,"Der raisonirende Juriste, welcher seine Raisonements aus denen Reguln der Klugheit, und dem vernünfftigen Rechte, wie auch denen römischen und teutschen Antiquitäten über die Stücke der Rechts-Gelehrsamkeit ergehen lässet"
"ZChinR; Zeitschrift für chinesisches Recht / hrsg. von der Deutsch-Chinesischen Juristenvereinigung in Verb. mit dem Deutsch-Chinesischen Institut für Rechtswissenschaft ( Abweichende Wortbildung d. Hauptsacht. )","http://lobid.org/resources/990127075180206441#!","16135768 16135768","ZChinR",,"Zeitschrift für chinesisches Recht"
"Brief","http://lobid.org/resources/990056526990206441#!","27024024",,,"KAN-Brief"
"Rechtspflege; Ausgewählte Zahlen für die Rechtspflege","http://lobid.org/resources/990054344400206441#!","07224834 07224834",,,"Fachserie / Statistisches Bundesamt, Wiesbaden, 10. Reihe 1: Rechtspflege. Ausgewählte Zahlen für die Rechtspflege"
"Hochsauerlandkreis-Schriftenreihe","http://lobid.org/resources/990053949470206441#!","09303162",,,"Schriftenreihe / Hochsauerlandkreis"
"Statistische Berichte Rheinland-Pfalz / H / 1 / 2 / 2; Zulassungen von fabrikneuen und Besitzumschreibungen von Kraftfahrzeugen sowie Fahrerlaubnisprüfungen ( Sachl. Benennung bis 1982 ); Zulassung und Besitzumschreibung von Kraftfahrzeugen sowie Fahrerlaubnisprüfungen ( Sachl. Benennung 1983 - 1987 )","http://lobid.org/resources/990055323080206441#!","14305127 14305127",,,"Statistische Berichte Rheinland-Pfalz, H. I. 2: Zulassungen und Besitzumschreibungen von Kraftfahrzeugen sowie Fahrerlaubnisprüfungen"
,"http://lobid.org/resources/990119470410206441#!","09476660 09476660",,,"Newsletter / Arbeitskreis für Forensische Odonto-Stomatologie"
"Verzeichnis mit Aufgaben und Adressen von Verbänden, Vereinigungen, Einrichtungen des öffentlichen Rechts; Verzeichnis mit Aufgabenbeschreibungen und Adressen von Verbänden, Vereinigungen, wissenschaftlichen Institutionen, Anstalten, Körperschaften und Stiftungen des öffentlichen Rechts ( Sachl. Benennung 1994 )","http://lobid.org/resources/990054606220206441#!","09479031","Staatshandbuch",,"Die Bundesrepublik Deutschland, Verbände : Verzeichnis mit Aufgaben und Adressen von Verbänden, Vereinigungen, Einrichtungen des öffentlichen Rechts ; Stand der Erhebungen: .."
"Kriminalistik-Dokumentation; Kriminalistik-Skript; Zeitschrift für die gesamte kriminalistische Wissenschaft und Praxis ( Zusatz anfangs ); unabhängige Zeitschrift für die gesamte kriminalistische Wissenschaft und Praxis ( Zusatz früher )","http://lobid.org/resources/990054455740206441#!","00234699 00234699","unabhängige Zeitschrift für die kriminalistische Wissenschaft und Praxis","Kriminalistik","Kriminalistik"
"150 Jahre hessische Regierungszeitung; Hundertfünfzig Jahre hessische Regierungszeitung; amtliches Organ der Großherzoglichen Hessischen Staatsregierung ( Zusatz anfangs )","http://lobid.org/resources/990052535690206441#!","23650079 23650079","amtliches Organ der Hessischen Landesregierung",,"Darmstädter Zeitung"
"Beiträge zur Statistik Hessens / Die veranlagten Einkommen","http://lobid.org/resources/990054302720206441#!","01730193","Ergebnisse d. Einkommensteuerstatistik u. d. Körperschaftssteuerstatistik",,"Die veranlagten Einkommen"
,"http://lobid.org/resources/990106415670206441#!","14332531",,,"Statistische Berichte Baden-Württemberg, L. III. 2/S: Finanzen und Steuern. Personalfluktuation der Vollbeschäftigten in Baden-Württemberg : vom 1. Juli ... bis 30. Juni .."
"ZGR; Bibliographie zum Gesellschaftsrecht","http://lobid.org/resources/990054192120206441#!","03402479","ZGR",,"Zeitschrift für Unternehmens- und Gesellschaftsrecht"
"Bundesgesetzblatt für den Bundesstaat Österreich ( Hauptsacht. 1934,1(1.Mai) - 1938,26(13.März) ); Staatsgesetzblatt und Bundesgesetzblatt für die Republik Österreich ( 1945,1(1.Mai)-61(18.Dez.) )","http://lobid.org/resources/990054499300206441#!","00075906",,"Bundesgesetzbl. Repub. Oesterr.","Bundesgesetzblatt für die Republik Österreich"
"Die Bundesrepublik Deutschland / Landesausgabe Land Baden-Württemberg; Staatshandbuch","http://lobid.org/resources/990054004380206441#!","07233825","Staatshandbuch",,"Die Bundesrepublik Deutschland, Landesausgabe Land Baden-Württemberg"
,"http://lobid.org/resources/990178747430206441#!","21926476 21926476",,,"Annalen der preußischen innern Staats-Verwaltung"
"Jahresbericht ... der Stadt Frankfurt am Main ( Hauptsacht. 1950/51 u. 1953/54 - 1957/58 )","http://lobid.org/resources/990055267940206441#!","04295625 25105736 04295625 25105736",,,"Jahresbericht ... und Etat ... der Stadt Frankfurt am Main"
"Nachtrag zum Haushaltsplan des Landes Hessen; Landeshaushaltsplan Hessen; Haushaltsplan des Landes Hessen; einschließlich Nachtragshaushaltsplan ( Zusatz teils )","http://lobid.org/resources/990056389610206441#!","04373464",,,"Landeshaushaltsplan ... / Hessen"
"Verzeichnis der Rechts- und Verwaltungsvorschriften auf dem Gebiet des Wasserrechts / Land Rheinland-Pfalz","http://lobid.org/resources/990205947890206441#!","07246005",,,"Verzeichnis der Rechts- und Verwaltungsvorschriften auf dem Gebiet des Wasserrechts, Land Rheinland-Pfalz"
"Gesetze und Verordnungen im Justizfache; Josephs des Zweyten römischen Kaisers Franz Gesetze und Verfassungen im Justizfache; Seiner Majestät des Kaisers Franz Gesetze und Verfassungen im Justiz-Fache; Gesetze und Verfassungen im Justizfache ( Hauptsacht. anfangs )","http://lobid.org/resources/990204249500206441#!","27880818",,,"Gesetze und Verfassungen im Justizfach für Österreich"
"Statistische Berichte Niedersachsen / A / 2 / 1 / A 2 3","http://lobid.org/resources/990105517620206441#!","14306069","Ergebnisse der amtlichen Statistik des Landes Niedersachsen",,"Statistische Berichte Niedersachsen, A. II. 1. AII2: Eheschließungen, Geborene, Gestorbene und gerichtliche Ehelösungen"
"Staatshandbuch","http://lobid.org/resources/990054632250206441#!","09495959 09495959","Staatshandbuch",,"Die Bundesrepublik Deutschland, Sachsen : Verzeichnis der Behörden und Gemeinden mit Aufgabenbeschreibungen und Adressen des Freistaates Sachsen"
"Juristische Ausbildung; Aktuelle Rechtsprechung in der Jura-Kartei (JK); JK; Jura Info","http://lobid.org/resources/990054015500206441#!","01701452 01701452","juristische Ausbildung",,"Jura"
"Gesetzblatt der DDR","http://lobid.org/resources/990054467780206441#!","01381695",,,"Gesetzblatt der Deutschen Demokratischen Republik, Teil 2"
,"http://lobid.org/resources/990105752320206441#!","01773291","Regelung der steuerrechtlichen Förderung des selbstgenutzten Wohneigentums",,"Wohneigentumsförderungsgesetz"
"InVo; Insolvenz und Vollstreckung","http://lobid.org/resources/990056575780206441#!","0949930X 0949930X","InVo",,"Insolvenz & Vollstreckung"
"Lebensmittel und Recht; LMuR","http://lobid.org/resources/990056594920206441#!","14342626","LMuR; offizielles Organ des Deutschen Rechtstages für Lebensmittel und Nahrungsergänzungsmittel",,"Lebensmittel & Recht"
,"http://lobid.org/resources/990113099480206441#!","14311569","bauen, vermieten, verwalten ; Textsammlung ; die wichtigsten Gesetze und Richtlinien auf aktuellem Stand ; alle wichtigen Vorschriften und angrenzende Bestimmungen",,"Immobiliengesetze"
"GMBl; Gemeinsames Ministerialblatt des Auswärtigen Amtes, des Bundesministeriums des Innern, des Bundesministeriums der Finanzen, des Bundesministeriums für Wirtschaft und Energie, des Bundesministeriums für Arbeit und Soziales, des Bundesministeriums für Ernährung und Landwirtschaft, des Bundesministeriums der Verteidigung, des Bundesministeriums für Familie, Senioren, Frauen und Jugend, des Bundesministeriums für Gesundheit, des Bundesministeriums für Verkehr und Digitale Infrastruktur, des Bundesministeriums für Umwelt, Naturschutz, Bau und Reaktorsicherheit, des Bundesministeriums für Bildung und Forschung, des Bundesministeriums für Wirtschaftliche Zusammenarbeit und Entwicklung, des Beauftragten der Bundesregierung für Kultur und Medien ( Hauptsacht. 64.2013,65/67 - 65.2014,1 )","http://lobid.org/resources/990171922640206441#!","23637544 23637544",,,"Gemeinsames Ministerialblatt des Auswärtigen Amtes, des Bundesministeriums des Innern, des Bundesministeriums der Finanzen, des Bundesministeriums für Wirtschaft und Technologie, des Bundesministeriums für Arbeit und Soziales, des Bundesministeriums für Ernährung, Landwirtschaft und Verbraucherschutz, des Bundesministeriums der Verteidigung, des Bundesministeriums für Familie, Senioren, Frauen und Jugend, des Bundesministeriums für Gesundheit, des Bundesministeriums für Verkehr, Bau und Stadtentwicklung, des Bundesministeriums für Umwelt, Naturschutz und Reaktorsicherheit, des Bundesministeriums für Bildung und Forschung, des Bundesministeriums für Wirtschaftliche Zusammenarbeit und Entwicklung, des Beauftragten der Bundesregierung für Kultur und Medien"
"PH; Führung, Technik, Ausbildung ( 2. Zusatz anfangs )","http://lobid.org/resources/990106845020206441#!","09474021","PH ; Führung, Technik, Ausbildung, Recht",,"Polizei heute"
"Bundespolizei ( Hauptsacht. teils ); Gewerkschaft der Bundespolizei ( Hauptsacht. 44.1995,1-2u.5 ); offizielles Organ des Bundesgrenzschutz-Verbandes (bgv) ( Zusatz anfangs )","http://lobid.org/resources/990107905300206441#!","14393662 14393662","offizielles Organ der Bundespolizeigewerkschaft - BGV",,"Die Bundes-Polizei"
"Amtsblatt d. Reichsarbeitsministeriums, d. Reichsversicherungsamts u. d. Reichsversicherungsanstalt für Angestellte; Arbeiterschutz, Unfallverhütung, Gewerbehygiene ( Hauptsacht. 1925 - 1927 ); Arbeitsschutz, Unfallverhütung, Gewerbehygiene ( Hauptsacht. 1928 - 1941 )","http://lobid.org/resources/990054030440206441#!","03650987","Amtsbl. d. Reichsarbeitsministeriums, d. Reichsversicherungsamts u. d. Reichsversicherungsanstalt für Angestellte",,"Arbeitsschutz"
,"http://lobid.org/resources/990208602490206441#!","23650990 23650990","Recht, Technik und Management in der Bauleitung",,"Der Bauleiter"
"ZStW; Auslandsrundschau; ZStW ( Zusatz anfangs )","http://lobid.org/resources/990054045990206441#!","00845310 00845310","mit Auslandsrundschau",,"Zeitschrift für die gesamte Strafrechtswissenschaft"
"Zeitschrift im Rechtsstaat","http://lobid.org/resources/990107191100206441#!","10195394","Zeitschrift für Kritik, Recht, Gesellschaft",,"Juridikum"
"Netzwirtschaften und Recht; N und R; N & R","http://lobid.org/resources/990133998030206441#!","16129245","N & R",,"Netzwirtschaften & Recht"
,"http://lobid.org/resources/990054033140206441#!","0524899X",,,"Annales Universitatis Scientiarum Budapestinensis de Rolando Eötvös Nominatae, Sectio iuridica"
,"http://lobid.org/resources/990055174330206441#!","21923280 21923280",,,"Leipziger Magazin für Rechtsgelehrte"
"Magazin Mitbestimmung; das Arbeitsweltmagazin der Hans-Böckler-Stiftung ( Zusatz anfangs )","http://lobid.org/resources/990119313420206441#!","07235984",,,"Mitbestimmung"
"SJ","http://lobid.org/resources/990133079520206441#!","16132882 16132882","das Fachmagazin für Steuerberater ; Heft plus Web plus Webservices",,"Steuer-Journal.de"
"Materialien / Arbeitshefte - Arbeitsgemeinschaft der Parlaments- und Behördenbibliotheken; APBB-Arbeitshefte","http://lobid.org/resources/990053911590206441#!","05182220",,,"Arbeitshefte / Arbeitsgemeinschaft der Parlaments- und Behördenbibliotheken"
"Zeitschrift für nachhaltige Unternehmensführung; Rechtszeitschrift für nachhaltige Unternehmensführung","http://lobid.org/resources/99371184917006441#!","27508323 27508323",,,"ESG - Zeitschrift für nachhaltige Unternehmensführung"
"Die Sport-Zeitschrift für nationales und internationales Recht sowie für Wirtschaft; Cau§a; §port; CaS; die Sport-Zeitschrift für nationales und internationales Recht sowie für Wirtschaft; interdisziplinäre Zeitschrift für nationales und internationales Sportrecht","http://lobid.org/resources/990134295320206441#!","16608399","Zeitschrift für Sport- sowie für Geld- und Glücksspielrecht im interdisziplinären und internationalen Kontext",,"Causa Sport"
,"http://lobid.org/resources/990054033770206441#!","04055179",,,"Entscheidungen des Oberverwaltungsgerichts Berlin"
"RJZ; Legal affairs, justice, contemporary events ( Haupttitel teils )","http://lobid.org/resources/990053840350206441#!","09330399 09330399","RJZ",,"Recht, Justiz, Zeitgeschehen"
"AW-Prax; Newsticker; AW-Prax / Newsticker","http://lobid.org/resources/990054619400206441#!","09473017","AW-Prax ; Zeitschrift für Außenwirtschaft in Recht und Praxis",,"Außenwirtschaftliche Praxis"
"GmbHRundschau; GmbHR","http://lobid.org/resources/990110211480206441#!","1438468X 1438468X","GmbHR ; Gesellschafts- und Steuerrecht der GmbH und GmbH & Co",,"GmbH-Rundschau"
"Statistische Berichte / A / 1 / 9; Einbürgerungen in Sachsen ( Sachl. Benennung d. 4. OG 1991 )","http://lobid.org/resources/990106281410206441#!","14358670 14358670",,,"Statistische Berichte / Statistisches Landesamt des Freistaates Sachsen, A. I. 9: Bevölkerung, Gebiet, Erwerbstätigkeit. Einbürgerungen im Freistaat Sachsen"
,"http://lobid.org/resources/990202958460206441#!","14393425 14393425",,,"Amtsblatt des Bayerischen Staatsministeriums für Bildung und Kultus, Wissenschaft und Kunst, Beiblatt zum Amtsblatt des Bayerischen Staatsministeriums für Bildung und Kultus, Wissenschaft und Kunst"
"Karlsruher juristische Bibliographie / Gesamt-, Verfasser- und Sachregister","http://lobid.org/resources/990055941670206441#!","04533283","systematischer Nachweis neuer Bücher und Aufsätze in monatlicher Folge aus Recht, Staat, Gesellschaft",,"Karlsruher juristische Bibliographie, Gesamt-, Verfasser- und Sachregister"
"Schriften des Deutschen Wissenschaftlichen Steuerinstituts der Steuerbevollmächtigten; Schriften des Deutschen Wissenschaftlichen Steuerinstituts der Steuerberater und Steuerbevollmächtigten; KSt; Schriften des Deutschen Wissenschaftlichen Instituts der Steuerberater / Handbuch zur Körperschaftsteuerveranlagung","http://lobid.org/resources/990054196070206441#!","01712357","KSt",,"Handbuch zur Körperschaftsteuerveranlagung"
"Verzeichnis / Adressen der Landratsämter, Stadt- und Gemeindeverwaltungen im Freistaat Sachsen","http://lobid.org/resources/990106625400206441#!","14359065 14359065","Stand ...",,"Adressen der Landratsämter, Stadt- und Gemeindeverwaltungen im Freistaat Sachsen"
,"http://lobid.org/resources/990103149950206441#!","01774573 01774573","unabhängige Fachzeitschrift für d. Polizeibeamten",,"Polizei-Info, Polizeiforum"
"Estb; Ertrag-Steuerberater; EStB","http://lobid.org/resources/990205816540206441#!","14379112 14379112","estb ; Informationsdienst zu Unternehmen, Freiberuflern, Arbeitnehmern und Familien",,"ErtragSteuerberater"
"Aus der Düsseldorfer Statistik ( Hauptsacht. 1944,März )","http://lobid.org/resources/990054532560206441#!","04181263","monatliche Mitteilungen des Statistischen Amtes der Landeshauptstadt Düsseldorf",,"Düsseldorf in Zahlen"
,"http://lobid.org/resources/990055179840206441#!","23665769 23665769",,,"Archiv für das Notariat"
"NJ; Zeitschrift für Anwaltspraxis und Gerichtspraxis; Zeitschrift für Recht und Rechtswissenschaft; Zeitschrift für sozialistisches Recht und Gesetzlichkeit; Zeitschrift für Rechtsentwicklung und Rechtsprechung in den Neuen Ländern; Zeitschrift für Rechtsetzung und Rechtsanwendung; Zeitschrift für Rechtsentwicklung und Rechtsprechung; Zeitschrift für Rechtsentwicklung und Rechtsprechung","http://lobid.org/resources/990053976200206441#!","00283231","NJ ; Zeitschrift für Anwalts- und Gerichtspraxis",,"Neue Justiz"
,"http://lobid.org/resources/99372917763106441#!","29418054 29418054","Recht, Technik, Management",,"Informationsdienst Bauleitung"
"Statistische Berichte des Bayerischen Landesamts für Statistik und Datenverarbeitung ( Hauptsacht. bis 2003 )","http://lobid.org/resources/990103873230206441#!","14303221 14303221",,,"Statistische Berichte / Bayerisches Landesamt für Statistik und Datenverarbeitung, F. II. 1 - m: Baugenehmigungen in Bayern : im .."
"ErbR","http://lobid.org/resources/990147945810206441#!","18624790 18624790","ErbR",,"Zeitschrift für die gesamte erbrechtliche Praxis"
,"http://lobid.org/resources/990054497760206441#!","0223582X","bulletin de la Société Internationale de Défense Sociale",,"Cahiers de défense sociale"
,"http://lobid.org/resources/990054193980206441#!","03422534","Sammlung obergerichtl. Entscheidungen aus d. Verfassungs- u. Verwaltungsrecht",,"Verwaltungs-Rechtsprechung in Deutschland"
"RDi","http://lobid.org/resources/990368268980206441#!","27022404 27022404","RDi",,"Recht digital"
"ZWE","http://lobid.org/resources/990120065080206441#!","16118650 16118650","ZWE ; Begründung, Verwaltung, Vermietung, Steuern, Verfahren",,"Zeitschrift für Wohnungseigentumsrecht"
