"alternativeTitle","id","issn","otherTitleInformation","shortTitle","title"
"Behördennachweis und Personenverzeichnis; Die Bundesrepublik ( Nebent. 63.1953 - 64.1954/55 )","http://lobid.org/resources/990054121680206441#!","0933551X 0933551X","die Bundesrepublik ; Bund und Länder, kommunale und andere Körperschaften des öffentlichen Rechts, sowie Spitzenverbände mit Personalangaben",,"Taschenbuch für Verwaltungsbeamte"
"Revue suisse de droit des affaires et du marché financier; Swiss review of business and financial market law; SZW; RSDA","http://lobid.org/resources/990144614540206441#!","16628705","SZW ; RSDA = Revue suisse de droit des affaires et du marché financier = Swiss review of business and financial market law",,"Schweizerische Zeitschrift für Wirtschafts- und Finanzmarktrecht"
,"http://lobid.org/resources/990054220420206441#!","00037672",,,"Arbeits- und sozialstatistische Mitteilungen"
,"http://lobid.org/resources/990054461320206441#!","09314342",,,"Zeitschrift für internationales Recht"
"ZVS","http://lobid.org/resources/990054345610206441#!","0343009X 09310169","ZVS ; Forum für Theorie u. Praxis in Beruf u. Ehrenamt ; ZVS",,"Zeitschrift für Vormundschafts- und Sozialarbeit"
,"http://lobid.org/resources/990055133820206441#!","03426076","Verband d. Kreisangehörigen Gemeinden u. Ämter; Mitteilungen für d. Mitglieder in Westfalen u. Lippe",,"Gemeindetag Nordrhein-Westfalen"
"DZWir; DWiR ( Zusatz früher )","http://lobid.org/resources/990054593530206441#!","09401555","DZWir",,"Deutsche Zeitschrift für Wirtschaftsrecht"
"Monatshefte für osteuropäisches Recht; WGO-MfOR; WGO-Monatshefte für osteuropäisches Recht; die wichtigsten Gesetzgebungsakte in den Ländern Ost-, Südosteuropas u. in d. ostasiat. Volksdemokratien ( 2.Zusatz anfangs )","http://lobid.org/resources/990054468810206441#!","00429678 00429678","Monatshefte für osteuropäisches Recht ; die wichtigsten Gesetzgebungsakte in den Ländern Ost- und Südosteuropas",,"WGO"
,"http://lobid.org/resources/990179474500206441#!","09404902",,,"Schulbuchkatalog"
"Zeitschrift des Königlich-Bayerischen Statistischen Landesamts ( Hauptsacht. 41.1909 - 50.1918 ); Zeitschrift des Bayerischen Statistischen Landesamts ( Hauptsacht. 51.1919 - 112.1980 )","http://lobid.org/resources/990054098730206441#!","00057215 00057215",,,"Zeitschrift des Bayerischen Statistischen Landesamts"
"Amtsblatt der Europäischen Union / L","http://lobid.org/resources/990119115840206441#!","17252539",,,"Amtsblatt der Europäischen Union, L: Rechtsvorschriften"
,"http://lobid.org/resources/990055172490206441#!","04173120",,,"Verhandlungen des Deutschen Juristentages"
,"http://lobid.org/resources/990177770120206441#!","18616607 18616607","wichtige Nachrichten aus der Gesetzgebung, Rechtsprechung und Verwaltungspraxis",,"Aktuelles aus dem Steuer- und Wirtschaftsrecht"
"Jherings Jahrbücher","http://lobid.org/resources/990054158620206441#!","18660800 18660800",,,"Jahrbücher für die Dogmatik des heutigen römischen und deutschen Privatrechts"
