title,issn,alternativeTitle
Tierbefreiung,"14380676,14380676",
Monatsschrift für Kriminologie und Strafrechtsreform,"23661968,23661968",MSchrKrim; MSchKrim
Verkehrsrechtliche Mitteilungen,03426734,
Juristische Zeitung für das Königreich Hannover,"23654511,23654511",Juristische Zeitung für Hannover ( Hauptsacht. teils )
"Deutsche Polizei, [Bundesausgabe] : einheitl. Ausg",09492844,Gesetzessammlung; Das Magazin der Gewerkschaft der Polizei; Organ der Gewerkschaft der Polizei ( Zusatz anfangs ); Zeitschrift der Gewerkschaft der Polizei ( Zusatz früher )
Deutscher Reichsanzeiger und Preußischer Staatsanzeiger,"26283646,26283646","Kraftloserklärung von Wertpapieren; Deutscher Reichs-Anzeiger und Königlich Preußischer Staats-Anzeiger ( Hauptsacht. bis 1918,9.Nov. )"
"Der raisonirende Juriste, welcher seine Raisonements aus denen Reguln der Klugheit, und dem vernünfftigen Rechte, wie auch denen römischen und teutschen Antiquitäten über die Stücke der Rechts-Gelehrsamkeit ergehen lässet","25095285,25095285","Der raisonnierende Juriste, welcher seine Raisonnements aus denen Regeln der Klugheit und dem vernünftigen Rechte, wie auch denen römischen und teutschen Antiquitäten über die Stücke der Rechtsgelehrsamkeit ergehen lässet; Der raisonnirende Juriste, welcher seine Raisonnements aus denen Regeln der Klugheit und dem vernünfftigen Rechte, wie auch denen Römischen und Teutschen Antiquitäten über die Stücke der Rechtsgelehrsamkeit ergehen lässet; Der raisonnirende Juriste, welcher seine Raisonnements aus denen Regeln der Klugheit und dem vernünfftigen Rechte, wie auch denen Römischen und Teutschen Antiquitäten über die Stücke der Rechtsgelehrsamkeit ergehen lässet ( Zitiertitel nach Kirchner )"
"Fachserie / Statistisches Bundesamt, Wiesbaden, 10. Reihe 1: Rechtspflege. Ausgewählte Zahlen für die Rechtspflege","07224834,07224834",Rechtspflege; Ausgewählte Zahlen für die Rechtspflege
Kriminalistik,"00234699,00234699",Kriminalistik-Dokumentation; Kriminalistik-Skript; Zeitschrift für die gesamte kriminalistische Wissenschaft und Praxis ( Zusatz anfangs ); unabhängige Zeitschrift für die gesamte kriminalistische Wissenschaft und Praxis ( Zusatz früher )
Darmstädter Zeitung,"23650079,23650079",150 Jahre hessische Regierungszeitung; Hundertfünfzig Jahre hessische Regierungszeitung; amtliches Organ der Großherzoglichen Hessischen Staatsregierung ( Zusatz anfangs )
Zeitschrift für Unternehmens- und Gesellschaftsrecht,03402479,ZGR; Bibliographie zum Gesellschaftsrecht
Annalen der preußischen innern Staats-Verwaltung,"21926476,21926476",
Gesetze und Verfassungen im Justizfach für Österreich,27880818,Gesetze und Verordnungen im Justizfache; Josephs des Zweyten römischen Kaisers Franz Gesetze und Verfassungen im Justizfache; Seiner Majestät des Kaisers Franz Gesetze und Verfassungen im Justiz-Fache; Gesetze und Verfassungen im Justizfache ( Hauptsacht. anfangs )
Jura,"01701452,01701452",Juristische Ausbildung; Aktuelle Rechtsprechung in der Jura-Kartei (JK); JK; Jura Info
"Gesetzblatt der Deutschen Demokratischen Republik, Teil 2",01381695,Gesetzblatt der DDR
Die Bundes-Polizei,"14393662,14393662","Bundespolizei ( Hauptsacht. teils ); Gewerkschaft der Bundespolizei ( Hauptsacht. 44.1995,1-2u.5 ); offizielles Organ des Bundesgrenzschutz-Verbandes (bgv) ( Zusatz anfangs )"
Zeitschrift für die gesamte Strafrechtswissenschaft,"00845310,00845310",ZStW; Auslandsrundschau; ZStW ( Zusatz anfangs )
Juridikum,10195394,Zeitschrift im Rechtsstaat
Steuer-Journal.de,"16132882,16132882",SJ
Arbeitshefte / Arbeitsgemeinschaft der Parlaments- und Behördenbibliotheken,05182220,Materialien / Arbeitshefte - Arbeitsgemeinschaft der Parlaments- und Behördenbibliotheken; APBB-Arbeitshefte
Causa Sport,16608399,Die Sport-Zeitschrift für nationales und internationales Recht sowie für Wirtschaft; Cau§a; §port; CaS; die Sport-Zeitschrift für nationales und internationales Recht sowie für Wirtschaft; interdisziplinäre Zeitschrift für nationales und internationales Sportrecht
"Recht, Justiz, Zeitgeschehen","09330399,09330399","RJZ; Legal affairs, justice, contemporary events ( Haupttitel teils )"
Außenwirtschaftliche Praxis,09473017,AW-Prax; Newsticker; AW-Prax / Newsticker
Handbuch zur Körperschaftsteuerveranlagung,01712357,Schriften des Deutschen Wissenschaftlichen Steuerinstituts der Steuerbevollmächtigten; Schriften des Deutschen Wissenschaftlichen Steuerinstituts der Steuerberater und Steuerbevollmächtigten; KSt; Schriften des Deutschen Wissenschaftlichen Instituts der Steuerberater / Handbuch zur Körperschaftsteuerveranlagung
"Polizei-Info, Polizeiforum","01774573,01774573",
Düsseldorf in Zahlen,04181263,"Aus der Düsseldorfer Statistik ( Hauptsacht. 1944,März )"
Neue Justiz,00283231,NJ; Zeitschrift für Anwaltspraxis und Gerichtspraxis; Zeitschrift für Recht und Rechtswissenschaft; Zeitschrift für sozialistisches Recht und Gesetzlichkeit; Zeitschrift für Rechtsentwicklung und Rechtsprechung in den Neuen Ländern; Zeitschrift für Rechtsetzung und Rechtsanwendung; Zeitschrift für Rechtsentwicklung und Rechtsprechung; Zeitschrift für Rechtsentwicklung und Rechtsprechung
Zeitschrift für die gesamte erbrechtliche Praxis,"18624790,18624790",ErbR
Amtsblatt der Stadt Mönchengladbach,09348964,
"Informationen für Auswanderer und Auslandstätige, Leitfaden für Arbeitsverträge bei Auslandstätigkeit",21923639,
Die Bundesverwaltung,"00075930,00075930",
Zeitschrift für Strafvollzug und Straffälligenhilfe,"03423514,03423514",ZfStrVo
"Der Beamtenbund / Bundesleitung des Deutschen Beamtenbundes, Gewerkschaft der Berufsbeamten, Ausgabe Nordrhein-Westfalen",01715704,Der Beamtenbund / Ausgabe Nordrhein-Westfalen
Wirtschaftsdienst Ingenieure & Architekten,"14338300,14338300","WIA; Wirtschaftsdienst für Ingenieure und Architekten ( Hauptsacht. bis 2002,5 ); Honorargestaltung, Planungsleistungen, Musterverträge, Büro-Management, Steuergestaltung ( Zusatz anfangs )"
Entscheidungen des Bundesarbeitsgerichts,"04337050,04337050",BAGE
"Deutsche Polizei, Ausgabe Baden-Württemberg","01706381,01706381",Deutsche Polizei <Hilden> / Ausgabe Baden-Württemberg; Organ der Gewerkschaft der Polizei
"Reichs-Fama, welche das Merckwürdigste von demjenigen, so sich ganz kürzlich auf dem Reichs-Convent, an dem Kayserlichen und anderen Höfen, auch mit denen übrigen Ständen des Heiligen Römischen Reichs zugetragen, besonders das, so in das Jus publicum Germaniae tam universale, quam singulorum statuum einschläget, aufrichtig und in guter Ordnung mittheilet","23654562,23654562","Reichs-Fama, welche das Merckwürdigste von demjenigen, so sich gantz kürtzlich auf dem Reichs-Convent, an dem Kayserlichen und anderen Höfen, auch mit denen übrigen Ständen des Heiligen Römischen Reichs zugetragen ... ( Hauptsacht. teils ); Reichs-Fama, welche das Merckwürdigste von demjenigen, so sich gantz kürtzlich auf dem Reichs-Convent, an dem Kayserlichen und anderen Höfen, auch mit denen übrigen Ständen des H. Römischen Reichs zugetragen ... ( Hauptsacht. teils ); Reichs-Fama, welche fürnemlich das Merckwürdigste von demjenigen, so sich gantz kürtzlich auf dem Reichs-Convent, an dem Kayserlichen und anderen Höfen, auch mit denen übrigen Ständen des Heiligen Römischen Reichs zugetragen ... ( Hauptsacht. teils )"
Zeitschrift für Zivilprozess,"03423468,03423468",ZZP; Zeitschrift für Zivilprozess ( Hauptsacht. teils ); Busch's Zeitschrift ( Nebent. anfangs )
Berliner Anwaltsblatt,"09303065,09303065",Mitteilungsblatt des Berliner Anwaltsvereins e.V. mit den amtl. Bekanntmachungen der Rechtsanwaltskammer Berlin und der Notarkammer Berlin ( Zusatz anfangs )
Zeitschrift für öffentliches Recht,"09484396 (1996),22272410 (19191944),09484396",ZÖR; Austrian journal of public and international law; Journal of public law
Arztrecht,"03435733,03405524,03435733,03405524",Kompendium des gesamten Rechtes der Medizin ( Zusatz anfangs ); offizielles Organ der Arbeitsgemeinschaft für Arztrecht ( 2. Zusatz anfangs )
Europa ethnica,00142492,Zeitschrift für Minderheitenfragen; Zeitschrift für Minderheitenfragen ; mit offiziellen Mitteilungen d. Föderalistischen Union Europäischer Volksgruppen; Vierteljahresschrift für Nationalitätenfragen ( Zusatz anfangs )
Humanitäres Völkerrecht,"09375414,09375414",HuV-I; HuV ( Zusatz anfangs )
Board,"2192211X,2192211X",
Neues Archiv für Handelsrecht,"23665408,23665408",
"Amtsblatt der Bayerischen Staatsministerien für Unterricht und Kultus und Wissenschaft, Forschung und Kunst, Teil 1","14393409,14393409","Amtsblatt der Bayerischen Staatsministerien für Unterricht und Kultus und Wissenschaft, Forschung und Kunst / 1; Amtsblatt des Bayerischen Staatsministeriums für Unterricht und Kultus ( Hauptsacht. 1975,5 - 1986,23 ); Amtsblatt der Bayerischen Staatsministerien für Unterricht und Kultus und Wissenschaft und Kunst ( Hauptsacht. 1986,24 - 1990,19 )"
Juristische Blätter,"00226912,00226912","Systematische Übersicht der in der Zeit vom ... bis ... veröffentlichten Entscheidungen des Obersten Gerichtshofes; JBl; Juristische Blätter vereinigt mit Gerichtszeitung ( Hauptsacht. 61.1932 - 67.1938,5(März) )"
Deutsche Richterzeitung,"03408612,03408612","DRiZ; DRiZ; Organ des Deutschen Richterbundes, Bund der Richterinnen und Richter, Staatsanwältinnen und Staatsanwälte ( Zusatz anfangs )"
Anwaltsblatt,"01717227,01717227",AnwBl
Juridisches Magazin,"18661025,18661025",
Vergabe-Navigator,"18616658,18616658",
Entscheidungen zum Wirtschaftsrecht,01779303,EWiR
Recht der Datenverarbeitung,"01788930,01788930",RDV; Zeitschrift für Praxis und Wissenschaft ( Zusatz anfangs )
Recht der Finanzinstrumente,"21913838,21913838",
Vereinte Nationen,"0042384X,0042384X",
Monatsschrift für deutsches Recht,"03401812,03401812",MdR; MDReport; MD Report; Zeitschrift für die Zivilrechts-Praxis; Zeitschrift für die Zivilrechts-Praxis; inklusive MDRonline
Tijdschrift voor rechtsgeschiedenis,00407585,Revue d'histoire du droit; The legal history review ( Hauptsacht. teils )
Deutsche Steuer-Zeitung,"07245637,07245637","Aufwertungs-Praxis; Goldbilanz-Praxis; Der Lohnabzug; Buch- und Betriebsführung; DStZ; Deutsche Steuerzeitung und Wirtschaftlicher Beobachter ( Hauptsacht. 23.1934,Apr. - 34.1945 )"
Kirche & Recht,"09478094,09478094",Kirche und Recht; KuR
Kleiner Verwaltungsbericht der Stadt Mülheim an der Ruhr,01738887,
Dienststellen- und Telefonverzeichnis / Stadt Wien,00047805,Dienststellen- und Telephonverzeichnis ( Hauptsacht. anfangs ); Dienststellen- und Telefonverzeichnis der Stadt Wien ( Hauptsacht. teils )
Strasburger Anzeiger,09411674,
"Amtsblatt der Europäischen Gemeinschaften, L: Rechtsvorschriften",03769453,Amtsblatt der Europäischen Gemeinschaften / L
Transportrecht,"0174559X,0174559X",TranspR ( Zusatz anfangs )
ÖGZ,10278931,Österreichische Gemeinde-Zeitung; Das Magazin des Österreichischen Städtebundes; offizielle Zeitschrift des Österreichischen Städtebundes; offizielle Zeitschrift des Österr. Städtebundes; ÖGZ - Österreichische Gemeinde-Zeitung; Österreichische Gemeinde-Zeitung ( Haupttitel früher )
Non-profit law yearbook,"26254107,26254107",Non profit law yearbook; Schriftenreihe des Instituts für Stiftungsrecht und das Recht der Non-Profit-Organisationen
Migralex,"00142492,1727057X",
Lebensversicherungsmedizin,00240044,Blätter für den versicherungsärztlichen Dienst
Zentralblatt für Jugendrecht,"01766449,01766449",ZfJ; Organ des Deutschen Instituts für Vormundschaftswesen ( Zusatz anfangs )
Neue Schriften des Deutschen Städtetages,"04189604,04189604",Die neuen Schriften des Deutschen Städtetages ( Hauptsacht. teils )
"Sächsisches Amtsblatt / hrsg. von der Sächsischen Staatskanzlei, Sonderdruck",09469966,Sächsisches Amtsblatt / Sonderdruck
Arbeits- und Sozialrecht,00037664,
Beiträge zur gerichtlichen Medizin,00675016,
"Entscheidungen des Schweizerischen Bundesgerichts, 3: Privatrecht = Droit privé = Diritto privato","01723391,16626958,22358498",Entscheidungen des Schweizerischen Bundesgerichts / 3; Entscheidungen des Schweizerischen Bundesgerichtes ( Hauptsacht. anfangs ); Betreibungs- und Konkursrecht ( Sachl. Benennung bis 117.1992 ); Schuldbetreibungs- und Konkursrecht ( Sachl. Benennung 118.1992 - 120.1994 ); Zivilrecht- und Schuldbetreibungs- und Konkursrecht ( Sachl. Benennung 121.1995 - 137.2011 )
Kritische Jahrbücher für deutsche Rechtswissenschaft,"18661432,18661432",Neue kritische Jahrbücher für deutsche Rechtswissenschaft ( Nebent. 6.1842 - 12.1848 = Bd. 11-24 ); gezählt als 1.1842 - 7.1848 = Bd. 1-14 ( Nebent. 6.1842 - 12.1848 = Bd. 11-24 )
Haufe-Personal-Office Standard,"21903212,21903212",Haufe Personal Office; Haufe Personal Office Standard; Haufe PersonalOffice Standard; Personal-Office Standard; HPO standard
Wege zur Sozialversicherung,"00432059,00432059",WZS; WzS-Archiv
Betriebliche Altersversorgung,00059951,Mitteilungsblatt d. Arbeitsgemeinschaft für Betriebliche Altersversorgung (ABA) ( Zusatz bis 54.1999 )
Gesetzblatt der Deutschen Demokratischen Republik,02325993,Gesetzblatt der DDR
Punkt,"14343991,14343991","das Magazin aus Berlin für den EU-Arbeitsmarkt und die Förderung durch den Europäischen Sozialfonds ( Zusatz bis 16.2007,80 )"
Das Parlament,"00312258,00312258",Das Parlament / Debattendokumentation; Das  Parlament / Leicht erklärt!; die Woche im Bundestag ( Zusatz anfangs )
Verfassungsschutzbericht,01770357,"linksextremist. Bestrebungen, rechtsextremist. Bestrebungen, sicherheitsgefährdende u. extremist. Bestrebungen von Ausländern, Spionageabwehr ( Zusatz anfangs )"
Karlsruher juristische Bibliographie,"04533283,04533283",KJB
Heidelberger Kommentar zum Betreuungs- und Unterbringungsrecht,"09457488,09457488",Betreuungs- und Unterbringungsrecht; HK-BUR
Schwerpunkte des Kartellrechts,"01740210,01740210",
Sport in Baden,"1430919X,1430919X",Badischer Fussballverband e.V.; Monatsmagazin des Badischen Sportbundes Nord und des Badischen Fußballvereins; amtliche Mitteilungen des Badischen Sportbundes ( Zusatz anfangs )
Zeitschrift für Bank- und Kapitalmarktrecht,16177223,Bank- und Kapitalmarktrecht; BKR
Mitteilungen der Österreichischen Bodenkundlichen Gesellschaft,0029893X,
Der Personalrat,"01759299,01759299","Der Personalrat <Frankfurt, Main>; PersR"
Schrifttum und Rechtsprechung des Wasserrechts,03410714,
Sozialrecht + Praxis,0939401X,Sozialrecht und Praxis; Fachzeitschrift des VdK Deutschland für Vertrauensleute der Behinderten und für Sozialpolitiker
Informationsdienst Öffentliches Dienstrecht,"16100468,16100468",IÖD
"Allgemeines Ministerialblatt der Bayerischen Staatsregierung, des Bayerischen Ministerpräsidenten, der Bayerischen Staatskanzlei, des Bayerischen Staatsministeriums des Innern, des Bayerischen Staatsministeriums für Wirtschaft, Infrastruktur, Verkehr und Technologie, des Bayerischen Staatsministeriums für Umwelt, Gesundheit und Verbraucherschutz, des Bayerischen Staatsministeriums für Landwirtschaft und Forsten, des Bayerischen Staatsministeriums für Arbeit und Sozialordnung, Familie und Frauen","09346465,09346465","Ministerialblatt der Bayerischen Staatsregierung, des Bayerischen Ministerpräsidenten, der Bayerischen Staatskanzlei, des Bayerischen Staatsministeriums des Innern, des Bayerischen Staatsministeriums für Wirtschaft, Infrastruktur, Verkehr  und Technologie des Bayerischen Staatsministeriums für Umwelt, Gesundheit und Verbraucherschutz des Bayerischen Staatsministeriums für Landwirtschaft und Forsten des Bayerischen Staatsministeriums für Landesentwicklung und Umweltfragen und des Bayerischen Staatsministers für Arbeit und Sozialordnung, Familie und Frauen; AllMBl; Allgemeines Ministerialblatt der Bayerischen Staatsregierung, des Bayerischen Ministerpräsidenten, der Bayerischen Staatskanzlei, des Bayerischen Staatsministeriums des Innern, des Bayerischen Staatsministeriums für Wirtschaft und Verkehr, des Bayerischen Staatsministeriums für Ernährung, Landwirtschaft und Forsten, des Bayerischen Staatsministeriums für Arbeit und Sozialordnung, des Bayerischen Staatsministeriums für Landesentwicklung und Umweltfragen und des Bayerischen Staatsministers für Bundes- und Europa-Angelegenheiten ( Hauptsacht. teils )"
Umweltschutzdelikte,01702815,Texte / Umweltschutzdelikte
Odenwälder Nachrichten,"09358692,09358692",Amtliche Bekanntmachungen der Stadt Ober-Ramstadt; Heimatblatt für Ober-Ramstadt und den vorderen Odenwald ( 1. Zusatz anfangs ); Amtsverkündigungsblatt der Stadtverwaltung Ober-Ramstadt ( 2. Zusatz anfangs )
"Statistische Berichte Baden-Württemberg, B. VI. 6: [Unterricht und Bildung, Rechtspflege, Wahlen]. Rechtspflege. Der Strafvollzug in Baden-Württemberg",14332442,
BioRecht,"18680763,18680763",Bio-Recht; Magazin für Bio- und allgemeines Lebensmittelrecht
Steuer + Studium,"18683126,01731599,18683126,01731599","Steuer und Studium / Karriereführer; Steuer und Studium / NWB-Karriereführer; Steuer & Studium ( Hauptsacht. 11.1990,4 - 27.2006,9 ); Steuer und Studium ( Hauptsacht. 27.2006,10 - 30.2009,3 ); SteuerStud ( Nebent. bis 11.1990 ); Steuer und Studium ( Nebent. 11.1990,4-12 ); NWB Steuer und Studium ( Nebent. ab 2009,4 ); Zeitschrift für die erfolgreiche Aus- und Fortbildung im Steuerrecht ( Zusatz bis 30.2009,3 )"
Amtliches Kreisblatt für den Kreis Herzogtum Lauenburg,00032131,Amtliches Kreisblatt für den Kreis Herzogthum Lauenburg ( Hauptsacht. anfangs )
Bayerisches Justizministerialblatt / Bayerisches Staatsministerium der Justiz,"00057142,00057142",
Düsseldorfer Amtsblatt,00127019,"Offizielles Amtsblatt der Landeshauptstadt Düsseldorf; die Wochenzeitung aus dem Rathaus ( Zusatz bis 58.2003,38 )"
Hochfürstlich-Fürstenbergischer Staats- und Addresse-Kalender,2702329X,
Bayerisches Gesetz- und Verordnungsblatt,"00057134,00057134",Gesetz- und Verordnungsblatt für den Freistaat Bayern ( Auf d. Jg.-Titelblatt bis 1937 )
Der Haus- und Grundeigentümer,"03438767,03438767",
Verhandlungen des Europäischen Parlaments,03785009,Amtsblatt der Europäischen Gemeinschaften / Anhang
"Zeitschrift der Savigny-Stiftung für Rechtsgeschichte, Romanistische Abteilung",23044934,Zeitschrift der Savigny-Stiftung für Rechtsgeschichte / Romanistische Abteilung
Amtsblatt für den Stadt- und Landkreis Pforzheim,01749633,"Amtliche Nachrichten des Oberbürgermeisters der Stadt Pforzheim ( Hauptsacht. [1.]1945,1(29.9.) ); Amtliches Mitteilungsblatt des Oberbürgermeisters der Stadt Pforzheim und des Landrats des Landkreises Pforzheim ( [1.]1945,2(6.10.) - 2.1946,18(11.5.) ); Amtliches Mitteilungsblatt des Stadt- und Landkreises Pforzheim ( 2.1946,19(18.5.)-26(6.7.) )"
Themis,"18661548,18661548",
"Mittheilungen aus den Materialien der Gesetzgebung und Rechtspflege des Großherzogthums Hessen, in einzelnen Ausarbeitungen und mit besonderer Beachtung merkwürdiger Rechtsfälle","23668261,23668261",Mittheilungen aus den Materialien der Gesetzgebung und Rechtspflege des Großherzogthums Hessen
"Dr. J. A. Seuffert's Blätter für Rechtsanwendung, Ergänzungsband","18674429,18674429",J. A. Seuffert's Blätter für Rechtsanwendung; Seuffert's Blätter für Rechtsanwendung; Blätter für Rechtsanwendung
"Bundesanzeiger / Bundesrepublik Deutschland Wirtschaftsgebiet, Zentralhandelsregister-Beilage zum Bundesanzeiger",03447731,"Zentralhandelsregister-Beilage zum Bundesanzeiger; Bundesanzeiger / Zentralhandelsregister; Bundesanzeiger / Handelsregister; Bundesanzeiger und öffentlicher Anzeiger für das Vereinigte Wirtschaftsgebiet ( Hauptsacht. bis 2.1950,167(31.Aug.) ); Zentralhandelsregister ( Sachl. Benennung bis 2.1950 ); Handelsregister ( Sachl. Benennung d. Mikrofiche-Ausg. )"
"Jahrbuch für Gesetzgebung, Verwaltung und Volkswirtschaft im Deutschen Reich",16196260,"Jahrbuch für Gesetzgebung, Verwaltung und Volkswirthschaft im Deutschen Reich ( Hauptsacht. bis 12.1888 )"
"Statistische Berichte Baden-Württemberg, B. IV. 3: Unterricht und Bildung. Kirchliche Erwachsenenbildung in Baden-Württemberg",14332442,
Niederwerrner Rundschau,"18658245,18658245",Die Gemeindezeitung
Viertel-Jahresbericht der Stadt Göttingen,26999099,
Hochfürstlich-Hildesheimsche Landes-Verordnungen,2702184X,Hochfürstlich-Hildesheimische Landes-Verordnungen ( Hauptsacht. anfangs )
Veröffentlichungen aus dem Institut für Internationale Angelegenheiten der Universität Hamburg,"03413233,03413233",
Bereinigte Sammlung der bayerischen Justizverwaltungsvorschriften,04050479,Fortführungsnachweis zur Bereinigten Sammlung der bayerischen Justizverwaltungsschriften; Fortführungsnachweis zur Bereinigten Sammlung der bayerischen Justizverwaltungsschriften (BayBSVJu) ( Vorlageform d. Hauptsacht. ab 1957/58 )
Visuell,"07204841,07204841","Magazine of the picture industry; Magazin der Bildbranche ( Zusatz bis 2009,4 ); magazine of the picture industry ( Zusatz früher )"
Juristisches Wochenblatt,27026523,
"Bundesgesetzblatt, Teil 1. A: Fundstellennachweis. Bundesrecht ohne völkerrechtliche Vereinbarungen","1430709X,1430709X",Bundesrecht ohne völkerrechtliche Vereinbarungen
Journal für Strafrecht,23121920,JSt
Bernsdorfer Spatz,1612863X,
Steuern und Bilanzen,"16158024,16158024",STuB
Verhandlungen des Europäischen Parlaments,03785009,Amtsblatt der Europäischen Gemeinschaften / Anhang
Recht & Psychiatrie,"29424887,29424887",R & P; Recht und Psychiatrie
Entscheidungen des Bundesgerichtshofes in Strafsachen,04337131,BGHSt
Corporate-Compliance-Zeitschrift,"18653952,18653952",CCZ; Corporate Compliance Zeitschrift
Zeitschrift für die gesamte Versicherungswissenschaft,"00442585,00442585",
Entscheidungen des Bundessozialgerichts,"03408809,03408809",BSGE
Gemeinde und Stadt,09369511,"Fünfundsiebzig Jahre; 75 Jahre ( Haupttitel 75. Jahrgang, 11 (2022) )"
Statistische Mitteilungen der Stadt Wien,10280677,Statistische Mitteilungen ( Hauptsacht. 1986 - 1998 )
GmbH-Steuerpraxis,"09322345,09322345","Für Sie privat; Fach-Literatur; Aktuelle Fachliteratur; VSRW-Brief für Manager und ihre Berater; Gestaltungsempfehlungen für die GmbH-Praxis; Informationen für die Geschäftsführer, Gesellschafter und Berater der GmbH (& Co) ( Zusatz anfangs )"
Sammlung der hochfürstlich-würzburgischen Landesverordnungen,"27495671,27495671","Sammlung der hochfürstlich-wirzburgischen Landesverordnungen : welche in geist- u. weltlichen, Justiz-, Landgerichts-, criminal-, Polizey-, cameral-, Jagd-, Forst- und anderen Sachen ... verkündet worden sind ( Hauptsacht. anfangs )"
"OLG-Report Bremen, Hamburg, Schleswig",09492526,Report
Ephemerides theologicae Lovanienses,00139513,ETL; commentarii de re theologica et canonica; tijdschrift uitgegeven met steun van de Universitaire Stichting en van de Regering
"Blatt für Patent-, Muster- und Zeichenwesen",09302980,"Blatt für PMZ; BlPMZ; Blatt für Patent-, Muster- und Zeichenwesen mit Urheberrechtsteil ( Hauptsacht. 54.1902,4 - 70.1968 )"
"Schmollers Jahrbuch für Gesetzgebung, Verwaltung und Volkswirtschaft","00366234,16196244","Jahrbuch für Gesetzgebung, Verwaltung und Volkswirtschaft; Jahrbuch für Gesetzgebung, Verwaltung und Volkswirtschaft im Deutschen Reiche. 1913-1944; Schmollers Jahrbuch für Gesetzgebung, Verwaltung und Volkswirtschaft im Deutschen Reiche ( Hauptsacht. 37.1913 - 68.1944 )"
Verfassungsschutzbericht ...,18609872,
Amtsbote,"1865830X,1865830X","Amtsbote der Großgemeinde Röthlein ( Hauptsacht. bis 41.2011,47 ); Amtsbote der Großgemeinde Röthlein mit den Gemeindeteilen Heidenfeld + Röthlein + Hirschfeld ( Haupttitel 2011, Nr. 48-2021, Nr. 16 ); Mit den Gemeinden Heidenfeld, Hirschfeld und Röthlein ( Zusatz bis 41.2011,47 ); Amtliches Nachrichtenblatt ( Zusatz bis 41.2011,47 ); Amtsbote der Großgemeinde Röthlein ( Nebent. ab 42.2012 )"
"Polizeispiegel, [Ausg. Hamburg]","07232233,07226438,07232233,07226438","Polizeispiegel / Ausgabe Hamburg; Polizeispiegel / Ausgabe Hamburg und Schleswig-Holstein; Polizeispiegel / Ausgabe West, Hamburg; Kurier für die Polizei des Landes Hamburg; Fachorgan d. Polizeigewerkschaft im Deutschen Beamtenbund; Ausgabe West, Hamburg ( Sachl. Benennung 1.1965 teils ); Ausg. Hamburg u. Schleswig-Holstein ( Sachl. Benennung 10.1974,7 - 15.1979,10 )"
Deutsche Verwaltungspraxis,"09451196,03439496,09451196,03439496",DVP; Bundesrecht ( Zusatz 32.1981 - 42.1991 )
Informationen zum Arbeitslosenrecht und Sozialhilferecht,"18620469,01798863",Info also
Schriftenreihe des Stadtarchivs Kirchheim unter Teck,09322671,Schriftenreihe des Stadtarchivs ( Nebent. ab 2.1984 )
"Neueste juristische Bibliothek, vornehmlich des deutschen Staats- und Kirchenrechts","23653493,23653493",
Privatliquidation aktuell,"09458700,09458700","PA; Sonderausgabe; Abrechnungswissen, Kostenerstattung, Forderungsmanagement, Zuzahlerleistungen; Zahnärzte-Brief beraten und verkaufen ( Hauptsacht. 1994,1-4 )"
Kommunalbrevier Rheinland-Pfalz,01726951,
"Polizeispiegel, [Ausg. Nordrhein-Westfalen]",07231822,Kurier für d. Polizei des Landes Nordrhein-Westfalen; Fachorgan der Polizeigewerkschaft im Deutschen Beamtenbund
Sicherheits-Berater,"03448746,03448746",Sonderschau Das sichere Rechenzentrum / Sonderheft
Rheinland-Pfalz-Jahrbuch,"16163192,16163192",Rheinland-Pfalz Jahrbuch
