name,abbr,year_start,year_end
Amtsblatt / Hrsg.: Landratsamt des Landkreises Leipzig,,1991,1994.0
"Staatshandbuch, Nordrhein-Westfalen : Handbuch der Landes- und Kommunalverwaltung mit Aufgabenbeschreibungen und Adressen",,2006,
"Staatshandbuch, Nordrhein-Westfalen : Handbuch der Landes- und Kommunalverwaltung mit Aufgabenbeschreibungen und Adressen",,2024,
Vollstreckung effektiv,VE,2000,
Raumordnungsbericht Niedersachsen,,1967,1993.0
Infodienst / Servicebüro für Täter-Opfer-Ausgleich und Konfliktschlichtung,,2004,2013.0
"Bekanntmachung des Deutschen Rechnunglegungs-Standards Nr. 19 (DRS 19), Pflicht zur Konzernrechnungslegung und Abgrenzung des Konsolidierungskreises des Deutschen Rechnungslegungs-Standards Committees e.V., Berlin, nach § 342 Absatz 2 des Handelsgesetzbuchs",,2011,
"Statistische Berichte / Statistisches Landesamt des Freistaates Sachsen, B. VI. 6: Bildung, Kultur, Rechtspflege. Strafvollzug im Freistaat Sachsen",,1997,2009.0
"Entscheidungen des Schweizerischen Bundesgerichts, 4: Strafrecht und Strafvollzug = Droit pénal, exécution des peines = Diritto penale, esecuzione delle pene",,1915,
"Entscheidungen des Schweizerischen Bundesgerichts, 4: Strafrecht und Strafvollzug = Droit pénal, exécution des peines = Diritto penale, esecuzione delle pene",,2024,
"Juris-PraxisReport, Arbeitsrecht",,2003,
"Schriftenreihe des Max-Planck-Instituts für Ausländisches und Internationales Strafrecht, S: Strafrechtliche Forschungsberichte",,2004,2021.0
"Schriftenreihe des Max-Planck-Instituts für Ausländisches und Internationales Strafrecht, S: Strafrechtliche Forschungsberichte",,2024,
Johann Jacob Mosers vermischte Berichte von Religions-Sachen,,1752,1754.0
Johann Jacob Mosers vermischte Berichte von Religions-Sachen,,2024,
GreifRecht,,2006,
Rauschgiftkriminalität in Baden-Württemberg,,1984,2007.0
Pravni zapisi,,2010,
Krankheitsarten-Statistik,,1977,2003.0
Das Gartenamt,,1952,1995.0
Das Gartenamt,,2024,
Standpunkte,,2001,2016.0
Wege zur Sozialversicherung,WZS,2007,
Teutsche Staatskanzlei,,1783,1803.0
Teutsche Staatskanzlei,,2024,
Baurechts-Report,,1978,
Entscheidungssammlung des Hessischen Verwaltungsgerichtshofs und des Verwaltungsgerichtshofs Baden-Württemberg mit Entscheidungen des Staatsgerichtshofes des Landes Hessen und des Verfassungsgerichtshofs für das Land Baden-Württemberg,ESVGH,1952,
Entscheidungssammlung des Hessischen Verwaltungsgerichtshofs und des Verwaltungsgerichtshofs Baden-Württemberg mit Entscheidungen des Staatsgerichtshofes des Landes Hessen und des Verfassungsgerichtshofs für das Land Baden-Württemberg,ESVGH,1952,1961.0
"Kriminologisches Journal, Beiheft",,1986,
"Kriminologisches Journal, Beiheft",,1986,2007.0
ADS-Jahrbuch,Jahrbuch,1988,1992.0
"Corporate finance, Law : Kapitalmarkt, Finanzierung, Mergers & Acquisitions",,2010,2013.0
Zeitschrift für das gesamte Schuldrecht,ZGS,2002,2008.0
"Jahresbericht ... / BAST, Bundesanstalt für Straßenwesen",,2003,
"Jahresbericht ... / BAST, Bundesanstalt für Straßenwesen",,2002,
Veröffentlichungen des Bundesaufsichtsamtes für das Versicherungswesen,,1990,2002.0
Veröffentlichungen des Bundesaufsichtsamtes für das Versicherungswesen,,2000,
Datenschutz-Praxis,,2005,
"Geschäftsordnung des Rates / Rat der Europäischen Union, Generalsekretariat",,1997,2007.0
"Recht, Automobil, Wirtschaft",RAW,2013,
"Recht, Automobil, Wirtschaft",RAW,2024,
Die Sozialgerichtsbarkeit,SGb,2006,
Immobilien- und Mietrecht,IMR,2010,
Behörden-Spiegel,,1988,
Behörden-Spiegel,,2024,
Schriften zum Klimaschutzrecht,,2022,
Beraterbrief Kanzleimanagement,BBKM,2005,2008.0
Recht in Japan,,1975,2006.0
Recht in Japan,,2024,
Die Kriminalprävention,,1999,2007.0
Die Kriminalprävention,,2024,
Nachrichtenblatt des Kultusministers des Landes Schleswig-Holstein,,1961,1988.0
Internationale Bibliographie der Rückversicherung,IBR,1962,1996.0
Entscheidungen des Bundesfinanzhofs,BFHE,1991,
JuS-Basis,,1999,2003.0
NWB-Dokumentation Steuerrecht,,1970,2002.0
Schriftenreihe Nachhaltigkeit und Recht der Universität Innsbruck,,2023,
Forschungsbericht / Deutsche Hochschule für Verwaltungswissenschaften Speyer u. Forschungsinstitut für Öffentliche Verwaltung bei der Deutschen Hochschule für Verwaltungswissenschaften,,1997,2002.0
Steuerberater- und Wirtschaftsprüfer-Jahrbuch,,1997,
Der Gesellschafter,GesRZ,1972,
Der Gesellschafter,GesRZ,2024,
Der Gesellschafter,GesRZ,2024,
"KommunalPraxis, Spezial",,2001,
"KommunalPraxis, Spezial",,2001,2006.0
"KommunalPraxis, Spezial",,2007,2007.0
Deutsches Verwaltungsblatt,DVBL,1995,
Deutsches Verwaltungsblatt,DVBL,2024,
Jahresbericht über die Gleichbehandlung und Antidiskriminierung,,2003,2003.0
Zeitschrift für deutschen Zivilprozess,,1879,1941.0
Beilage zu den Amtsblättern,,1952,1955.0
Bericht zum Redaktionsdatenschutz ...,,2004,2004.0
Rechtspsychologie,RPsych,2015,
KWI-Arbeitshefte,,2002,2019.0
"Jahresfachkatalog ... Recht, Wirtschaft, Steuern",,1952,1955.0
Iherings Jahrbücher für die Dogmatik des bürgerlichen Rechts,,1893,1943.0
Bibliotheksrecht,,2002,2014.0
Amtsblatt der Deutschen Bundesbahn,,1966,1993.0
Film und Recht,,1957,1984.0
Film und Recht,,2024,
"Tagungsberichte der Sachverständigenkommission zur Bekämpfung der Wirtschaftskriminalität, Reform des Wirtschaftsstrafrechts",,1972,1979.0
Schumann-Studien,,1988,
Schumann-Studien,,2024,
Schumann-Studien,,2024,
Schumann-Studien,,2024,
"Amtsblatt der Europäischen Union, C: Mitteilungen und Bekanntmachungen",,2003,2020.0
Amtsblatt des Thüringer Kultusministeriums,,2004,2009.0
"Statistische Berichte / Statistisches Landesamt des Freistaates Sachsen, C. III. 8: Land- und Forstwirtschaft, Fischerei. Rinderbestände und Rinderhaltungen im Freistaat Sachsen",,2009,2009.0
"Schriftenreihe der Bundesanstalt für Arbeitsschutz, Regelwerke : Rw",,1986,1996.0
Jahrbuch für afrikanisches Recht,,1981,1997.0
Jahrbuch für afrikanisches Recht,,2024,
Krankheitsarten- und Arbeitsunfallstatistik,,1979,1993.0
Die Mitarbeitervertretung,ZMV,1991,
Die Mitarbeitervertretung,ZMV,2024,
Die Mitarbeitervertretung,ZMV,2024,
"Sozialversicherung, Arbeitsschutz",,1965,1980.0
GEMA-Nachrichten,,1927,2007.0
GEMA-Nachrichten,,2024,
GEMA-Nachrichten,,2024,
"Blätter für Steuerrecht, Sozialversicherung und Arbeitsrecht",,1946,1985.0
"Blätter für Steuerrecht, Sozialversicherung und Arbeitsrecht",,2024,
"Tätigkeitsbericht / BAST, Bundesanstalt für Straßenwesen",,1966,1998.0
"Tätigkeitsbericht / BAST, Bundesanstalt für Straßenwesen",,1963,1980.0
"Tätigkeitsbericht / BAST, Bundesanstalt für Straßenwesen",,2024,
Datenverarbeitung im Recht,DVR,1972,1985.0
Datenverarbeitung im Recht,DVR,2024,
"Die Kommunalverwaltung, Thüringen",,1993,
Die Beiträge zur Sozial- und Arbeitslosenversicherung,,1957,
Die Beiträge zur Sozial- und Arbeitslosenversicherung,,2024,
Kriminalistik und forensische Wissenschaften,,1970,1996.0
Kriminalistik und forensische Wissenschaften,,1970,1990.0
Planungsbüro professionell,PBP,2013,
Planungsbüro professionell,PBP,2024,
Planungsbüro professionell,PBP,2024,
"Bundesgesetzblatt, Teil 2. B: Fundstellennachweis. Völkerrechtliche Vereinbarungen, Verträge zur Vorbereitung und Herstellung der Einheit Deutschlands",,2006,
Einnahmen-Überschussrechnung ...,,2007,
"Die Bundesrepublik, Teilausgabe Land Baden-Württemberg",,1961,1965.0
International bulletin for research on law in Eastern Europe,Bulletin,1972,1980.0
Die Stiftung,,2007,
Die Stiftung,,2024,
Die Polizei des Saarlandes,,1959,1977.0
Rheinisches Archiv für Zivil- und Strafrecht,,1907,1915.0
Rheinisches Archiv für Zivil- und Strafrecht,,2024,
Rheinisches Archiv für Zivil- und Strafrecht,,2024,
"Statistische Berichte / Hessisches Statistisches Landesamt, B. VI. 4: Unterricht und Bildung, Rechtspflege, Wahlen. Rechtspflege. Die Tätigkeit der Arbeitsgerichte in Hessen",,1973,2012.0
"Bundesgesetzblatt, Teil 1. A: Fundstellennachweis. Bundesrecht ohne völkerrechtliche Vereinbarungen",,2006,
Deutsche Juristen-Zeitung,DJZ,1896,1936.0
Deutsche Juristen-Zeitung,DJZ,1933,1933.0
"Schutz der finanziellen Interessen der Gemeinschaft, Betrugsbekämpfung, Jahresbericht",,1995,2000.0
Arbeiten + lernen - Die Berufsbildung,,1984,1985.0
Archiv für Urheber- und Medienrecht,UFITA,1954,2016.0
Archiv für Urheber- und Medienrecht,UFITA,1968,1970.0
Archiv für Urheber- und Medienrecht,UFITA,1971,1978.0
Archiv für Urheber- und Medienrecht,UFITA,1954,1967.0
"Bibliographie / Hochschule für Recht und Verwaltung, Informationszentrum, Teil 2, Ausländisches Recht, internationales Wirtschaftsrecht, Rechtsvergleichung",,1990,1990.0
"Juristenzeitung, Gesetzgebungsdienst : JZ-GD ; monatliche Beilage der Juristenzeitung über d. Bundesgesetzgebung",JZ,1980,1993.0
Kriminalsoziologische Bibliografie,,1973,2003.0
Kriminalsoziologische Bibliografie,,1991,1991.0
Kriminalsoziologische Bibliografie,,1985,1985.0
Raumordnungsbericht der Bundesregierung,,1966,1990.0
Zeitschrift für Kindschaftsrecht und Jugendhilfe,ZKJ,2006,
Zeitschrift für Kindschaftsrecht und Jugendhilfe,ZKJ,2024,
Zeitschrift für Kindschaftsrecht und Jugendhilfe,ZKJ,2024,
Anwalt und Kanzlei,AK,2013,
Anwalt und Kanzlei,AK,2024,
Praxis internationale Steuerberatung,PIStB,1999,
Praxis internationale Steuerberatung,PIStB,2024,
Praxis internationale Steuerberatung,PIStB,2024,
Praxis internationale Steuerberatung,PIStB,2024,
Zeitschrift für Didaktik der Rechtswissenschaft,ZDRW,2013,
Zeitschrift für Immobilienrecht,ZfIR,2008,
Arztreport ...,,2017,2019.0
Arztreport ...,,2018,
Arztreport ...,,2017,
Fachschriftenreihe Gesetzliches Recht,,1968,
Sic!,,1997,
Sic!,,1997,
Die Rechtsanwalts- und Notarfachangestellten,RENO,2002,
Die Rechtsanwalts- und Notarfachangestellten,RENO,2024,
Die Rechtsanwalts- und Notarfachangestellten,RENO,2002,
Verfassung und Recht in Übersee,VRÜ,1968,
Verfassung und Recht in Übersee,VRÜ,2024,
Die Wettbewerbspolitik der Europäischen Union,,2002,
Zeitschrift des Deutschen Juristinnenbundes,djbZ,2008,
Der Gerichtssaal,,1849,1942.0
Der Gerichtssaal,,2024,
Der Gerichtssaal,,2024,
DOK,,1989,1998.0
Europa ethnica,,2011,
Datenschutz konkret,Dako,2014,
Recht der Jugend und des Bildungswesens,RdJB,2003,
Recht der Jugend und des Bildungswesens,RdJB,2024,
Rechtswissenschaft,RW,2010,
Die Leistungen der gesetzlichen Krankenversicherung,,1969,1995.0
Archiv für Polizeigeschichte,,1990,
Archiv für Polizeigeschichte,,2024,
Archiv für Polizeigeschichte,,2024,
Der Grundbesitz,,1979,2005.0
Der Grundbesitz,,2024,
Arbeit und Recht,AuR,1953,
Arbeit und Recht,AuR,2024,
Arbeit und Recht,AuR,2024,
Arbeit und Recht,AuR,2024,
Arbeitsrecht im Betrieb,,2000,
Rechtsgeschichte,Rg,2002,
Rechtsgeschichte,Rg,2024,
Rechtsgeschichte,Rg,2024,
Veranlagungshandbuch Umsatzsteuer,USt,2006,
"Statistische Berichte / Freie Hansestadt Bremen, Statistisches Landesamt Bremen, B. VI. 1. BVI6,BVI7: Strafverfolgung, Strafvollzug und Bewährungshilfe im Lande Bremen",,1998,2003.0
"Sozialgesetzbuch, 14: Soziale Entschädigung",,2023,
Kritische Vierteljahresschrift für Gesetzgebung und Rechtswissenschaft,KritV,1859,2011.0
Kritische Vierteljahresschrift für Gesetzgebung und Rechtswissenschaft,KritV,2024,
Kritische Vierteljahresschrift für Gesetzgebung und Rechtswissenschaft,KritV,2024,
Kritische Vierteljahresschrift für Gesetzgebung und Rechtswissenschaft,KritV,2024,
Kritische Vierteljahresschrift für Gesetzgebung und Rechtswissenschaft,KritV,2024,
Versicherungsmedizin,VersMed,1991,
Der Rentenzugang und der Rentenwegfall,,1965,1980.0
B + P,B und P,2004,
B + P,B und P,2024,
Hanover law review,,2018,
Bayerisches Justizministerialblatt,JMBl,2013,2018.0
Bayerisches Justizministerialblatt,JMBl,2024,
"Die Sozialgerichtsbarkeit, Ausgabe B: Sozialrecht für die neuen Bundesländer",,1991,1991.0
Jahrbuch Menschenrechte ...,JMR,1998,2013.0
Jahrbuch Menschenrechte ...,JMR,2008,2008.0
Kommunal-Kassen-Zeitschrift,KKZ,1998,
Forum Arbeits- und Sozialrecht,FAS,1989,2013.0
Forum Arbeits- und Sozialrecht,FAS,2024,
Forum Arbeits- und Sozialrecht,FAS,2002,2007.0
Forum Arbeits- und Sozialrecht,FAS,1989,1997.0
Afrika Recht,,1979,1979.0
Bereitschaftspolizei heute,,1973,1994.0
Bereitschaftspolizei heute,,2024,
Bereitschaftspolizei heute,,2024,
"Die Bundesrepublik, Teilausgabe Hessen",,1960,1963.0
Rechtsprechung der hessischen Verwaltungsgerichte,,1965,2002.0
Zeitschrift für Rechtssoziologie,ZfRSoz,1980,
Zeitschrift für Rechtssoziologie,ZfRSoz,2015,2015.0
BPJM aktuell,,2003,2022.0
Westfälischer Jägerbote,,1948,1979.0
Tätigkeitsbericht / Bundesgesundheitsamt,,1959,1990.0
Tätigkeitsbericht / Bundesgesundheitsamt,,1959,1982.0
Betrieb + Personal,B + P,1970,2003.0
RV aktuell,RVaktuell,2005,2020.0
RV aktuell,RVaktuell,2024,
"Die Bundesrepublik Deutschland, Landesausgabe Land Mecklenburg-Vorpommern",,1993,1993.0
Arbeitshefte / Kommunalwissenschaftliches Institut der Universität Potsdam,,2000,2002.0
"Statistische Berichte Baden-Württemberg, K. II. 1. 1: Öffentliche Sozialleistungen. [Gesetzliche Krankenversicherung in Baden-Württemberg]. Gesetzliche Kranken-, Pflege- und Rentenversicherung in Baden-Württemberg : im Jahr ..",,1992,2018.0
"Statistische Berichte Baden-Württemberg, K. II. 1. 1: Öffentliche Sozialleistungen. [Gesetzliche Krankenversicherung in Baden-Württemberg]. Gesetzliche Kranken-, Pflege- und Rentenversicherung in Baden-Württemberg : im Jahr ..",,1994,1996.0
"Statistische Berichte / Hessisches Statistisches Landesamt, B. VI. 5: Unterricht und Bildung, Rechtspflege, Wahlen. Rechtspflege. Die Tätigkeit der Sozialgerichte in Hessen",,1972,2012.0
Mandat im Blickpunkt,MBP,2009,
Mandat im Blickpunkt,MBP,2024,
Mandat im Blickpunkt,MBP,2024,
"Bekanntmachung des Deutschen Rechnungslegungs-Standards Nr. 17 (geändert ...), DRS 17 (geändert ...), Berichterstattung über die Vergütung der Organmitglieder des Deutschen Rechnungslegungs-Standards Committees e.V., Berlin, nach § 342 Absatz 2 des Handelsgesetzbuchs",,2011,
"Fachserie / Statistisches Bundesamt, Wiesbaden, 10. Reihe 3: Rechtspflege. Strafverfolgung",,1977,1990.0
"Fachserie / Statistisches Bundesamt, Wiesbaden, 10. Reihe 3: Rechtspflege. Strafverfolgung",,2024,
"Statistische Berichte Baden-Württemberg, B. VI. 7: Rechtspflege. Bewährungshilfe in Baden-Württemberg",,1992,2017.0
"Verwaltungsführung, Organisation, Personalwesen",,1978,1981.0
"Statistische Berichte / Hessisches Statistisches Landesamt, B. VI. 6. Teil 2: Der Strafvollzug in Hessen. Bestand und Bewegung in den Justizvollzugsanstalten in Hessen",,1989,2012.0
Ostdeutsches Journal für Recht und Würde,,1992,1993.0
Ostdeutsches Journal für Recht und Würde,,1992,
Grafenrheinfelder Rundschau,,1972,
Grafenrheinfelder Rundschau,,2024,
Jura,JURA,2009,
Europa-Blätter,,1992,2006.0
"Polizeiliche Kriminalstatistik, Bd. 1: Allgemeiner Teil",,1994,2004.0
Iurratio,Jurratio,2008,
Zeitschrift für Kriegsopferfürsorge und Schwerbeschädigtenrecht,,1962,1973.0
Reichsgesundheitsblatt,,1926,1945.0
Reichsgesundheitsblatt,,1926,1934.0
"Humane Produktion, humane Arbeitsplätze",Hp,1979,1990.0
"Die Fackel, Ausgabe Nordrhein-Westfalen",,1947,1977.0
Fundstellen- und Inhaltsnachweis Arbeits- und Sozialrecht,,1973,2001.0
Fundstellen- und Inhaltsnachweis Arbeits- und Sozialrecht,,2024,
Online,,1973,1997.0
Online,,2024,
Die Gemeinde-Unfallversicherung,GUV,1949,1972.0
Handbuch zu Fragen der Verwaltung und des Rechnungswesens,,1988,1991.0
Abhandlungen zum deutschen und internationalen Arbeits- und Sozialrecht,,2021,
ES news,News,1986,1990.0
Die hessische Polizei,,1951,1977.0
Die hessische Polizei,,2024,
Personalbuch,,1994,
"Die Bundesrepublik Deutschland, Landesausgabe Land Freie und Hansestadt Hamburg",,1981,1992.0
Zeitschrift für Strafvollzug,,1950,1974.0
Zeitschrift für Strafvollzug,,1950,
Zeitschrift für Strafvollzug,,2024,
"Deutsche Polizei, Ausgabe Berlin",,1951,1985.0
"Deutsche Polizei, Ausgabe Berlin",,1951,1985.0
"Deutsche Polizei, Ausgabe Berlin",,2024,
"Deutsche Polizei, Ausgabe Berlin",,2024,
Archiv für Presserecht,AfP,1953,1994.0
Archiv für Presserecht,AfP,2024,
Archiv für Presserecht,AfP,2024,
Friedenspolitischer Informationsdienst,Fid,1981,1988.0
Friedenspolitischer Informationsdienst,Fid,1984,1984.0
"Statistische Berichte Niedersachsen, A. III. 1. AIII2 - j: Wanderungen",,1980,1999.0
"Statistische Berichte Niedersachsen, A. III. 1. AIII2 - j: Wanderungen",,2024,
Entscheiderbrief,,2009,2015.0
Selbstverwaltung und Selbstverantwortung,,1951,1992.0
"OLG-Report Hamm, Düsseldorf, Köln",Report,1991,2009.0
"OLG-Report Hamm, Düsseldorf, Köln",Report,2008,2008.0
Der öffentliche Dienst an Rhein und Ruhr,,1972,1998.0
Der öffentliche Dienst an Rhein und Ruhr,,2024,
Jahresbericht / Industrie- und Handelskammer zu Aachen,,1972,2002.0
Vergabe-Fokus,VF,2015,
Vergabe-Fokus,VF,2024,
Working paper / Bundesamt für Migration und Flüchtlinge,,2007,2022.0
Working paper / Bundesamt für Migration und Flüchtlinge,,2024,
Working paper / Bundesamt für Migration und Flüchtlinge,,2024,
Working paper / Bundesamt für Migration und Flüchtlinge,,2012,
Working paper / Bundesamt für Migration und Flüchtlinge,,2010,
Working paper / Bundesamt für Migration und Flüchtlinge,,2024,
Die Verkehrsanwältin,,2008,
Vermögen & Steuern,,2001,2012.0
Mitteilungen der Kriminalbiologischen Gesellschaft,,1928,1966.0
Mitteilungen der Kriminalbiologischen Gesellschaft,,2024,
Deutsche Notar-Zeitschrift,DNotZ,1981,
VOB-aktuell,,1994,
"Zeitschrift für Urheber- und Medienrecht, Rechtsprechungsdienst",ZUM,1997,
ZDF-WISO-Magazin,,2001,2007.0
ZDF-WISO-Magazin,,2024,
ZDF-WISO-Magazin,,2001,2005.0
GoingPublic,,1997,
GoingPublic,,2024,
GoingPublic,,2024,
Jahrbuch für Ostrecht,JOR,2000,2012.0
Gleichstellung in der Praxis,GiP,2004,2008.0
"Zeitschrift für Lebensmittel-Untersuchung und -Forschung, B: Referate und Lebensmittelrecht",,1997,2003.0
"Geschäftsbericht / Bundesversicherungsanstalt für Angestellte, BfA, Kurzfassung",,1970,2005.0
Recht so!,,2003,
Recht so!,,2024,
Verfügungen und Mitteilungen des Ministeriums für Kultur,,1954,1990.0
Verfügungen und Mitteilungen des Ministeriums für Kultur,,2024,
"Informationen für Grenzgänger im Grenzraum Deutschland - Tschechien - Polen, Arbeitsrecht",,2016,
Österreichisches Recht der Wirtschaft,RdW,1983,
Institut Finanzen und Steuern,,1950,1989.0
Privacy in Germany,PinG,2013,
Jahrbuch / Landesgewerbeamt Baden-Württemberg,,1954,1958.0
Autokosten und Steuern,,1989,1998.0
SteuerConsultant,,2007,2014.0
SteuerConsultant,,2009,
Eco-Facts,,1990,
Internationales Handelsrecht,IHR,1999,
Internationales Handelsrecht,IHR,2024,
Statistik über NS-Prozesse,,1969,1984.0
Allgemeine preußische Zeitung,,1843,1848.0
Allgemeine preußische Zeitung,,2024,
Recht und Schaden,R + S,1985,
Arbeitsrecht klipp & klar,,2002,2005.0
"Europarecht, Beiheft",EuR,1990,
"Europarecht, Beiheft",EuR,2024,
"Forensische Psychiatrie, Psychologie, Kriminologie",,2007,
Europarecht,EuR,2000,
Europarecht,EuR,2024,
Die Sozialversicherung,,1946,2003.0
"Polizeispiegel, Berlin",,1965,
"Polizeispiegel, Berlin",,2024,
"Polizeispiegel, Berlin",,2024,
Geschäftsbericht,,1969,2003.0
Geschäftsbericht,,2024,
"Finanztest, Spezial",,1992,
Beiträge zur Personal- und Organisationsökonomik,,1998,
IFSt-Schrift,,1995,2013.0
IFSt-Schrift,,2024,
Studien zum ausländischen und internationalen Privatrecht,StudIPR,1980,
Studien zum ausländischen und internationalen Privatrecht,StudIPR,2024,
Der Personalrat,,1980,1995.0
"Ai-Journal, A",Journal,1995,1998.0
Juristenzeitung,JZ,1951,
Juristenzeitung,JZ,2024,
"Krankheitsarten-, Krankheitsursachen- und Sterblichkeits-Statistik der Ortskrankenkassen, Teil 4, Familienangehörige",,1964,1970.0
Archiv für Jugendrecht,,1952,1958.0
Deutsches und europäisches Familienrecht,DEuFamR,1999,1999.0
GPR,,2003,
GPR,,2003,
GPR,,2003,
GPR,,2024,
Jahresbericht ... / Deutsches Forschungsinstitut für Öffentliche Verwaltung,,2005,2020.0
"Deutsche Polizei, Ausgabe Niedersachsen",,1952,1985.0
"Deutsche Polizei, Ausgabe Niedersachsen",,2024,
"Deutsche Polizei, Ausgabe Niedersachsen",,2024,
"Deutsche Polizei, Ausgabe Niedersachsen",,2024,
Journal of consumer protection and food safety,JVL,2006,
Journal of consumer protection and food safety,JVL,2024,
Journal of consumer protection and food safety,JVL,2010,
Statistischer Monatsbericht / Stadt Bochum ; Amt für Statistik und Stadtforschung,,1972,1974.0
Asyl-Info,,1999,2013.0
Asyl-Info,,2012,2012.0
Archiv für gemeines deutsches und für preußisches Strafrecht,,1871,1879.0
ZVgR,,1997,2001.0
"Statistische Berichte, B. VI. 1: Abgeurteilte und Verurteilte in Bayern ... : Ergebnisse der Strafverfolgungsstatistik",,2016,
"Statistische Berichte, B. VI. 1: Abgeurteilte und Verurteilte in Bayern ... : Ergebnisse der Strafverfolgungsstatistik",,2014,
JuS-Magazin,,2004,2009.0
Schriftenreihe der Akademie Speyer,,1949,1950.0
Zeitschrift für Arbeitsrecht im Unternehmen,ZAU,2022,
AfP,,1996,
AfP,,2024,
AfP,,2024,
Mitbestimmungsreport,Report,2017,
"Statistische Berichte des Bayerischen Landesamts für Statistik und Datenverarbeitung, B. VI. 4: Tätigkeit der Gerichte für Arbeitssachen in Bayern",,1982,1995.0
Außenwirtschaftsrecht,,1969,2001.0
Außenwirtschaftsrecht,,2024,
Außenwirtschaftsrecht,,1991,
Jahresbericht / Gerichtshof der Europäischen Gemeinschaften,CURIA,2006,2010.0
Bekanntmachung der Lohnsteuertabellen,,1964,1981.0
"Beck'sches Nachschlagewerk der Entscheidungen des Bundesfinanzhofs, BFH-N-Sammelausgabe: Entscheidungen des Bundesfinanzhofs in gesetzsystematischer Anordnung",BFH-N,1976,1976.0
Wirtschaftsstrafrecht und Haftung im Unternehmen,ZWH,2011,
"Statistische Berichte / Statistisches Landesamt des Freistaates Sachsen, Q. I. 9: Entsorgung von Klärschlamm aus öffentlichen Abwasserbehandlungsanlagen im Freistaat Sachsen",,2008,2009.0
Recht gegen rechts,,2020,
Recht gegen rechts,,2024,
"Krankheitsarten-, Krankheitsursachen- und Sterblichkeits-Statistik der Ortskrankenkassen, Teil 3, Freiwillige Mitglieder und Rentner",,1964,1970.0
Zeitschrift für Luftrecht,,1952,1959.0
Zeitschrift für Luftrecht,,2024,
Zeitschrift für Luftrecht,,2024,
Sammelblatt,,2002,2005.0
Sammelblatt,,2002,
Betriebsrat kompakt,,2005,
Betriebsrat kompakt,,2024,
Betriebsrat kompakt,,2024,
Betriebsrat kompakt,,2024,
Betriebsrat kompakt,,2024,
Stadt und Gemeinde,,1957,1977.0
Stadt und Gemeinde,,2024,
Erbrecht effektiv,EE,2003,
Erbrecht effektiv,EE,2024,
Erbrecht effektiv,EE,2014,
"Statistische Berichte / Statistisches Landesamt des Freistaates Sachsen, A. II. 2: Bevölkerung, Gebiet, Erwerbstätigkeit. Gerichtliche Ehelösungen im Freistaat Sachsen",,1999,2009.0
"Jahresbericht über Schrifttum und Rechtsprechung zum gewerblichen Rechtsschutz, Urheber-, Wettbewerbs- und Kartellrecht",,1934,1962.0
Archiv für Post und Telekommunikation,,1992,1998.0
Zeitschrift für öffentliches Recht,ZÖR,1996,
Zeitschrift für öffentliches Recht,ZÖR,2024,
"Haus & Grund, Das Magazin für Immobilieneigentümer in Rheinland-Pfalz / Hrsg.: Landesverband der Haus-, Wohnungs- und Grundeigentümer von Rheinland-Pfalz e. V",,2008,2016.0
"Haus & Grund, Das Magazin für Immobilieneigentümer in Rheinland-Pfalz / Hrsg.: Landesverband der Haus-, Wohnungs- und Grundeigentümer von Rheinland-Pfalz e. V",,2008,2016.0
Amnesty-Journal,,2008,
Amnesty-Journal,,2012,
Amnesty-Journal,,2024,
Amnesty-Journal,,2012,2012.0
GdS-Zeitung,,1979,1998.0
GdS-Zeitung,,1995,1995.0
Jahresbericht der Rheinisch-Westfälischen Gefängnis-Gesellschaft,,1858,1936.0
Jahresbericht der Rheinisch-Westfälischen Gefängnis-Gesellschaft,,2024,
"Statistische Berichte / Freie und Hansestadt Hamburg, Statistisches Landesamt, B. VI. 1: Unterricht und Bildung, Rechtspflege, Wahlen. Strafverfolgung : ..",,1972,2003.0
Zeitschrift für den Lastenausgleich,ZLA,1966,1993.0
Grundkurs Schulrecht,,2006,
Pfälzer Bauer,,1949,1999.0
Pfälzer Bauer,,2024,
"Gemeinsames Ministerialblatt des Auswärtigen Amtes, des Bundesministeriums des Innern, des Bundesministeriums der Finanzen, des Bundesministeriums für Wirtschaft und Energie, des Bundesministeriums für Arbeit und Soziales, des Bundesministeriums für Ernährung und Landwirtschaft, des Bundesministeriums der Verteidigung, des Bundesministeriums für Familie, Senioren, Frauen und Jugend, des Bundesministeriums für Gesundheit, des Bundesministeriums für Verkehr und Digitale Infrastruktur, des Bundesministeriums für Umwelt, Naturschutz, Bau und Reaktorsicherheit, des Bundesministeriums für Bildung und Forschung, des Bundesministeriums für Wirtschaftliche Zusammenarbeit und Entwicklung, der Beauftragten der Bundesregierung für Kultur und Medien",GMBl,2017,2018.0
Status: Recht,,2006,2009.0
Datenschutz- und Informationsfreiheitsbericht der Landesbeauftragten für Datenschutz und Informationsfreiheit Nordrhein-Westfalen,,2005,2019.0
Bau-Tarifverträge ...,,2017,
Die Arbeit,,1947,
Die Arbeit,,2024,
Der bayerische Beamte,,1958,1979.0
Neues von der Stiftung / Europäische Stiftung zur Verbesserung der Lebens- und Arbeitsbedingungen,,1991,1995.0
"Arbeiten + lernen, Technik",A + l,1991,1998.0
Bundesbaurecht,,1975,1987.0
Vergaberecht,,1996,1998.0
LaW aktuell,Aktuell,2002,2007.0
UFITA - Archiv für Medienrecht und Medienwissenschaft,,2018,
