name,abbr,year_start,year_end
SpoPrax,,2024,
ÖBl,,1990,
Gewerbesteuer-Veranlagung ...,,1957,1985.0
Wirtschaftsrecht,,1970,1993.0
Wirtschaftsrecht,,2024,
Wirtschaftsrecht,,2024,
"Handbuch des Hessischen Landtags, Abgeordnete, Gremien und Organisation, Geschäftsordnung des Hessischen Landtags",,2019,
Zeitschrift für Zivilprozeß international,ZZP Int,1996,
Entscheidungssammlung Landwirtschaftsrecht,ESLR,1993,1998.0
Entscheidungssammlung Landwirtschaftsrecht,ESLR,1993,1996.0
Symposion / Gesellschaft für Griechische und Hellenistische Rechtsgeschichte,,1975,2014.0
Symposion / Gesellschaft für Griechische und Hellenistische Rechtsgeschichte,,2024,
Symposion / Gesellschaft für Griechische und Hellenistische Rechtsgeschichte,,2024,
Deutsche Notar-CD,DNot-CD,1998,2009.0
"Polizeiliche Kriminalstatistik, Bd. 2: Deliktspezifischer Tabellenteil",,1994,2004.0
Betrieb und Wirtschaft,BuW,1991,2004.0
Betrieb und Wirtschaft,BuW,2024,
Betrieb und Wirtschaft,BuW,2024,
Entscheidungen der Instanzgerichte zum Recht des geistigen Eigentums,InstGE,2002,2012.0
Deutsche Rechtsbibliographie,,1984,1991.0
Kunstrecht und Urheberrecht,KUR,1999,2005.0
Kunstrecht und Urheberrecht,KUR,2024,
"Familie, Partnerschaft, Recht",FPR,1995,2013.0
"Familie, Partnerschaft, Recht",FPR,1995,2000.0
Zeitschrift für Immissionsschutzrecht und Emissionshandel,I + E,2011,2020.0
NStZ-Volltext-CD-ROM,,1995,1998.0
Magazin für die Philosophie des Rechts und der Gesetzgebung,,1798,1799.0
Magazin für die Philosophie des Rechts und der Gesetzgebung,,2024,
Die neue Polizei,dnp,1947,2009.0
Die neue Polizei,dnp,2024,
Die neue Polizei,dnp,2024,
Die neue Polizei,dnp,2024,
Die neue Polizei,dnp,2024,
Die neue Polizei,dnp,2024,
Sozialversicherungsbeitrag-Handausgabe,,1993,2005.0
OLG-Rechtsprechung neue Länder,OLG-NL,1994,2006.0
Entscheidungen des Staatsgerichtshofes der Freien Hansestadt Bremen,,1970,2015.0
Amtsblatt des Bayerischen Staatsministeriums für Arbeit und Soziale Fürsorge,,1947,1950.0
Jahrbuch des Agrarrechts,,1997,
Jahrbuch des Agrarrechts,,1997,2004.0
"Neue juristische Wochenschrift, NJW-Entscheidungsdienst : NJWE / hrsg. von der NJW-Redaktion. Versicherungs- und Haftungsrecht : NJWE-VHR ; neue Entscheidungen aus den Bereichen Versicherungsvertragsrecht, einzelne Versicherungssparten, Unfallfolgenrecht, Haftung der Beratungsberufe, Haftung der Heilberufe, sonstiges Haftungsrecht",NJWE,1996,1998.0
"Bekanntmachung der Verordnung über die Berufsausbildung zum Personaldienstleistungskaufmann, zur Personaldienstleistungskauffrau nebst Rahmenlehrplan",,2008,
Drepturile omului,,1991,
"Amtsblatt des Thüringer Ministeriums für Bildung, Jugend und Sport",,2014,
"Amtsblatt des Thüringer Ministeriums für Bildung, Jugend und Sport",,2024,
"Schlagwortregister zur Rechtsprechung und Literatur des gesamten Steuerrechts, [Mehrjahresausgabe]",,1955,2000.0
"Schlagwortregister zur Rechtsprechung und Literatur des gesamten Steuerrechts, [Mehrjahresausgabe]",,2024,
Die Praxis,,1912,
Die Praxis,,2024,
Die Praxis,,2007,2007.0
Taschenbuch für Kriminalisten,,1951,1994.0
Taschenbuch für Kriminalisten,,2024,
"Dokumentationsdienst Bildung und Kultur, Sonderheft. Schulrechtliche Entscheidungen : Zsstellung aus d. Heften ... d. Dokumentationsdienstes Bildung und Kultur",,1985,1989.0
Zeitschrift für Konfliktmanagement,ZKM,2000,
Zeitschrift für Konfliktmanagement,ZKM,2024,
Zeitschrift für Konfliktmanagement,ZKM,2016,2016.0
"Bibliographie / Hochschule für Recht und Verwaltung, Informationszentrum, Teil 1, Rechtswissenschaft",,1990,1990.0
Zeitschrift für Rechtspflege in Bayern,,1905,1934.0
Zeitschrift für Rechtspflege in Bayern,,2024,
"Amtsblatt der Europäischen Union, Reihen L, C: Rechtsvorschriften, Mitteilungen und Bekanntmachungen. Sammlung",,2003,2013.0
"Aufsatzdokumentation zur Privatrechtsvergleichung, Privatrechtsvereinheitlichung und zum internationalen Privatrecht",,1975,1980.0
"Aufsatzdokumentation zur Privatrechtsvergleichung, Privatrechtsvereinheitlichung und zum internationalen Privatrecht",,2024,
Jahrbuch des Umwelt- und Technikrechts,,1987,
Jahrbuch des Umwelt- und Technikrechts,,1992,1996.0
Jahrbuch des Umwelt- und Technikrechts,,2024,
Jahrbuch des Umwelt- und Technikrechts,,1987,
"Wohnungseigentum, Mietrecht",WE,2005,2011.0
"Wohnungseigentum, Mietrecht",WE,2024,
Wirtschaftsrechtliche Blätter,WBL,2007,
Wirtschaftsrechtliche Blätter,WBL,2024,
Motionen und Postulate der gesetzgebenden Räte im Jahre ...,,1973,2003.0
Motionen und Postulate der gesetzgebenden Räte im Jahre ...,,2024,
Vergaberecht,Vergabe,2003,
Vergaberecht,Vergabe,2003,
Vergaberecht,Vergabe,2024,
Beck-Steuer-Direkt-DVD,Beck-StD,2005,2012.0
Sozialhilfe- und Asylbewerberleistungsrecht,SAR,2002,
Sozialhilfe- und Asylbewerberleistungsrecht,SAR,2024,
Sozialhilfe- und Asylbewerberleistungsrecht,SAR,2009,2009.0
Finanzplanung / Landschaftsverband Rheinland,,1973,1973.0
"Gesetzblatt der Deutschen Demokratischen Republik, Teil 1",,1955,1990.0
"Gesetzblatt der Deutschen Demokratischen Republik, Teil 1",,1955,1962.0
"Gesetzblatt der Deutschen Demokratischen Republik, Teil 1",,2024,
Landeshaushaltsrechnung von Baden-Württemberg,,1952,2002.0
"Deutsche Notar-Zeitschrift, Bayerische Beilage zur deutschen Notar-Zeitschrift / Hrsg.: Bayer. Notarverein im BNSDJ e.V",,1934,1937.0
Monitoring eGovernment,,2002,2004.0
"Statistische Berichte / Bayerisches Landesamt für Statistik und Datenverarbeitung, L. II. 2. LII7: Gemeindefinanzen und Realsteuervergleich in Bayern ... : Ergebnisse der vierteljährlichen Kassenstatistik",,1985,2014.0
"Marken-Lexikon, Wortmarkenlexikon",,1999,2005.0
"Nachrichtenblatt des Ministeriums für Bildung, Wissenschaft, Forschung und Kultur des Landes Schleswig-Holstein, Schule",,2003,2005.0
Sicherheits-Forum,SF,1994,2022.0
Sicherheits-Forum,SF,2016,2016.0
Sicherheits-Forum,SF,2024,
Sicherheits-Forum,SF,1994,
Handbuch des Bundesrates,,1991,
Handbuch des Bundesrates,,1995,2002.0
Handbuch des Bundesrates,,2003,2018.0
Handbuch des Bundesrates,,1994,1994.0
