issn,Gold,Wikipedia,Internet,ZDB,abbr
16183177,,,,1066,
23651342,,,,1606,
21993270,,,,219,
21929815,,,,1101,
25108212,,,,1442,
00283681,,,,1537,
21975442,,,,1017,
05139139,,,,226,
25097709,,,,1107,
09444610,,,223,,JRE
09386041,,,,841,
10261125,,,,107,
0340028X,,,,396,
2510232X,,,,1280,
23662050,,,511,,ZNotP
09375414,,,196,502,HuV-I
18687067,8,,236,246,JZ
21926530,,,,1448,
14507986,,,,1049,
18616593,,,104,772,DGVZ
09355847,,,573,,ZVI
03441970,,,,845,
01707256,,49,73,427,DSB
14230801,,,,36,
09367292,,,506,612,ZAP
14379856,,,,386,
14332442,,,,572,
00757152,,,,1199,
21929491,,,,1467,
09432442,,,389,,SächsVBl
0174559X,,,426,523,TranspR
03411109,,,,781,
18660495,,,,1597,
21982333,,,303,,NZFam
23651288,,,,1299,
16122828,,,,1601,
21991065,,,,895,
14342626,,,261,,LMuR
18654967,,,,1012,
07224966,,,,221,
21935971,,,,1221,
14222019,,,403,,Sic!
23654694,,,,153,
21944229,,,178,,GesR
0431509X,,,,661,
09371680,,,413,,StEd
03407497,,16,544,,ZMR
25684469,,,375,336,Rechtskultur
09372245,,,,116,
18647200,,,417,68,StRR
04402162,,,,353,
00065250,,,461,677,Blutalkohol
29423554,,,459,,WSI Mitt.
14358468,,,,1495,
29423562,36,,474,138,ZaöRV
09489908,,,97,626,"DS, Sachverständige"
00835676,,,,1630,
16152026,,,,1599,
03411044,,,,215,
25105116,,,40,,BerlAnwBl
23665300,,,,876,
09457488,,,,543,
16145666,,,,1108,
23654562,,,,496,
10110070,,,334,,ÖZS
07207395,,,,437,
14359014,,,,1321,
0720003X,,,455,1669,WiVerw
03413977,,73,71,,StAZ
00442550,,,604,,ZgS
2701035X,,,,1060,
25689444,,,,364,
25092324,,,247,,KStZ
25684396,,,,883,
1861700X,,,,73,
23665777,,,,1413,
16155335,,5,242,,JurPC
03425592,,146,446,755,VR
16132556,,,150,,ECFR
09437525,51,86,301,,NZA
18696295,,,167,855,Forderungs-Praktiker
01754467,,,591,63,Str
18668739,,,,1327,
23666765,,,386,,RohR
01757091,,,,804,
18693679,,107,245,,KSzW
16153995,,,435,384,VA
21967288,,,,1552,
21903387,,109,232,,JIPITEC
16624416,,,,1217,
00730092,,,,146,
16119002,,,,847,
14365510,,,15,,AP
26297132,,,423,,StudZR
00183059,,,194,712,HFR
21926557,,,,1449,
16157737,,,217,,JbSR
04079132,,,,358,
14249715,,,,1227,
10190406,,,397,1594,SZIER
18661548,,,,567,
01772805,,,,88,
08633657,,,,955,
18690440,,,,220,
09308571,,,,978,
07206283,,,,1496,
18640192,,,266,,LKRZ
0945781X,,,,234,
01702793,,,,1427,
16189884,,,,1252,
16127056,,,114,315,"DZWIR, DZWir"
09372180,,56,157,798,FuR
05120322,,,,1632,
10432248,,,,1320,
25097687,,,,872,
10278931,,,,524,
23651296,,,,1262,
14343339,,,546,724,ZNER
01706381,,,,495,
01721631,,100,293,,NuR
16172272,,,75,,"AOStB, AO-StB"
09316019,,,,1030,
21958955,,,139,,EFG
1613950X,,116,62,,CuR
18681816,,,175,,GWR
16126394,,,81,,Rpfleger
0173718X,,,,950,
03429407,,,,812,
01723391,,,,533,
05217563,,,,928,
21927472,,,,1166,
09400990,,,,51,
03000990,,,,150,
14371588,,,55,,Bundesgesundheitsbl
16178173,,,159,720,"FamRK, FamR kompakt, FK"
00064475,,,,196,
04351924,,,,1517,
03401545,,,,224,
27495671,,,,593,
16165446,,,,1041,
18646506,,,,118,
08608156,,,,163,
03426971,46,57,593,791,WM
23654570,,,,648,
01736949,,,,1500,
23664398,,,,1407,
00059951,,,42,537,BetrAV
07224834,,,,949,
09318437,,,,1104,
09386181,,,,1559,
23668229,,,,1508,
03440559,,,,1263,
23652721,,,,1340,
02590735,,,244,,KuR
2190345X,,,386,1434,RohR
23665904,,,,1415,
09402144,,,,734,
14226626,,,,1261,
16130235,,,248,,KommJur
09400516,,,,389,
09423516,,,,1417,
18622534,,,551,,ZParl
16151828,,,,324,
14209209,,,,1312,
25110411,,,,907,
1864371X,,54,,,
16118359,,,603,,ZGRE
09351248,,,,1319,
03725766,,,,1156,
16136470,,,,850,
22358498,,,,533,
01755420,,,,1613,
03429199,,,,1028,
09308369,,,430,335,VuR
25098365,,,,1175,
01706454,,,,248,
07233418,,,278,,Mieter-Magazin
18630731,,,,60,
16133986,,,,1019,
21928002,,,584,,ZWH
16196600,,,,1003,
23667117,,,534,,ZJapanR
27492826,,,,1310,
22206957,,,211,,Ip competence
00012343,,140,23,420,ARSP
21908192,,,517,,EurUP
03407489,,,37,85,BauR
1436395X,,,,1142,
07201702,,,,961,
14379171,,,,1337,
01740156,,,,94,
23652764,,,,997,
0936028X,,,,217,
04901630,,,590,,SoSi
01798863,,,200,602,info also
09410465,,,,1020,
21913331,,118,528,,I+E
16118545,,,,1209,
18629210,,,155,,EU-UStB
04357132,,,,310,
21908559,,,481,,BC
07235747,,,,298,
1866167X,,,,1348,
07218028,,,,1406,
14338629,,,275,,MedR
0170642X,,,,436,
16104072,,,82,,ErbStB
18660819,,,,1054,
07226934,,,52,430,BRAK-Mitt
1863141X,,,,1462,
09352538,,,373,,RBD
23642831,,,152,,EDPL
21943761,,,601,,ZfMER
00386006,,,590,,SoSi
09316000,,33,70,,JurBüro
27014215,,,548,,ZögU
10151516,,,35,,BankArch
1867660X,,,212,172,iurratio
21939519,,,525,247,GPR
03012999,,,448,,VSSR
01755390,,,,429,
25683071,,,132,,Ubg
16128095,,,,1596,
00075884,,,54,1625,BBB
05617758,,,,255,
18624790,,,507,487,ErbR
03449777,,,548,,ZögU
18660584,,,165,,FoVo
00169129,,,,344,
25114638,,,,1188,
21952329,,,505,,W+B
18661831,,,,1432,
2750722X,,,387,,VPP-Rundbrief
02506688,,,,42,
14209497,,,401,,SJKR
01791974,,,,1207,
03422496,,,438,,VRS
18617972,,,,1614,
18696902,,,213,,JJZG
04088603,,,,1618,
23668342,,,,839,
10245235,,,,1558,
14369990,,,55,,Bundesgesundheitsbl
21902267,,,,1185,
03234568,,,11,,AuA
18617174,,,,236,
16608399,,,57,480,CSR
21929572,,,,1324,
2365130X,,,,1339,
2366066X,,,156,,FAR
23671254,,,,833,
08637776,,,,665,
18646301,,,,1236,
03426734,,,436,462,VerkMitt
23651415,,,,1447,
18653952,,,63,587,CCZ
18612458,,,,367,
25122282,,,,904,
18687857,,,126,,PersV
0941861X,,,448,,VSSR
21960119,,,472,,ZAT
18616658,,,,510,
1866055X,,,,1673,
09313281,,,22,228,AfP
23671521,,,,1047,
16142179,,,,960,
01717510,,,,644,
18660924,,,,1223,
02325675,,,,237,
01706438,,,,886,
16127676,,,,1578,
14305720,,,292,687,NDV
18672523,,,524,,ZGE
21921792,,,,1155,
16109538,,,,1345,
14392127,,,539,30,ZKM
01726951,,,,606,
21929688,,,,1451,
16186265,,,,38,
23666447,,,,1359,
03413985,,,,671,
23653590,,,,1446,
16125363,,,,1506,
1866993X,,,101,,VerkA
10173021,,,,1647,
00283525,,108,312,792,NZWehrr
16158024,,,422,583,StuB
25100181,,,,158,
21904650,,,,664,
09389512,,,,903,
16626966,,,,180,
23653612,,,,1483,
18621821,,,314,,DAJV Newsletter
25108360,,,,1497,
25703102,,,,1532,
16626958,,,,533,
14348888,,,586,,ZZPInt
13352881,,,,932,
10291776,,,263,,LJZ
0932710X,,,318,,NWVBl
05855934,,,,931,
25099035,,,,1484,
14342618,,,,963,
00140279,,,,380,
25103342,,,,1121,
1612734X,,,492,,ZMGR
23671416,,,,1331,
23664371,,,,1167,
16137450,,,,824,
00752746,,,222,102,JOR
00312258,,,,540,
16138791,,,,89,
09331115,,,,1398,
05225337,,45,38,1688,BayVBl
00269301,,92,289,306,"MschrKrim, MKS"
00425702,,,449,,VfZ
0942590X,,,7,808,AGS
