*nodes
Id;Label;Type
1007;Martin Bullinger;author
1008;Matthias Ruffert;author
1009;Matthias Veicht;author
1010;Karsten Gaede;author
1011;Rainer Beckmann;author
1012;Nikolaus Graf Vitzthum;author
1013;Maximilian Zimmer;author
1014;Udo Di Fabio;author
1015;Alexander Benecke;author
1016;Christoph Sobotta;author
1017;Joachim Lege;author
1018;Hans-Joachim Schött;author
1019;Alexander Someκ;author
1020;David Kuch;author
1021;Aziz Epik;author
1022;Frank Zieschang;author
1023;Dirk Andreas Zetzsche;author
1024;Konstantin Chatziathanasiou;author
1025;Daniel Scholz;author
1026;Dietrich Murswiek;author
1027;Brigitte Haar;author
1028;Marco Birkholz;author
1029;Markus Stoffels;author
1030;Peter Schlosser;author
1031;Wolfgang Lüke;author
1032;Christoph Jansen;author
1033;Adrian Jung;author
1034;Constanze Janda;author
1035;Christoph Link;author
1036;Hans Kudlich;author
1037;Christian Förster;author
1038;Hein Kötz;author
1039;Christoph Althammer;author
1040;Peter McColgan;author
1041;Johannes Rux;author
1042;Abteilung Justiz;author
1043;Alexander Thiele;author
1044;Jürgen Schwabe;author
1045;Dieter Simon;author
1046;Dieter Lorenz;author
1047;Everhardt Franßen;author
1048;Martin Menne;author
1049;Sonja Stenzel;author
1050;Titus Walek;author
1051;Claus Dieter Classen;author
1052;Rainer Zaczyk;author
1053;Thomas Paul;author
1054;Christoph Grabenwarter;author
1055;Lea Katharina Kumkar;author
1056;Gabriele Kett-Straub;author
1057;Philipp Maximilian Holle;author
1058;Heike Stintzing;author
1059;Joachim von Bargen;author
1060;Christoph G. Paulus;author
1061;Raimund Waltermann;author
1062;Lorenz Kähler;author
1063;Barbara Rox;author
1064;Peter Kindler;author
1065;Andreas Piekenbrock;author
1066;Martin Franzén;author
1067;Helmut Goerlich;author
1068;Thomas Starke;author
1069;Astrid Stadler;author
1070;Hans Friedhelm Gaul;author
1071;Christian Seiler;author
1072;Frank Schuster;author
1073;Christian Hillgruber;author
1074;Michael Denga;author
1075;Herbert Küpper;author
1076;Roman Seer;author
1077;Mehrdad Payandeh;author
1078;Jana Smela;author
1079;Stephan Pötters;author
1080;Mareike Preisner;author
1081;H. Koch;author
1082;Tobias Tröger;author
1083;Holger Greve;author
1084;Frauke Rostalski;author
1085;Christine Osterloh-Konrad;author
1086;René Börner;author
1087;Josef Alkatout;author
1088;Michael Köhler;author
1089;Jörn Ipsen;author
1090;Markus Pöcker;author
1091;Philipp S. Fischinger;author
1092;Christine Windbichler;author
1093;Stephan Stübinger;author
1094;Urs Kindhäuser;author
1095;Christoph Goos;author
1096;Heike Jung;author
1097;Christian Thiemann;author
1098;Georg Mitsching;author
1099;Marco Mansdörfer;author
1100;Burkhard Jähnke;author
1101;Alexander Peukert;author
1102;Christian Kersting;author
1103;Matthias Goldmann;author
1104;Andreas Funke;author
1105;Martin Schwab;author
1106;Karl–Heinz Ladeur;author
1107;Enrico Peuker;author
1108;Günther Teubner;author
1109;Lydia Wolff;author
1110;Horst Dreier;author
1111;Torsten Noak;author
1112;Barbara Völzmann-Stickelbrock;author
1113;Corinna Coupette;author
1114;Diana L. Marquardt;author
1115;Rike Sinder;author
1116;Jacob Joussen;author
1117;Gralf-Peter Calliess;author
1118;Martin Böse;author
1119;Kristian J. Puhle;author
1120;Eike von Hippel;author
1121;Heinz-Peter Mansel;author
1122;Amr Sarhan;author
1123;Bernd Scholl;author
1124;Wolfgang Wohlers;author
1125;Frank Fechner;author
1126;Walter G. Paefgen;author
1127;Norbert Groß;author
1128;Jochen Vetter;author
1129;Peter Häberle;author
1130;Christoph Brüning;author
1131;Caroline Meller-Hannich;author
1132;Patrick Hilbert;author
1133;Matthias Katzenstein;author
1134;Werner Heun;author
1135;Alexander Bruns;author
1136;Christoph U. Schmid;author
1137;Christoph Bravidor;author
1138;Volker Beuthien;author
1139;Wolfgang Schenk;author
1140;Matthias Jestaedt;author
1141;Manuel Klar;author
1142;Andreas Ruch;author
1143;Dorothee Einsele;author
1144;Jörg Kinzig;author
1145;Jörg Frederik Ferreau;author
1146;Patrick Hell;author
1147;Lothar Michael;author
1148;Uwe Volkmann;author
1149;Ulrich Fastenrath;author
1150;Laura Schneiderbauer;author
1151;Ansgar Kalle;author
1152;Félix Herzog;author
1153;Andreas Thier;author
1154;Franziska Schneider;author
1155;Nikolaus Bosch;author
1156;Ulrich Häde;author
1157;Wolfgang Fleck;author
1158;Ekkehard Becker-Eberhard;author
1159;Sebastian Olk;author
1160;Matthias Rossi;author
1161;Nina Dürre;author
1162;Anja Wenzel;author
1163;Ralf Brinktrine;author
1164;Stephan R. Göthel;author
1165;Benjamin Roger;author
1166;Susanne Hähnchen;author
1167;Felix Busse;author
1168;Klaus Tiedemann;author
1169;Bernd Grzeszick;author
1170;Dirk Ehlers;author
1171;Hasso Hofmann;author
1172;Dorothee Einsele;author
1173;Eva Maria Bredler;author
1174;Ulfrid Neumann;author
1175;Benjamin Raue;author
1176;Volker Rieble;author
1177;Ralf Poscher;author
1178;Andreas Engert;author
1179;Moritz Hartmann;author
1180;Daniela Winkler;author
1181;Andreas Bergmann;author
1182;Matthias Klöpfer;author
1183;Benjamin Straßburger;author
1184;Reinhart Merkel;author
1185;Martin E. Schwab;author
1186;Walter Gropp;author
1187;Jakob Gleim;author
1188;Gregor Albers;author
1189;A Peter;author
1190;Helge Dedek;author
1191;Claudio Franzius;author
1192;Christian Willers;author
1193;Thomas Kleinlein;author
1194;Hélène Berlincourt-Heinecke;author
1195;Sophie Schönberger;author
1196;J Gerlach;author
1197;Philipp Lassahn;author
1198;Anne Peters;author
1199;Konrad Lachmayer;author
1200;Clemens Höpfner;author
1201;Frauke Wedemann;author
1202;Friedhelm Hufen;author
1203;Theresa Paul;author
1204;Anne-Christin Mittwoch;author
1205;Hilmar Krüger;author
1206;Olaf Sosnitza;author
1207;Johanna Küpper;author
1208;David Julius Kästle;author
1209;Alexander Jüchser;author
1210;Meinrad Dreher;author
1211;Carsten Herresthal;author
1212;Martin Löhnig;author
1213;Leonard Wolckenhaar;author
1214;Maximilian Haedicke;author
1215;Malgorzata Minecka;author
1216;Arndt Teichmann;author
1217;Andreas Sattler;author
1218;Matthías Herdegen;author
1219;Jelena von Achenbach;author
1220;Gerhard Dannemann;author
1221;Andreas Haratsch;author
1222;Rolf Stümer;author
1223;Eva Schulev-Steindl;author
1224;Lena Heuner;author
1225;Reinhard Zimmermann;author
1226;Ekkehard Schumann;author
1227;Dagmar Kaiser;author
1228;Jan-Erik Schirmer;author
1229;Anke Eggert;author
1230;Peter J. Weber;author
1231;Klaus Tiedemann;author
1232;Christoph Dannecker;author
1233;M. Karlheinz Stierle;author
1234;Peter O. Mülbert;author
1235;Thomas Finkenauer;author
1236;Lars Leuschner;author
1237;Jan-Frederick Göhsl;author
1238;Mark Stemmler;author
1239;Claudia Mayer;author
1240;Anna von Notz;author
1241;Stefan Pinelli;author
1242;Barbara Grunewald;author
1243;Dietmar Baetge;author
1244;Lucas Hartmann;author
1245;Grischa Merkel;author
1246;Sigrid Lorz;author
1247;Patrick Bruns;author
1248;Jörn Reinhardt;author
1249;Christoph Enders;author
1250;Antje Schümann;author
1251;Suzan Denise Hüttemann;author
1252;Markus Eisenbarth;author
1253;Axel Beater;author
1254;Ken Eckstein;author
1255;Anne Sanders;author
1256;Daniela Tröppner;author
1257;Eike Michael Frenzel;author
1258;Malte Stieper;author
1259;Georgios Gounalakis;author
1260;Kay Waechter;author
1261;Katharina Ebner;author
1262;Tobias Herbst;author
1263;Philipp Gutsche;author
1264;Madeleine Tolani;author
1265;Bernd Holznagel;author
1266;Peter von Wilmowsky;author
1267;Chris Thomale;author
1268;Kathleen Wolter;author
1269;Dieter Leipold;author
1270;Heinrich Amadeus Wolff;author
1271;Gerhard Robbers;author
1272;Emanuel V. Towfigh;author
1273;Eberhard Eichenhofer;author
1274;Nicolas Potsch;author
1275;Tobias Gumpp;author
1276;Julia Caroline Scherpe;author
1277;Winfried Brugger;author
1278;Christian von Bar;author
1279;Frank Zschieschack;author
1280;Anja Amend-Traut;author
1281;Abbo Junker;author
1282;Joachim Bohnert;author
1283;Erik Kraatz;author
1284;Maxie Bethge;author
1285;Sebastian Kubis;author
1286;Christoph Sorge;author
1287;Nicolas von zur Mühlen;author
1288;Georgios Zagouras;author
1289;Jürgen Bast;author
1290;Herbert Woopen;author
1291;Spiros Simitis;author
1292;Irene Sternberg-Lieben;author
1293;Martin Schermaier;author
1294;Martin Hochhuth;author
1295;Franz Ruland;author
1296;Alexander Baur;author
1297;Andrea Kießling;author
1298;Jo Eric Khushal Murkens;author
1299;Jens-Hinrich Binder;author
1300;Michael Beurskens;author
1301;Klaus Ritgen;author
1302;Brian Valerius;author
1303;Thilo Ramm;author
1304;Jörg Eisele;author
1305;Philipp Greguhn;author
1306;Angelika Nußberger;author
1307;Holger F. Hofmann;author
1308;Jannis Lennartz;author
1309;Wolfgang Kilian;author
1310;Veith Mehde;author
1311;Petra Buck-Heeb;author
1312;Alexander Stöhr;author
1313;Stefan Greiner;author
1314;Peter Kalmbach;author
1315;Bettina Rentsch;author
1316;Karl-E. Hain;author
1317;Hendrik Wolters;author
1318;Moritz Begemeier;author
1319;Bernhard Jakl;author
1320;Horst Eidenmüller;author
1321;Christian Katzenmeier;author
1322;Heike Schweitzer;author
1323;Fritz Ossenbühl;author
1324;Christian Marxsen;author
1325;Karl M. Meessen;author
1326;Bernd Oppermann;author
1327;Jörn Ipsen;author
1328;Lara Schäfer;author
1329;Eric Hilgendorf;author
1330;Matthias Rampp;author
1331;Johannes Ungerer;author
1332;Edward Schramm;author
1333;Dieter Deiseroth;author
1334;Andreas Engels;author
1335;Gernot Steinhilper;author
1336;Johannes W. Flume;author
1337;Till Zimmermann;author
1338;Uwe Scheffler;author
1339;Wilhelm-Albrecht Achilles;author
1340;Sabine Seidenschwann;author
1341;Haimo Schack;author
1342;Arne Pilniok;author
1343;Florian Jacoby;author
1344;Paul Maruff;author
1345;Max Foerster;author
1346;Jacques Ziller;author
1347;Werner Beulke;author
1348;Jörg Ennuschat;author
1349;Georgia Stefanopoulou;author
1350;Alexander Proelß;author
1351;Reinhard Mehring;author
1352;Stephan Ast;author
1353;Hans Herbert von Arnim;author
1354;Wilfried Küper;author
1355;Frank Fechner;author
1356;Georg-Berndt Oschatz;author
1357;Hans-Patrick Schroeder;author
1358;Thomas Hohendorf;author
1359;Tobias Richter;author
1360;Sabrina J. Hainer;author
1361;Klaus Bartels;author
1362;Ulrich Falk;author
1363;Elena Dubovitskaya;author
1364;Christoph Weber;author
1365;Andreas Hänlein;author
1366;Reimund Schmidt de Caluwe;author
1367;Leonid Guggenberger;author
1368;Klaus Laubenthal;author
1369;Martin Paul Waßmer;author
1370;Florian Faust;author
1371;Thomas Wischmeyer;author
1372;Peter Rackow;author
1373;Christoph Kern;author
1374;Verena Klappstein;author
1375;Hans Christian Röhl;author
1376;Horst Risse;author
1377;David Jahn;author
1378;Janwillem van de Loo;author
1379;Stefanie Schmahl;author
1380;Olaf Meyer;author
1381;Johann Braun;author
1382;Nora Markard;author
1383;Helmut Satzger;author
1384;Philip Schopen;author
1385;Manfred Herbert;author
1386;Rafael Harnos;author
1387;Jens Werner;author
1388;Paul Tobias Schrader;author
1389;Anna K. Bernzen;author
1390;Rainer Maria Kiesow;author
1391;Franz-Joseph Peine;author
1392;Jan C. Schuhr;author
1393;Volkmar Götz;author
1394;Claus Kref;author
1395;Martin Lipp;author
1396;Klaus Schurig;author
1397;Béla Knof;author
1398;Markus Ogorek;author
1399;Christoph Gusy;author
1400;Matthias Jahn;author
1401;Anna Schimke;author
1402;Roman F. Adam;author
1403;Matthias Knauff;author
1404;Thomas Gutmann;author
1405;Philipp Schmieder;author
1406;Andreas Glöckner;author
1407;Friedrich E. Schnapp;author
1408;Philipp Scholz;author
1409;Anna Helena Albrecht;author
1410;Fritz Sturm;author
1411;Gunnar Franck;author
1412;Johan Schrader;author
1413;Kay Nehm;author
1414;Hasso Hofmann;author
1415;W. Zenker;author
1416;Winrich Langer;author
1417;Anja Schiemann;author
1418;Christian Armbrüster;author
1419;Stephan M. Wagner;author
1420;Detlev Sternberg-Lieben;author
1421;Arno Scherzberg;author
1422;Anette Grünewald;author
1423;Martin Heinrich;author
1424;Werner Offenloch;author
1425;Ingo Kraft;author
1426;Andreas Zimmermann;author
1427;Caroline Wittig;author
1428;Nina Martin;author
1429;Friedrich Pukelsheim;author
1430;Goetz Kempelmann;author
1431;Horst Dreier;author
1432;Claudia Schubert;author
1433;David Rüger;author
1434;Antje von Ungern-Sternberg;author
1435;Erhard Denninger;author
1436;Sebastian Mock;author
1437;Stefan Grundmann;author
1438;Christoph Brömmelmeyer;author
1439;Steffen Hindelang;author
1440;Fabian Klinck;author
1441;Matthias Wächter;author
1442;Walter Leisner;author
1443;Christian Kalbitz;author
1444;Jan Zopfs;author
1445;Stephanie Schiedermair;author
1446;Marina Tamm;author
1447;Kay Hailbronner;author
1448;Pascal Schumacher;author
1449;Andreas Peilert;author
1450;Maximilian Gerhold;author
1451;Horst Schlehofer;author
1452;Ulrich Büdenbender;author
1453;Christian Thiemann;author
1454;Susanne Lilian Gössl;author
1455;Christian Deckenbrock;author
1456;Christian Walter;author
1457;Helmut Lecheler;author
1458;Ralf Schnieders;author
1459;Silke Altenkirch;author
1460;Gert Brüggemeier;author
1461;Abbo Junker;author
1462;Christoph Degenhart;author
1463;Andreas Voßkuhle;author
1464;Thomas Ackermann;author
1465;Stefan Kadelbach;author
1466;Stephan Pötters;author
1467;Jannik Funnemann;author
1468;Roman Wolf;author
1469;Küpper Herbert;author
1470;Mascha Hesse;author
1471;Carsten Meinert;author
1472;Johannes C. Reichert;author
1473;Jessica S. Kruger;author
1474;Christian Calliess;author
1475;Silvia Deuring;author
1476;Simon Behr;author
1477;Seemann;author
1478;Anna-Bettina Kaiser;author
1479;Johannes Kaspar;author
1480;Ludwig Reißmann;author
1481;Wilfried Erbguth;author
1482;Jürgen Helle;author
1483;Florian Jotzo;author
1484;Thomas von Danwitz;author
1485;Marc Leonhard;author
1486;Sabine Seidenschwann;author
1487;Ralf Seinecke;author
1488;Heiko Schmidt;author
1489;Alexandra Weber;author
1490;Götz Schulze;author
1491;Tristan Barczak;author
1492;Heinz Georg Bamberger;author
1493;Roland Schmitz;author
1494;Paul Schrader;author
1495;Kristina Cyglakow;author
1496;Christoph Safferling;author
1497;Georg Alexander Haas;author
1498;Milan Kuhli;author
1499;Christian Schubel;author
1500;Volker Lipp;author
1501;Andreas Heinemann;author
1502;Jelena Von Achenbach;author
1503;Christian Geminn;author
1504;Bettina Noltenius;author
1505;Monika Böhm;author
1506;Susanne Lepsius;author
1507;Tobias Fröschle;author
1508;Björnstjern Baade;author
1509;Bastian Zahn;author
1510;Kai Schadtle;author
1511;Fynn Wenglarczyk;author
1512;Patrick R. Hoffmann;author
1513;Inge Kroppenberg;author
1514;Johannes Unterreitmeier;author
1515;Sina Fontana;author
1516;Michael Martinek;author
1517;Tristan Radtke;author
1518;Wolf-Georg Ringe;author
1519;Michael Kotulla;author
1520;Evelyn Woitge;author
1521;Florian Meinel;author
1522;Martin Bürgi;author
1523;Ino Augsberg;author
1524;Joachim von Bargen;author
1525;Jürgen Stamm;author
1526;Tim Florstedt;author
1527;Johannes Wasmult;author
1528;Patricia Wiater;author
1529;Jörg Neuner;author
1530;Jannik Rienhoff;author
1531;Florian Schärdel;author
1532;Carsten Bäcker;author
1533;Luca Kochendörfer;author
1534;Gregor Stahl;author
1535;Jakob Nolte;author
1536;Benjamin Kram;author
1537;Gerhard Werle;author
1538;Sabine Schlacke;author
1539;Ben Beck;author
1540;Peter M. Huber;author
1541;Peter Badura;author
1542;Kristina Hillermann;author
1543;Andreas Piekenbrock;author
1544;Ralf Kölbel;author
1545;Sebastian Krebber;author
1546;Anton S. Zimmermann;author
1547;Thomas Böckenförde;author
1548;Harald Eberhard;author
1549;Holm Putzke;author
1550;Florian Knauer;author
1551;Rolf Sethe;author
1552;Wolfgang Lesting;author
1553;Jens Peter Meincke;author
1554;Simon Kempny;author
1555;Sebastian Müller Franken;author
1556;Lutz Haertlein;author
1557;Frederick Rieländer;author
1558;Otto Depenheuer;author
1559;Eberhard Schilken;author
1560;Robert Magnus;author
1561;Christian Neumeier;author
1562;Hubertus Gersdorf;author
1563;Otto Lagodny;author
1564;Sören Segger-Piening;author
1565;Wolfram Höfling;author
1566;Oliver Suchy;author
1567;Matthias Schüll;author
1568;Thomas Groß;author
1569;Ulrich G. Schroeter;author
1570;Hans-Dieter Spengler;author
1571;Philipp Wittmann;author
1572;M Korte;author
1573;Nils Jansen;author
1574;Volker M. Haug;author
1575;Martin Sternberg;author
1576;Patrick Ostendorf;author
1577;Albert Ingold;author
1578;Volker Lipp;author
1579;Daniel Pfäffli;author
1580;Walter Frenz;author
1581;Axel Metzger;author
1582;Lorna Woods;author
1583;W. Gregory Voss;author
1584;Kristin Boosfeld;author
1585;Christian Baldus;author
1586;Christian Schröder;author
1587;Rolf D. Herzberg;author
1588;Felix Steffek;author
1589;Reiner Schmidt;author
1590;Philipp Renninger;author
1591;Johannes Gerberding;author
1592;Stephanie Sittmann-Haury;author
1593;Christoph Ohler;author
1594;Alexander Höllerbach;author
1595;Stefan Frederic Thönissen;author
1596;Dana Burchardt;author
1597;Uwe Blaurock;author
1598;Andreas Roth;author
1599;Ulrich Battis;author
1600;Ralf Müller-Terpitz;author
1601;Gregor Albers;author
1602;Mareike Schmidt;author
1603;Jörn Heinemann;author
1604;Christian Rolfs;author
1605;Erol Pohlreich;author
1606;Hermann Pünder;author
1607;Lorenz Leitmeier;author
1608;Boris P. Paal;author
1609;Jan-Niklas Schönemann;author
1610;Lars Kutzner;author
1611;Adrian Schmidt-Recla;author
1612;Hanjo Hamann;author
1613;Sebastian Graf von Kielmansegg;author
1614;Wolfgang Kahl;author
1615;Alexander Schall;author
1616;Roland Derksen;author
1617;Christian Starck;author
1618;Peter Mankowski;author
1619;Sabrina Schönrock;author
1620;Hannes Henke;author
1621;Christoph Teichmann;author
1622;Péter Techet;author
1623;Rupert Stettner;author
1624;Andreas Hetzenecker;author
1625;Philipp Schmitt;author
1626;Franziska Huber;author
1627;Michael Droege;author
1628;Claire Feldhusen;author
1629;Albrecht Weber;author
1630;Ninon Colneric;author
1631;Sebastian Bretthauer;author
1632;Hans Christoph Grigoleit;author
1633;kai Engelbrecht;author
1634;Joachim Münch;author
1635;Michael Heghmanns;author
1636;Christopher Rennig;author
1637;Marina Preiß;author
1638;Hannes Rösler;author
1639;Klaus-Peter Schroeder;author
1640;Franz Streng;author
1641;Dan Wielsch;author
1642;Ingke Goeckenjan;author
1643;Christoph Müller;author
1644;Felix Ruppert;author
1645;Felix Andreas Kiefner;author
1646;Christoph Burchard;author
1647;Markus Kenntner;author
1648;David Bruch;author
1649;Eva Frenz;author
1650;Karl Stöger;author
1651;Sven Vetter;author
1652;Philipp M. Reuß;author
1653;Klaus Ferdinand Gärditz;author
1654;Frank Skamel;author
1655;Stefan Muckel;author
1656;Kai-Oliver Knops;author
1657;T. Rauscher;author
1658;Roman F. Kehrberger;author
1659;Georg Maier-Reimer;author
1660;Anja Timmermann;author
1661;Joseph Isensee;author
1662;Reinhard Greger;author
1663;Horst Heinrich Jakobs;author
1664;Tobias Linke;author
1665;Jasper Wentz;author
1666;Helmut Köhler;author
1667;Joachim Hruschka;author
1668;Martin Fielenbach;author
1669;Johannes Saurer;author
1670;Rike Sinder;author
1671;Karin Nehlsen-von Stryk;author
1672;Werner F. Ebke;author
1673;Christiane Wendehorst;author
1674;Reinhard Merkel;author
1675;Till Mengler;author
1676;René Börner;author
1677;Roman Guski;author
1678;Andreas Deutsch;author
1679;Werner Schroeder;author
1680;Karl-Eberhard Hain;author
1681;Dirk Looschelders;author
1682;Christian Zieglmeier;author
1683;Felix Maultzsch;author
1684;Timo Junker;author
1685;Martin Eifert;author
1686;Oliver Mörsdorf;author
1687;Matthias Pechstein;author
1688;Peter Allgayer;author
1689;Matthias Wießner;author
1690;Jennifer Antomo;author
1691;Rainer Wernsmann;author
1692;Heinz Holzhauer;author
1693;Daniel Ulber;author
1694;Jan–R. Sieckmann;author
1695;Matthias Jahn;author
1696;Günther Wiese;author
1697;Ulrich Vosgerau;author
1698;Michael Hettinger;author
1699;Sebastian Kolbe;author
1700;Mathieu Wagner;author
1701;Dinah Wielpütz;author
1702;Florian Meinel;author
1703;Elisa Hoven;author
1704;Stefan Vogenauer;author
1705;Udo Reifner;author
1706;Wilfried Berg;author
1707;Andrea Diehl;author
1708;Peter Salje;author
1709;Horst Konzen;author
1710;Matthias Leistner;author
1711;Susanne Augenhofer;author
1712;Anna Katharina Klasen;author
1713;Johannes Masing;author
1714;Michael F. Müller;author
1715;Kilian Bälz;author
1716;Stephan Meyer;author
1717;Eckart Klein;author
1718;Gerhard Werle;author
1719;Wolfram Höfling;author
1720;Tobias Mast;author
1721;Hubert Meyer;author
1722;Claus Kreß;author
1723;Andreas M. Fleckner;author
1724;Christian Wilhelm;author
1725;Ferdinand Wollenschläger;author
1726;Volker Lipp;author
1727;Nina Schrott;author
1728;Beate Gsell;author
1729;Robert Magnus;author
1730;Alexander Baur;author
1731;Sven Hetmank;author
1732;Martin Nettesheim;author
1733;Hans-Heinrich Trute;author
1734;Michael Stürner;author
1735;Mario Bachmann;author
1736;Dieter Medicus;author
1737;Wernhard Möschel;author
1738;Hannes Wais;author
1739;Tade Matthias Spranger;author
1740;Maximilian Lenk;author
1741;Julia Geneuss;author
1742;Gerhard Seher;author
1743;Heike Jung;author
1744;Dorothea Magnus;author
1745;Holger Pils;author
1746;Markus Hawickenbrauck;author
1747;Christian Maierhöfer;author
1748;Tobias Reinbacher;author
1749;Susanne Heinemeyer;author
1750;Jannik Otto;author
1751;Fritz Rittner;author
1752;Raphael Rauch;author
1753;Karl-E Hain;author
1754;Stefanie Jung;author
1755;Christian Jäger;author
1756;Victoria Seeliger;author
1757;Rolf Wagner;author
1758;Stefan Brink;author
1759;Jochen Mohr;author
1760;Markus Kotzur;author
1761;Eberhard Schmidt-Aßmann;author
1762;Anne Röthel;author
1763;Thomas Kienle;author
1764;Alexander Blankenagel;author
1765;Jan Schröder;author
1766;Johannes Caspar;author
1767;Hermann Reichold;author
1768;Joachim Renzikowski;author
1769;Matthias Weller;author
1770;Tatjana Hörnle;author
1771;Sascha Sebastian;author
1772;Nina Benz;author
1773;Andreas Stegbauer;author
1774;Anika Klafki;author
1775;Julian Philipp Rapp;author
1776;Barbara Veit;author
1777;Hans Martin Schellhase;author
1778;Verena Frick;author
1779;Hans Achenbach;author
1780;Thomas Vesting;author
1781;Alexander Hellgardt;author
1782;Frederik Jaeger;author
1783;Oliver Dörr;author
1784;Wolfgang Spellbrink;author
1785;Johann Braun;author
1786;Mark A. Zöller;author
1787;Anna Leisner-Egensperger;author
1788;Stefan Klingbeil;author
1789;Benjamin Rusteberg;author
1790;Hans-Martin Pawlowski;author
1791;Rolf Stürner;author
1792;Hanno Merkt;author
1793;Ulrich Preis;author
1794;Kyrill-A. Schwarz;author
1795;Christoph Bezemek;author
1796;Björn Jesse;author
1797;Christian Hattenhauer;author
1798;Thomas Vormbaum;author
1799;Thomas Henze;author
1800;Rainer Wahl;author
1801;Ronald Schmid;author
1802;Tonio Walter;author
1803;Till Patrik Holterhus;author
1804;Constantin Knauer;author
1805;Yannic Hübner;author
1806;Stephan Meder;author
1807;Kim Philip Linoh;author
1808;Frank Peters;author
1809;Peter Bydlinski;author
1810;Christian Bumke;author
1811;Katharina Uffmann;author
1812;Alexander Tischbirek;author
1813;Jens Gal;author
1814;Stephan Kirste;author
1815;Maximilian Waßmuth;author
1816;Moritz Kalb;author
1817;Thomas A. H. Schöck;author
1818;Maximilian Fuchs;author
1819;Johannes Cziupka;author
1820;Jakob Hohnerlein;author
1821;Wolfgang Böck;author
1822;Heike Krischok;author
1823;Detlef Liebs;author
1824;Friederike Frizen;author
1825;Constantin Willems;author
1826;Monika Böhm;author
1827;Kristina Schönfeldt;author
1828;John Heidemann;author
1829;Matthias Schaut;author
1830;Thomas A. Heiß;author
1831;Thomas Regenfus;author
1832;Matthias Jacobs;author
1833;Gunther Kühne;author
1834;Philip Wimalasena;author
1835;Sascha Ziemann;author
1836;Barbara Rox;author
1837;Julian Krüper;author
1838;Uwe H. Schneider;author
1839;Katharina Gräfin von Schlieffen;author
1840;Bernhard Ulrici;author
1841;Christian Bär;author
1842;Felix Bischof;author
1843;Gerhard Wagner;author
1844;Anne E. Sanders;author
1845;Thomas Würtenberger;author
1846;Uwe Kischel;author
1847;Sebastian Steuer;author
1848;Joachim Rückert;author
1849;Hans‐Georg Dederer;author
1850;Gerhard Otte;author
1851;Rainer Hüttemann;author
1852;Helmut Frister;author
1853;Ismo Dunderberg;author
1854;Cara Röhner;author
1855;Yuanshi Bu;author
1856;Angelo Golia;author
1857;Roya Sangi;author
1858;Dimitrios Linardatos;author
1859;Martin Fries;author
1860;Andrea Edenharter;author
1861;Simon Apel;author
1862;Christian Hillgruber;author
1863;Michael Kahlo;author
1864;Torsten Verrel;author
1865;Alexandra M.J. Möhring;author
1866;Michael Fehling;author
1867;Moritz Hennemann;author
1868;Moritz Pöschke;author
1869;Dennis Bock;author
1870;Dirk Selle;author
1871;Hans-Heiner Kühne;author
1872;Franz Hofmann;author
1873;Christoph Krönke;author
1874;Lars Brocker;author
1875;Reinhard Bork;author
1876;Inge Hanewinkel;author
1877;Heike Jung;author
1878;Hannes Wais;author
1879;Caroline Messner;author
1880;Alina-Jasmin Momtazi;author
1881;Heiner Alwart;author
1882;Daniel Thym;author
1883;Péter Techet;author
1884;Guy Beaucamp;author
1885;Heike Jung;author
1886;Christian van Endern;author
1887;Charlott Resske;author
1888;Maxi Weibel;author
1889;Renate Penßel;author
1890;Anja Schmidt;author
1891;Nils Jansen;author
1892;Luis Jakobi;author
1893;Guy Beaucamp;author
1894;Moritz Litterst;author
1895;Boas Kümper;author
1896;Thomas Groß;author
1897;Robert Alexy;author
1898;Susanne Baer;author
1899;Lorenz Reichert;author
1900;Hanjo Hamann;author
1901;Paul Lorenz;author
1902;Anne Sanders;author
1903;Beate Gsell;author
1904;Jan Schröder;author
1905;Victor Limberger;author
1906;Jonas Botta;author
1907;Jana Bethke;author
1908;Malte Stieper;author
1909;Raphael Koch;author
1910;Ulrike Müßig;author
1911;Mathias Honer;author
1912;Luisa Zimmer;author
1913;Abbo Junker;author
1914;Constantin Breß;author
1915;Jan-Luca Helbig;author
1916;Philipp Wehrmann;author
1917;Julia Wiederrich;author
1918;Leandro Dias;author
1919;Lucila Tuñón;author
1920;Moritz Renner;author
1921;Chantal Bittner;author
1922;Felix Büning;author
1923;Annika Häutle;author
1924;Julian Glas;author
1925;Jürgen Kohler;author
1926;Christiaan Wittebol;author
1927;Heike Jung;author
1928;Matthias Jahn;author
1929;Tim Potthast;author
1930;NA;author
1931;NA;author
1932;NA;author
1933;NA;author
1934;NA;author
1935;Hanna Göken;author
1936;Nikita Rolsing;author
1937;Lorenz Kähler;author
1938;Fabian Stam;author
1939;Stephan Meder;author
1940;Martin Kment;author
1941;Laurin I. Rudloff;author
1942;Norbert Gross;author
1943;Nils Schaks;author
1944;Markus Ogorek;author
1945;Martin Morlok;author
1946;Paul Hüther;author
1947;Bernd Mertens;author
1948;Florian Bode;author
1949;Antonia Steinweg;author
1950;Martin Heger;author
1951;Kubilay Yalçın;author
1952;Lars Klöhn;author
1953;Abbo Junker;author
1954;Jens Gal;author
1955;Paul Galyga;author
1956;Lukas Hecht;author
1957;Jochen Rauber;author
1958;Kevin Franzke;author
1959;Jürgen Kohler;author
1960;Haimo Schack;author
1961;Frank Meyer;author
