journal,qid,abbreviation,issn
Neue Zeitschrift für Miet- und Wohnungsrecht,Q1979875,NZM,1434-677X
Neue Zeitschrift für Sozialrecht,Q1979877,NZS,0941-7915
Informationen zum Arbeitslosenrecht und Sozialhilferecht,Q1662510,info also,1862-0469
Neue Zeitschrift für Baurecht und Vergaberecht,Q1979865,NZBau,1439-6351
Natur und Recht,Q1969911,NuR,0172-1631
Zeitschrift für das Fürsorgewesen,Q186780,ZfF,0342-3379
Wettbewerb in Recht und Praxis,Q1497035,"WRP, wrp",0172-049X
Zeitschrift für Umweltpolitik & Umweltrecht,Q186749,ZfU,0931-0983
Archiv für Kriminologie,Q635621,ArchKrim,0003-9225
Zeitschrift für das gesamte Lebensmittelrecht,Q186790,ZLR,0342-3476
Recht der Finanzinstrumente,Q2135366,RdFin,2191-3838
Kölner Schrift zum Wirtschaftsrecht,Q1324372,KSzW,1869-3679
Neue Zeitschrift für Wehrrecht,Q1979887,NZWehrr,0028-3525
"Journal of Intellectual Property, Information Technology and E-Commerce Law",Q1294004,JIPITEC,2190-3387
Wissenschaftsrecht,Q1413299,WissR,0948-0218
Zeitschrift für Datenschutz,Q186650,ZD,2192-5593
Archiv für katholisches Kirchenrecht,Q635666,AfkKR,0003-9160
Zeitschrift für Bankrecht und Bankwirtschaft,Q186639,ZBB,0936-2800
Hamburger Rechtsnotizen,Q1573099,HRN,2191-6543
Jura Studium & Examen,Q29310460,JSE,2195-044X
Contracting und Recht,Q1129074,CuR,1613-950X
Recht der Erneuerbaren Energien,Q1550573,REE,2193-8334
Zeitschrift für Immissionsschutzrecht und Emissionshandel,Q56232014,I+E,2191-3331
Informationsbrief Ausländerrecht,Q15820094,"InfAuslR, IAR",0174-2108
Der Verkehrsanwalt,Q15724386,VerkA,1438-3373
Der IT-Rechts-Berater,Q15724427,ITRB,1617-1527
Kritische Vierteljahresschrift für Gesetzgebung und Rechtswissenschaft,Q15724452,KritV,0179-2830
Gesundheitsrecht,Q15812178,GesR,1610-1197
Das Jugendamt,Q15732979,JAmt,1867-6723
Zeitschrift für Europarechtliche Studien,Q15616551,ZEuS,1435-439X
Zeitschrift für Luft- und Weltraumrecht,Q15724692,ZLW,0340-8329
Max Planck Yearbook of United Nations Law,Q18629095,MPYUNL,1389-4633
Zeitschrift für Ausländerrecht und Ausländerpolitik,Q19969846,ZAR,0721-5746
Zeitschrift für Kindschaftsrecht und Jugendhilfe,Q19816419,ZKJ,1861-6631
"Neue Zeitschrift für Wirtschafts-, Steuer- und Unternehmensstrafrecht",Q20183876,NZWiSt,2193-5777
Studere,Q26898022,Stu,1867-6170
Zeitschrift für deutsches und internationales Bau- und Vergaberecht,Q23787826,ZfBR,0170-0413
Zeitschrift für Gesetzgebung,Q25345607,ZG,0179-4051
Zeitschrift für Landesverfassungsrecht und Landesverwaltungsrecht,Q30133745,ZLVR,2509-4521
Rescriptum,Q48755232,Res,2195-3120
Zeitschrift für Arbeitsrecht,Q47162967,"ZfA, ZFA",0342-328X
NWB Steuer- und Wirtschaftsrecht,Q55505707,NWB,0028-3460
Zeitschrift für das gesamte Verfahrensrecht,Q58908998,GVRZ,2625-1868
Der medizinische Sachverständige,Q27720088,MedSach,0025-8490
Archiv für Rechts- und Sozialphilosophie,Q15710036,ARSP,0001-2343
Verwaltungsblätter für Baden-Württemberg,Q95630512,VBlBW,0720-2407
Das Grundeigentum,Q105826891,Grundeigentum,0017-4882
Zeitschrift für Rechtssoziologie,Q96335163,"ZfRsoz, Zs. f. Rechtssoz.",0174-0202
Zeitschrift für Lebensrecht,Q116235779,ZfL,0944-4521
NStZ-Rechtsprechungs-Report Strafrecht,Q117466106,NStZ-RR,0949-7129
Verwaltungsrundschau,Q117784605,"VR, vr",0342-5592
